rank,objective_value,w1,w2,w3,w4
1,0.30008309926310206,1.0,0.0,0.0,0.0
2,0.2878957488238656,0.9,0.0,0.0,0.09999999999999998
3,0.28312685594601295,0.9,0.0,0.1,0.0
4,0.2780611396689316,0.9,0.1,0.0,0.0
5,0.2755883500595545,0.8,0.0,0.0,0.19999999999999996
6,0.27085673158055473,0.8,0.0,0.1,0.09999999999999998
7,0.2660062890912593,0.8,0.0,0.2,0.0
8,0.26583335963096777,0.8,0.1,0.0,0.09999999999999998
9,0.26316084309481513,0.7000000000000001,0.0,0.0,0.29999999999999993
10,0.2610646903505948,0.8,0.1,0.1,0.0
