short_ma,long_ma,num_rows,num_trades,total_pnl,total_return,win_rate,avg_trade_return,avg_holding_days,buy_hold_return,buy_hold_pnl,excess_vs_bh,rank
5,10,120,4,11.510000000000048,0.06614857873219027,0.75,0.016495926817609946,16.75,0.03777215746646134,6.8700000000000045,0.028376421265728924,1
70,75,55,1,8.26000000000002,0.048674130819092554,1.0,0.048674130819092554,10.0,0.06536095275723897,11.580000000000013,-0.016686821938146412,2
95,105,25,1,7.4199999999999875,0.04074236766966832,1.0,0.04074236766966832,15.0,0.02575946959404396,4.740000000000009,0.014982898075624362,3
40,45,85,3,6.329999999999984,0.036009096487701786,0.6666666666666666,0.01195371538926541,11.0,0.050946547884187066,9.150000000000006,-0.01493745139648528,4
95,100,30,1,6.0,0.033191348121922815,1.0,0.033191348121922815,19.0,0.03091375826096443,5.659999999999997,0.0022775898609583844,5
75,80,50,1,5.009999999999991,0.028152393796358588,1.0,0.028152393796358588,7.0,0.060095478798090296,10.699999999999989,-0.03194308500173171,6
90,105,25,1,5.050000000000011,0.028132137485376907,1.0,0.028132137485376907,12.0,0.02575946959404396,4.740000000000009,0.002372667891332947,7
65,75,55,1,3.390000000000015,0.02004256828662654,1.0,0.02004256828662654,6.0,0.06536095275723897,11.580000000000013,-0.04531838447061243,8
35,45,85,1,3.069999999999993,0.017485903058608976,1.0,0.017485903058608976,20.0,0.050946547884187066,9.150000000000006,-0.03346064482557809,9
30,55,75,1,2.549999999999983,0.01454649172846545,1.0,0.01454649172846545,7.0,0.07506977274021764,13.180000000000007,-0.060523281011752195,10
30,45,85,1,2.2700000000000102,0.01278153153153161,1.0,0.01278153153153161,19.0,0.050946547884187066,9.150000000000006,-0.038165016352655456,11
30,50,80,1,2.2700000000000102,0.01278153153153161,1.0,0.01278153153153161,18.0,0.061645761853872605,10.960000000000008,-0.048864230322340996,12
35,50,80,1,2.0200000000000102,0.011489676355156186,1.0,0.011489676355156186,16.0,0.061645761853872605,10.960000000000008,-0.05015608549871642,13
35,40,90,3,1.8700000000000045,0.010835833861548627,0.6666666666666666,0.003651233518679242,8.333333333333334,0.029732678668848767,5.449999999999989,-0.01889684480730014,14
40,50,80,2,1.4799999999999898,0.008189393851800064,1.0,0.004086785999127485,12.5,0.061645761853872605,10.960000000000008,-0.05345636800207254,15
45,60,70,1,1.3899999999999864,0.007816453916661859,1.0,0.007816453916661859,13.0,0.061048962842205956,10.860000000000014,-0.0532325089255441,16
45,65,65,1,0.9799999999999898,0.005492965640939262,1.0,0.005492965640939262,7.0,0.046750221827861704,8.430000000000007,-0.04125725618692244,17
90,100,30,1,0.7800000000000011,0.004271865929130758,1.0,0.004271865929130758,13.0,0.03091375826096443,5.659999999999997,-0.026641892331833672,18
80,90,40,1,0.7800000000000011,0.004238900059779338,1.0,0.004238900059779338,8.0,0.11798850915121717,19.919999999999987,-0.11374960909143783,19
80,85,45,1,0.5300000000000011,0.0028868674764421787,1.0,0.0028868674764421787,13.0,0.08959187207758479,15.52000000000001,-0.08670500460114261,20
75,85,45,1,0.4199999999999875,0.002287706302086079,1.0,0.002287706302086079,6.0,0.08959187207758479,15.52000000000001,-0.08730416577549871,21
5,15,115,4,0.160000000000025,0.0007077379656794669,0.75,0.00023277945546976153,16.75,0.05006954102920713,9.0,-0.049361803063527665,22
5,110,20,0,0.0,0.0,-1.0,,,0.02514664349337381,4.6299999999999955,-0.02514664349337381,23
10,110,20,0,0.0,0.0,-1.0,,,0.02514664349337381,4.6299999999999955,-0.02514664349337381,24
15,110,20,0,0.0,0.0,-1.0,,,0.02514664349337381,4.6299999999999955,-0.02514664349337381,25
20,110,20,0,0.0,0.0,-1.0,,,0.02514664349337381,4.6299999999999955,-0.02514664349337381,26
25,110,20,0,0.0,0.0,-1.0,,,0.02514664349337381,4.6299999999999955,-0.02514664349337381,27
30,110,20,0,0.0,0.0,-1.0,,,0.02514664349337381,4.6299999999999955,-0.02514664349337381,28
35,110,20,0,0.0,0.0,-1.0,,,0.02514664349337381,4.6299999999999955,-0.02514664349337381,29
40,110,20,0,0.0,0.0,-1.0,,,0.02514664349337381,4.6299999999999955,-0.02514664349337381,30
45,110,20,0,0.0,0.0,-1.0,,,0.02514664349337381,4.6299999999999955,-0.02514664349337381,31
50,110,20,0,0.0,0.0,-1.0,,,0.02514664349337381,4.6299999999999955,-0.02514664349337381,32
