rank,objective_value,w1,w2,w3,w4
1,0.3822226383596502,0.9999999999999997,0.9999999999999997,-2.0816681711721685e-16,-0.9999999999999991
2,0.3812818387192276,0.9999999999999997,0.9999999999999997,-0.020000000000000212,-0.9799999999999991
3,0.38034963100252883,0.9999999999999997,0.9799999999999996,0.019999999999999796,-0.9999999999999991
4,0.3803363381955434,0.9999999999999997,0.9999999999999997,-0.040000000000000216,-0.9599999999999991
5,0.38014655568582306,0.9799999999999996,0.9999999999999997,0.019999999999999796,-0.9999999999999991
6,0.3794105632928888,0.9999999999999997,0.9799999999999996,-2.0816681711721685e-16,-0.9799999999999991
7,0.37938613635453455,0.9999999999999997,0.9999999999999997,-0.06000000000000022,-0.9399999999999991
8,0.3792069045216764,0.9799999999999996,0.9999999999999997,-2.0816681711721685e-16,-0.9799999999999991
9,0.378474035502903,0.9999999999999997,0.9599999999999996,0.039999999999999786,-0.9999999999999991
10,0.3784667945182223,0.9999999999999997,0.9799999999999996,-0.020000000000000212,-0.9599999999999991
