short_ma,long_ma,num_rows,num_trades,total_pnl,total_return,win_rate,avg_trade_return,avg_holding_days,buy_hold_return,buy_hold_pnl,excess_vs_bh,rank
5,10,116,6,28.86000518798828,0.7028718185671881,0.5,0.1304371556195565,14.833333333333334,0.5029273512370482,25.76999832153321,0.1999444673301398,1
5,15,111,4,19.120006561279297,0.3804074477839183,0.5,0.1197559976059587,16.0,0.800140303820404,34.23000122070312,-0.4197328560364857,2
5,20,106,2,18.49500274658203,0.3722194803072598,0.5,0.2364708673953391,31.5,0.807746543624468,34.41000152587892,-0.4355270633172081,3
15,30,96,1,20.42999649047852,0.3687059474235441,1.0,0.3687059474235441,56.0,0.3388386541573072,19.489999542236333,0.0298672932662369,4
10,15,111,4,17.0050048828125,0.3455541628819087,0.25,0.1120068269087173,16.0,0.800140303820404,34.23000122070312,-0.4545861409384952,5
5,25,101,2,17.189998626708984,0.325117403457327,0.5,0.2084570028256285,32.0,0.7220482535306423,32.28999877929688,-0.3969308500733153,6
20,25,101,2,17.15999984741211,0.3093577105480403,1.0,0.153383067472196,29.5,0.7220482535306423,32.28999877929688,-0.412690542982602,7
10,20,106,4,13.07000732421875,0.244209475663387,0.25,0.070354561047366,15.5,0.807746543624468,34.41000152587892,-0.5635370679610809,8
70,75,51,1,14.189997253417973,0.2009345327320135,1.0,0.2009345327320135,4.0,0.101874383639015,7.120000610351568,0.0990601490929985,9
20,30,96,2,8.540000915527344,0.1404813473935173,1.0,0.0684487417957021,28.5,0.3388386541573072,19.489999542236333,-0.1983573067637898,10
10,25,101,2,4.230007171630859,0.0873109735148467,0.5,0.0632442960172405,29.5,0.7220482535306423,32.28999877929688,-0.6347372800157955,11
30,35,91,2,0.8599929809570312,0.0138888541822277,0.5,0.007007462478849,30.0,0.4271682970091106,23.05000091552735,-0.4132794428268829,12
5,35,91,1,0.7699966430664062,0.0114531697846032,1.0,0.0114531697846032,3.0,0.4271682970091106,23.05000091552735,-0.4157151272245074,13
5,55,71,0,0.0,0.0,-1.0,,,-0.2003115518219673,-19.290003051757797,0.2003115518219673,14
10,55,71,0,0.0,0.0,-1.0,,,-0.2003115518219673,-19.290003051757797,0.2003115518219673,15
15,55,71,0,0.0,0.0,-1.0,,,-0.2003115518219673,-19.290003051757797,0.2003115518219673,16
20,55,71,0,0.0,0.0,-1.0,,,-0.2003115518219673,-19.290003051757797,0.2003115518219673,17
25,55,71,0,0.0,0.0,-1.0,,,-0.2003115518219673,-19.290003051757797,0.2003115518219673,18
30,55,71,0,0.0,0.0,-1.0,,,-0.2003115518219673,-19.290003051757797,0.2003115518219673,19
35,55,71,0,0.0,0.0,-1.0,,,-0.2003115518219673,-19.290003051757797,0.2003115518219673,20
