rank,objective_value,w1,w2,w3,w4
1,0.21629684345527594,1.0,0.0,0.0,0.0
2,0.20839275142102093,0.9,0.1,0.0,0.0
3,0.20042855769144696,0.8,0.2,0.0,0.0
4,0.19612579104185038,0.9,0.0,0.1,0.0
5,0.19552493402428223,0.9,0.0,0.0,0.09999999999999998
6,0.1924042309898064,0.7000000000000001,0.30000000000000004,0.0,0.0
7,0.18819384349247437,0.8,0.1,0.1,0.0
8,0.1875991444751337,0.8,0.1,0.0,0.09999999999999998
9,0.1843197393540813,0.6000000000000001,0.4,0.0,0.0
10,0.17961325937746098,0.7000000000000001,0.2,0.0,0.09999999999999987
