ma_window,upper_k,lower_k,num_rows,num_trades,total_pnl,total_return,win_rate,avg_trade_return,avg_holding_days,buy_hold_return,buy_hold_pnl,excess_vs_bh,rank
5,1.900000000000004,1.7000000000000046,248,5,44.940000000000026,0.2969267643240112,1.0,0.05507519713511524,53.4,0.12554708015505822,20.080000000000013,0.171379684168953,1
5,1.900000000000004,1.8000000000000043,248,2,41.54000000000002,0.27679556830133567,1.0,0.13133907010713597,80.5,0.12554708015505822,20.080000000000013,0.15124848814627745,2
22,2.3000000000000043,-2.2999999999999994,231,9,41.54999999999998,0.27139014571365094,1.0,0.027157803424635536,21.77777777777778,0.16389732979892702,25.350000000000023,0.10749281591472393,3
5,1.900000000000004,1.600000000000004,248,5,40.27000000000001,0.26416510483684075,0.8,0.049926552321442566,55.2,0.12554708015505822,20.080000000000013,0.13861802468178253,4
22,2.2000000000000046,-2.2999999999999994,231,9,39.94,0.25953552050603546,1.0,0.02607690379388698,21.666666666666668,0.16389732979892702,25.350000000000023,0.09563819070710844,5
22,2.3000000000000043,-2.1999999999999993,231,8,39.52999999999997,0.2569244011794869,1.0,0.029106938401149446,24.25,0.16389732979892702,25.350000000000023,0.09302707138055988,6
22,2.3000000000000043,-2.6999999999999997,231,9,38.66,0.2517794190816376,1.0,0.02535117211623973,22.0,0.16389732979892702,25.350000000000023,0.08788208928271057,7
22,2.3000000000000043,-2.5999999999999996,231,9,38.66,0.2517794190816376,1.0,0.02535117211623973,22.0,0.16389732979892702,25.350000000000023,0.08788208928271057,8
22,2.3000000000000043,-2.4999999999999996,231,9,38.66,0.2517794190816376,1.0,0.02535117211623973,22.0,0.16389732979892702,25.350000000000023,0.08788208928271057,9
22,2.3000000000000043,-2.3999999999999995,231,9,38.66,0.2517794190816376,1.0,0.02535117211623973,22.0,0.16389732979892702,25.350000000000023,0.08788208928271057,10
65,1.600000000000004,-1.799999999999999,188,17,39.99999999999994,0.25149694189965466,1.0,0.013307436528122392,6.0588235294117645,0.07256911344137285,12.180000000000007,0.1789278284582818,11
22,2.3000000000000043,-3.0,231,10,38.43999999999997,0.25012137903665854,1.0,0.02266789826033011,20.0,0.16389732979892702,25.350000000000023,0.08622404923773153,12
22,2.3000000000000043,-2.9,231,10,38.43999999999997,0.25012137903665854,1.0,0.02266789826033011,20.0,0.16389732979892702,25.350000000000023,0.08622404923773153,13
22,2.3000000000000043,-2.8,231,10,38.43999999999997,0.25012137903665854,1.0,0.02266789826033011,20.0,0.16389732979892702,25.350000000000023,0.08622404923773153,14
22,2.2000000000000046,-2.1999999999999993,231,8,37.91999999999999,0.24520465666162639,1.0,0.02789092631655732,24.125,0.16389732979892702,25.350000000000023,0.08130732686269937,15
5,1.900000000000004,1.5000000000000036,248,5,37.50999999999999,0.24493083973568464,0.6,0.046862601293190864,58.2,0.12554708015505822,20.080000000000013,0.11938375958062641,16
22,2.2000000000000046,-2.5999999999999996,231,9,37.05000000000001,0.24010764711938926,1.0,0.024266471116428386,21.88888888888889,0.16389732979892702,25.350000000000023,0.07621031732046224,17
22,2.2000000000000046,-2.4999999999999996,231,9,37.05000000000001,0.24010764711938926,1.0,0.024266471116428386,21.88888888888889,0.16389732979892702,25.350000000000023,0.07621031732046224,18
22,2.2000000000000046,-2.3999999999999995,231,9,37.05000000000001,0.24010764711938926,1.0,0.024266471116428386,21.88888888888889,0.16389732979892702,25.350000000000023,0.07621031732046224,19
22,1.3000000000000043,-2.2999999999999994,231,32,36.52999999999997,0.23823392430104873,0.65625,0.006814924122151511,8.59375,0.16389732979892702,25.350000000000023,0.07433659450212171,20
22,1.7000000000000046,-2.2999999999999994,231,18,36.529999999999944,0.23747420168568678,0.8333333333333334,0.011997252108135384,14.277777777777779,0.16389732979892702,25.350000000000023,0.07357687188675976,21
65,1.600000000000004,-1.5999999999999988,188,13,37.09,0.2338992569490621,1.0,0.016328258748261826,7.384615384615385,0.07256911344137285,12.180000000000007,0.16133014350768926,22
22,1.3000000000000043,-2.6999999999999997,231,34,35.49999999999997,0.23276245529556294,0.6764705882352942,0.006290065326472416,8.352941176470589,0.16389732979892702,25.350000000000023,0.06886512549663593,23
22,1.3000000000000043,-2.5999999999999996,231,34,35.49999999999997,0.23276245529556294,0.6764705882352942,0.006290065326472416,8.352941176470589,0.16389732979892702,25.350000000000023,0.06886512549663593,24
22,1.3000000000000043,-2.4999999999999996,231,34,35.49999999999997,0.23276245529556294,0.6764705882352942,0.006290065326472416,8.352941176470589,0.16389732979892702,25.350000000000023,0.06886512549663593,25
22,1.3000000000000043,-2.3999999999999995,231,34,35.49999999999997,0.23276245529556294,0.6764705882352942,0.006290065326472416,8.352941176470589,0.16389732979892702,25.350000000000023,0.06886512549663593,26
22,1.900000000000004,-2.2999999999999994,231,14,35.889999999999986,0.23244032179931584,0.8571428571428571,0.01515148564799651,18.785714285714285,0.16389732979892702,25.350000000000023,0.06854299200038882,27
65,1.3000000000000043,-1.5999999999999988,188,19,36.50999999999999,0.22911004012686886,0.8947368421052632,0.010948143082814268,4.7894736842105265,0.07256911344137285,12.180000000000007,0.15654092668549602,28
22,1.3000000000000043,-3.0,231,34,34.96999999999997,0.22876538564721294,0.6764705882352942,0.006188144959873122,8.441176470588236,0.16389732979892702,25.350000000000023,0.06486805584828592,29
22,1.3000000000000043,-2.9,231,34,34.96999999999997,0.22876538564721294,0.6764705882352942,0.006188144959873122,8.441176470588236,0.16389732979892702,25.350000000000023,0.06486805584828592,30
22,1.3000000000000043,-2.8,231,34,34.96999999999997,0.22876538564721294,0.6764705882352942,0.006188144959873122,8.441176470588236,0.16389732979892702,25.350000000000023,0.06486805584828592,31
22,1.3000000000000043,-0.9999999999999982,231,16,35.00999999999999,0.22851230000469647,0.8125,0.01310133904152009,14.6875,0.16389732979892702,25.350000000000023,0.06461497020576945,32
65,1.600000000000004,-1.4999999999999987,188,12,36.23000000000002,0.22822573307312854,1.0,0.017305947529237715,7.5,0.07256911344137285,12.180000000000007,0.1556566196317557,33
22,1.3000000000000043,-0.8999999999999981,231,16,34.78,0.2270351703639295,0.8125,0.013021967248300743,14.375,0.16389732979892702,25.350000000000023,0.06313784056500249,34
5,-0.5999999999999979,-1.799999999999999,248,88,35.009999999999906,0.22685040170853177,0.6136363636363636,0.0023880683041432984,2.5795454545454546,0.12554708015505822,20.080000000000013,0.10130332155347355,35
65,1.7000000000000046,-1.799999999999999,188,15,35.90999999999994,0.22568447828773097,1.0,0.013684769479901382,5.6,0.07256911344137285,12.180000000000007,0.15311536484635813,36
5,-0.5999999999999979,-1.899999999999999,248,88,34.819999999999936,0.22554331147346374,0.6022727272727273,0.0023754492304139205,2.625,0.12554708015505822,20.080000000000013,0.09999623131840552,37
22,1.8000000000000043,-2.2999999999999994,231,15,34.85999999999996,0.22518142797045404,0.8666666666666667,0.013721530338815062,17.466666666666665,0.16389732979892702,25.350000000000023,0.061284098171527024,38
65,1.7000000000000046,-1.5999999999999988,188,12,35.53,0.22478276958192067,1.0,0.017078736911662635,6.5,0.07256911344137285,12.180000000000007,0.15221365614054783,39
22,2.2000000000000046,-2.6999999999999997,231,9,34.900000000000034,0.22466645037816835,1.0,0.02285708964474807,22.0,0.16389732979892702,25.350000000000023,0.06076912057924133,40
65,1.600000000000004,-1.899999999999999,188,19,36.059999999999974,0.22429457914444573,0.8947368421052632,0.010739863734556663,5.947368421052632,0.07256911344137285,12.180000000000007,0.15172546570307288,41
22,2.2000000000000046,-3.0,231,10,34.68000000000001,0.22304432272091756,1.0,0.02042664526814413,20.0,0.16389732979892702,25.350000000000023,0.05914699292199055,42
22,2.2000000000000046,-2.9,231,10,34.68000000000001,0.22304432272091756,1.0,0.02042664526814413,20.0,0.16389732979892702,25.350000000000023,0.05914699292199055,43
22,2.2000000000000046,-2.8,231,10,34.68000000000001,0.22304432272091756,1.0,0.02042664526814413,20.0,0.16389732979892702,25.350000000000023,0.05914699292199055,44
5,1.1000000000000032,-1.0999999999999983,248,36,34.98999999999987,0.22280710812062998,0.7777777777777778,0.005755205207957686,7.611111111111111,0.12554708015505822,20.080000000000013,0.09726002796557176,45
5,1.7000000000000046,-0.8999999999999981,248,16,35.1999999999999,0.2219122839651786,0.75,0.012832810790463604,19.5625,0.12554708015505822,20.080000000000013,0.09636520381012037,46
22,2.0000000000000044,-2.2999999999999994,231,11,34.119999999999976,0.22007393339863035,0.9090909090909091,0.018435659244671034,24.272727272727273,0.16389732979892702,25.350000000000023,0.056176603599703334,47
22,2.100000000000005,-2.2999999999999994,231,11,34.119999999999976,0.22007393339863035,0.9090909090909091,0.018435659244671034,24.272727272727273,0.16389732979892702,25.350000000000023,0.056176603599703334,48
22,1.5000000000000036,-2.2999999999999994,231,22,33.97999999999996,0.2197125218027327,0.8636363636363636,0.009189849640614055,11.363636363636363,0.16389732979892702,25.350000000000023,0.05581519200380569,49
65,1.7000000000000046,-1.4999999999999987,188,11,34.670000000000016,0.2191511637219441,1.0,0.018213531778490954,6.545454545454546,0.07256911344137285,12.180000000000007,0.14658205028057125,50
22,-1.9999999999999991,-2.5999999999999996,231,113,33.200000000000045,0.2191089818349492,0.5575221238938053,0.0018035303888873319,1.4778761061946903,0.16389732979892702,25.350000000000023,0.055211652036022185,51
22,-1.9999999999999991,-2.4999999999999996,231,113,33.200000000000045,0.2191089818349492,0.5575221238938053,0.0018035303888873319,1.4778761061946903,0.16389732979892702,25.350000000000023,0.055211652036022185,52
22,-1.9999999999999991,-2.3999999999999995,231,113,33.200000000000045,0.2191089818349492,0.5575221238938053,0.0018035303888873319,1.4778761061946903,0.16389732979892702,25.350000000000023,0.055211652036022185,53
22,-1.899999999999999,-2.5999999999999996,231,113,33.200000000000045,0.2191089818349492,0.5575221238938053,0.0018035303888873319,1.4778761061946903,0.16389732979892702,25.350000000000023,0.055211652036022185,54
22,-1.899999999999999,-2.4999999999999996,231,113,33.200000000000045,0.2191089818349492,0.5575221238938053,0.0018035303888873319,1.4778761061946903,0.16389732979892702,25.350000000000023,0.055211652036022185,55
22,-1.899999999999999,-2.3999999999999995,231,113,33.200000000000045,0.2191089818349492,0.5575221238938053,0.0018035303888873319,1.4778761061946903,0.16389732979892702,25.350000000000023,0.055211652036022185,56
65,2.0000000000000044,-1.799999999999999,188,6,35.18999999999997,0.21811353394110733,1.0,0.03371794984832632,17.0,0.07256911344137285,12.180000000000007,0.14554442049973448,57
5,1.1000000000000032,-0.8999999999999981,248,33,34.34999999999991,0.21805084623623405,0.7878787878787878,0.006155153124514548,7.9393939393939394,0.12554708015505822,20.080000000000013,0.09250376608117583,58
22,1.900000000000004,-2.1999999999999993,231,12,33.74999999999997,0.21758101470674163,0.8333333333333334,0.016662163873276736,21.833333333333332,0.16389732979892702,25.350000000000023,0.05368368490781461,59
5,-0.4999999999999978,-1.799999999999999,248,85,33.66999999999993,0.21748559815064294,0.5882352941176471,0.0023791771287906926,2.7294117647058824,0.12554708015505822,20.080000000000013,0.09193851799558472,60
65,1.600000000000004,-1.6999999999999988,188,13,34.79999999999998,0.21728916675664922,1.0,0.015266030468862511,7.538461538461538,0.07256911344137285,12.180000000000007,0.14472005331527638,61
5,1.900000000000004,1.3000000000000043,248,5,33.94999999999999,0.2169760410132231,0.6,0.041598203487709304,58.6,0.12554708015505822,20.080000000000013,0.09142896085816488,62
