Date,predicted_future_return,portfolio_weight,active_anchor_date,active_model_name,active_target_horizon_days,prediction_scale,price
2024-01-02,0.029495474735058633,0.375087955304746,2023-12-29,ols,130,0.07863615538146135,190.72
2024-01-03,0.04760272550377874,0.6053541818373434,2023-12-29,ols,130,0.07863615538146135,189.13
2024-01-04,0.10948472646601995,1.0,2023-12-29,ols,130,0.07863615538146135,189.32
2024-01-05,0.13572484881795793,1.0,2023-12-29,ols,130,0.07863615538146135,189.35
2024-01-08,0.12782095906189297,1.0,2023-12-29,ols,130,0.07863615538146135,187.87
2024-01-09,0.11310500617996361,1.0,2023-12-29,ols,130,0.07863615538146135,187.93
2024-01-10,0.04176834922395825,0.5311596049087267,2023-12-29,ols,130,0.07863615538146135,187.5
2024-01-11,-0.0416889105897185,0.0,2023-12-29,ols,130,0.07863615538146135,187.87
2024-01-12,-0.014678721859437797,0.0,2023-12-29,ols,130,0.07863615538146135,189.71
2024-01-16,-0.13858813728044075,0.0,2023-12-29,ols,130,0.07863615538146135,187.91
2024-01-17,-0.18107121938720377,0.0,2023-12-29,ols,130,0.07863615538146135,185.84
2024-01-18,-0.20893745585852028,0.0,2023-12-29,ols,130,0.07863615538146135,187.37
2024-01-19,-0.25291771950339176,0.0,2023-12-29,ols,130,0.07863615538146135,187.93
2024-01-22,-0.23144497745443152,0.0,2023-12-29,ols,130,0.07863615538146135,187.22
2024-01-23,-0.22684151531559313,0.0,2023-12-29,ols,130,0.07863615538146135,187.95
2024-01-24,-0.23851497194332952,0.0,2023-12-29,ols,130,0.07863615538146135,186.4
2024-01-25,-0.21467818351892448,0.0,2023-12-29,ols,130,0.07863615538146135,187.14
2024-01-26,-0.15449331409631348,0.0,2023-12-29,ols,130,0.07863615538146135,187.01
2024-01-29,-0.08380940787923877,0.0,2023-12-29,ols,130,0.07863615538146135,188.33
2024-01-30,-0.06539201726239521,0.0,2023-12-29,ols,130,0.07863615538146135,188.59
2024-01-31,-0.05258504974674195,0.0,2023-12-29,ols,130,0.07863615538146135,188.45
2024-02-01,-0.023970588080868403,0.0,2024-01-31,ols,130,0.06964339709689253,190.41
2024-02-02,0.004254470685165011,0.06108936184209837,2024-01-31,ols,130,0.06964339709689253,188.61
2024-02-05,0.027249932807227907,0.39127805281118017,2024-01-31,ols,130,0.06964339709689253,187.57
2024-02-06,0.009519983277319476,0.13669613594630717,2024-01-31,ols,130,0.06964339709689253,188.55
2024-02-07,0.01746021815180749,0.25070888095127913,2024-01-31,ols,130,0.06964339709689253,188.5
2024-02-08,0.026584705055460546,0.3817261386384431,2024-01-31,ols,130,0.06964339709689253,188.33
2024-02-09,0.042499329894639636,0.6102420569104597,2024-01-31,ols,130,0.06964339709689253,187.6
2024-02-12,0.04124084695812045,0.5921716727968257,2024-01-31,ols,130,0.06964339709689253,187.11
2024-02-13,0.04615432522648156,0.6627236342631102,2024-01-31,ols,130,0.06964339709689253,184.53
2024-02-14,0.047595829847197825,0.6834220016720226,2024-01-31,ols,130,0.06964339709689253,184.42
2024-02-15,0.04572121575843486,0.6565046747335496,2024-01-31,ols,130,0.06964339709689253,185.66
2024-02-16,0.04738320689794446,0.680368977866226,2024-01-31,ols,130,0.06964339709689253,186.34
2024-02-20,0.03176325858507891,0.4560842794743018,2024-01-31,ols,130,0.06964339709689253,187.47
2024-02-21,0.028860361707503786,0.4144019808130745,2024-01-31,ols,130,0.06964339709689253,187.48
2024-02-22,0.024485163481091816,0.35157910874201653,2024-01-31,ols,130,0.06964339709689253,187.56
2024-02-23,0.015054180697904117,0.21616091870073106,2024-01-31,ols,130,0.06964339709689253,188.62
2024-02-26,0.014935906101395217,0.2144626299692904,2024-01-31,ols,130,0.06964339709689253,188.2
2024-02-27,0.016475588597805922,0.23657072004807558,2024-01-31,ols,130,0.06964339709689253,188.0
2024-02-28,0.016542891205839037,0.2375371089785219,2024-01-31,ols,130,0.06964339709689253,188.34
2024-02-29,0.005568107704667057,0.07995169587894074,2024-01-31,ols,130,0.06964339709689253,189.31
