month_start,month_end,active_anchor_date,active_model_name,target_horizon_days,selection_criterion,selection_correlation,selection_directional_accuracy,selection_mse,selection_long_short_strategy_return,selection_rows,evaluation_rows,nonzero_count,prediction_scale,top_abs_coefficients
2024-01-01,2024-06-30,2023-12-29,ols,45,selection_correlation,0.896660961436732,0.9072164948453608,0.0003774953157902294,23.50207566823705,97,97,34,0.08806145773773323,"[('ma_crossover_rank04_score', 0.6639347515502909), ('ma_crossover_rank03_score', -0.4637543488090136), ('ma_crossover_rank05_score', -0.35512732019749543), ('ma_crossover_rank10_score', -0.31460434188429587), ('ma_crossover_rank09_score', 0.20879762678879504), ('ma_crossover_rank06_score', 0.15121519775140274), ('adaptive_band_rank10_score', -0.12425944371953108), ('adaptive_band_rank02_score', 0.09311841307512245), ('adaptive_band_rank09_score', 0.07880670968809599), ('adaptive_band_rank07_score', 0.057757500708075)]"
2024-07-01,2024-12-31,2024-06-28,ols,45,selection_correlation,0.7905383901375408,0.8881118881118881,0.0011753369034000908,4439.340837617018,143,143,30,0.11731020916660473,"[('adaptive_band_rank02_score', -0.9831149530642496), ('adaptive_band_rank05_score', -0.9389231618728935), ('adaptive_band_rank08_score', -0.6628853696059941), ('adaptive_band_rank09_score', 0.5779179866424852), ('adaptive_band_rank07_score', 0.5713240479367211), ('adaptive_band_rank06_score', 0.5172784616550543), ('adaptive_band_rank04_score', 0.5163232581647499), ('ma_crossover_rank08_score', 0.45699621182399136), ('ma_crossover_rank10_score', -0.4365145604367936), ('ma_crossover_rank03_score', 0.3264950026687683)]"
