Date,predicted_future_return,portfolio_weight,price,gross_exposure,net_equity
2023-01-03,-0.16539125392219484,0.0,171.06,0.0,1.0
2023-01-04,-0.16110736368909595,0.0,172.67,0.0,1.0
2023-01-05,-0.13065212202884816,0.0,170.52,0.0,1.0
2023-01-06,-0.13888690958157252,0.0,173.71,0.0,1.0
2023-01-09,-0.14248347687628576,0.0,174.1,0.0,1.0
2023-01-10,-0.1532766415960285,0.0,174.74,0.0,1.0
2023-01-11,-0.15169974036069545,0.0,174.62,0.0,1.0
2023-01-12,-0.1728319321428503,0.0,176.64,0.0,1.0
2023-01-13,-0.18541142588953968,0.0,178.76,0.0,1.0
2023-01-17,-0.1838158877710846,0.0,177.59,0.0,1.0
2023-01-18,-0.18848233309732076,0.0,177.08,0.0,1.0
2023-01-19,-0.2117722078399557,0.0,179.89,0.0,1.0
2023-01-20,-0.22320332270092377,0.0,179.29,0.0,1.0
2023-01-23,-0.24555950316861513,0.0,179.63,0.0,1.0
2023-01-24,-0.23975969095780483,0.0,180.28,0.0,1.0
2023-01-25,-0.2479777608031946,0.0,181.11,0.0,1.0
2023-01-26,-0.21963204692447078,0.0,179.47,0.0,1.0
2023-01-27,-0.2174778910455702,0.0,179.22,0.0,1.0
2023-01-30,-0.20209393963979985,0.0,178.76,0.0,1.0
2023-01-31,-0.1988788637582316,0.0,179.41,0.0,1.0
2023-02-01,-0.211522100388497,0.0,181.67,0.0,1.0
2023-02-02,-0.18640757610429032,0.0,177.9,0.0,1.0
2023-02-03,-0.1639997309690081,0.0,173.46,0.0,1.0
2023-02-06,-0.14794011642439067,0.0,173.82,0.0,1.0
2023-02-07,-0.13691643941445042,0.0,173.98,0.0,1.0
2023-02-08,-0.13881405749994982,0.0,174.41,0.0,1.0
2023-02-09,-0.12795065949594242,0.0,173.03,0.0,1.0
2023-02-10,-0.12617670954466104,0.0,173.36,0.0,1.0
2023-02-13,-0.11619462350426624,0.0,172.48,0.0,1.0
2023-02-14,-0.11757825892432129,0.0,172.61,0.0,1.0
2023-02-15,-0.09274187618701812,0.0,170.89,0.0,1.0
2023-02-16,-0.08732698518788835,0.0,170.75,0.0,1.0
2023-02-17,-0.061841092168118145,0.0,171.26,0.0,1.0
2023-02-21,-0.08172475635328942,0.0,170.62,0.0,1.0
2023-02-22,-0.07035311532895556,0.0,169.66,0.0,1.0
2023-02-23,-0.05992316047761887,0.0,169.57,0.0,1.0
2023-02-24,-0.05495097299354762,0.0,168.35,0.0,1.0
2023-02-27,-0.06566536651565644,0.0,169.01,0.0,1.0
2023-02-28,-0.08527324496903743,0.0,169.78,0.0,1.0
2023-03-01,-0.020423034477617234,0.0,170.76,0.0,1.0
2023-03-02,-0.026613429715900555,0.0,170.66,0.0,1.0
2023-03-03,-0.017611872692157932,0.0,172.49,0.0,1.0
2023-03-06,-0.026135385192691235,0.0,171.62,0.0,1.0
2023-03-07,0.04352993973935679,0.46063530536864455,168.62,0.0035433485028357275,1.0
2023-03-08,0.05167006316812732,0.546774368822482,168.54,0.007747624081351708,0.9999983188952661
2023-03-09,0.02026179583387297,0.21441101382492098,170.2,0.009473248199196725,1.0000746275221504
2023-03-10,0.01461035876487532,0.15460731421869964,173.87,0.010866805624662669,1.0002788979151647
2023-03-13,0.015485078876394637,0.163863632240144,177.86,0.0123766685113953,1.000528271323127
2023-03-14,-0.00575277972522726,0.0,176.83,0.012304994337512825,1.0004565971492445
2023-03-15,-0.019399115167360176,0.0,178.21,0.012401023813200025,1.0005526266249316
2023-03-16,-0.11243575247230621,0.0,178.57,0.012426074980770599,1.0005776777925022
2023-03-17,-0.08162213036757007,0.0,183.77,0.012787925179012226,1.0009395279907438
2023-03-20,-0.11176321516477175,0.0,183.84,0.01279279623937317,1.0009443990511049
2023-03-21,0.04535558340102301,0.4799543287953096,180.37,0.016243287193972004,1.000702933630355
2023-03-22,0.5502095231382038,1.0,183.44,0.024212064874002123,1.0009794036180775
2023-03-23,0.4216588316500599,1.0,185.74,0.03220794730033841,1.0012829783521062
2023-03-24,0.2881359338635412,1.0,183.65,0.03953784188907279,1.0009205652485327
2023-03-27,0.2893980663233856,1.0,181.95,0.04686415812365424,1.0005545737908066
2023-03-28,0.24811609383789954,1.0,183.44,0.05494023935596878,1.0009383473308133
2023-03-29,0.1894825886059833,1.0,182.53,0.06236000224990135,1.0006658025324382
2023-03-30,-0.0825531635252999,0.0,184.18,0.06292371234529574,1.0012295126278326
2023-03-31,-0.2029668215693656,0.0,183.22,0.06259573556252082,1.0009015358450577
2023-04-03,-0.2951495375289979,0.0,184.54,0.06304670363883633,1.001352503921373
2023-04-04,-0.31029703480090964,0.0,187.98,0.0642219537771131,1.00252775405965
2023-04-05,-0.44938711833054834,0.0,187.83,0.06417070740480453,1.0024765076873414
2023-04-06,-0.5720619943894648,0.0,186.49,0.06371290647884789,1.0020187067613848
2023-04-10,-0.6737498174407258,0.0,185.11,0.06324143985360894,1.0015472401361458
2023-04-11,-0.5461781225076746,0.0,186.28,0.06364116155761586,1.0019469618401526
2023-04-12,-0.07291022314371773,0.0,187.19,0.06395205621628793,1.0022578564988247
2023-04-13,-0.04552815420429413,0.0,189.72,0.06481641169589264,1.0031222119784295
2023-04-14,0.05207800903590329,0.5510912658938317,186.36,0.06790765653997916,1.0019742932387175
2023-04-17,0.028703729986903417,0.30374384864544146,185.53,0.0699417042678219,1.0016718498231336
2023-04-18,-0.07154057729471397,0.0,186.25,0.07021313221517722,1.001943277770489
2023-04-19,0.08404571315227813,0.8893745999795679,185.36,0.07671896019035114,1.0016077626688968
2023-04-20,0.18177430122729307,1.0,186.09,0.08471340880270067,1.0019099035889387
2023-04-21,0.31250187265438345,1.0,184.25,0.09156809667558244,1.001072283769513
2023-04-24,0.2483548820192458,1.0,184.81,0.09953871174448892,1.0013505911461116
2023-04-25,0.16349766217590675,1.0,185.75,0.10773730366946702,1.0018568753787822
2023-04-26,0.062302446352710136,0.6592866099225684,184.74,0.11222292660440092,1.0012710628527732
2023-04-27,-0.1267009493068835,0.0,184.75,0.11222900124587566,1.001277137494248
2023-04-28,-0.16494015730961223,0.0,184.8,0.11225937445324938,1.0013075107016216
2023-05-01,-1.3177676037440214,0.0,183.97,0.1117551792108457,1.000803315459218
2023-05-02,-1.366892677172396,0.0,187.52,0.11391167693437947,1.0029598131827517
2023-05-03,-1.3325296495969876,0.0,189.11,0.11487754492886358,1.0039256811772357
2023-05-04,-1.3307201630637842,0.0,190.44,0.11568547224500438,1.0047336084933767
