Date,adaptive_band_rank01_score,adaptive_band_rank02_score,adaptive_band_rank03_score,adaptive_band_rank04_score,adaptive_band_rank05_score,adaptive_band_rank06_score,adaptive_band_rank07_score,adaptive_band_rank08_score,adaptive_band_rank09_score,adaptive_band_rank10_score,ma_crossover_rank01_score,ma_crossover_rank02_score,ma_crossover_rank03_score,ma_crossover_rank04_score,ma_crossover_rank05_score,ma_crossover_rank06_score,ma_crossover_rank07_score,ma_crossover_rank08_score,ma_crossover_rank09_score,ma_crossover_rank10_score,adaptive_volatility_band_rank01_score,adaptive_volatility_band_rank02_score,adaptive_volatility_band_rank03_score,adaptive_volatility_band_rank04_score,adaptive_volatility_band_rank05_score,adaptive_volatility_band_rank06_score,adaptive_volatility_band_rank07_score,adaptive_volatility_band_rank08_score,adaptive_volatility_band_rank09_score,adaptive_volatility_band_rank10_score,fear_greed_candle_volume_rank01_score,fear_greed_candle_volume_rank02_score,fear_greed_candle_volume_rank03_score,fear_greed_candle_volume_rank04_score,fear_greed_candle_volume_rank05_score,fear_greed_candle_volume_rank06_score,fear_greed_candle_volume_rank07_score,fear_greed_candle_volume_rank08_score,fear_greed_candle_volume_rank09_score,fear_greed_candle_volume_rank10_score,predicted_future_return,portfolio_weight,active_anchor_date,active_model_name,active_target_horizon_days,prediction_scale,price
2020-03-16,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.08835846538526744,-0.6117952815886373,0.28560903535069243,-0.04958407497548467,-0.925209687211901,0.6180583435412103,0.6885766716602397,0.8405307297534178,0.2170356220324667,0.3014841251532172,-0.21005127128626208,-0.4441006719335785,-0.4639542193645219,-0.48243855662781443,-0.3925256479359513,-0.4134730393864356,-0.43302393807355455,-0.3445075221450562,-0.36635727140688756,-0.3867973594260204,0,0,0,0,0,0,0,0,0,0,-0.36787586143142337,0.0,2020-02-28,ols,130,0.09432624542108228,141.64
2020-03-17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.14705957549075083,-0.9851308055951712,0.2799458372810232,-0.2913291438119763,-1.0,0.6386657644716298,0.5380712537528919,0.8115135584155716,0.22553170612426882,0.2968702645732637,0.30107150706169317,-0.10167571738959288,-0.13375872748282158,-0.16362911619031034,-0.062330156054250116,-0.094663598948931,-0.1248414789839665,-0.02569808170755199,-0.05817481231730012,-0.08855626998448414,0,0,0,0,0,0,0,0,0,0,-0.4088875800566264,0.0,2020-02-28,ols,130,0.09432624542108228,143.56
2020-03-18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.4301339182990766,-1.0,0.27844951835975884,-0.5788441280104513,-1.0,0.6694074776085136,0.31112124892371806,0.7739944371562941,0.2337162930907213,0.3043338625702561,1.0,0.591571825895886,0.5347299749710333,0.4818082516961698,0.6061585463996041,0.5507737689375493,0.49908130997296396,0.6197392861789283,0.5657479766396311,0.515239977393191,0,0,0,0,0,0,0,0,0,0,-0.37051681561434513,0.0,2020-02-28,ols,130,0.09432624542108228,140.7
2020-03-19,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9707159183297724,-1.0,0.2637614371103054,-1.0,-1.0,0.6717485299115314,0.032879392224451805,0.7345245816894234,0.2918494440944349,0.3157780461657487,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,-0.3867817021023592,0.0,2020-02-28,ols,130,0.09432624542108228,138.04
2020-03-20,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.24379933490972822,-1.0,-1.0,0.6733605703131579,-0.2948459497726198,0.6954773853009057,0.3664374307405351,0.3118426944945317,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,-0.2536677953669253,0.0,2020-02-28,ols,130,0.09432624542108228,140.11
2020-03-23,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.23619025124737134,-1.0,-1.0,0.6494777297132159,-0.6084331531131822,0.6551296994406264,0.444981430877618,0.3468989881170026,0.2502007876788817,0.5786702246258968,0.5222891451749719,0.46979641603100747,0.5937177166035429,0.5387619332723862,0.48746986882997373,0.6077274505137655,0.55413653549664,0.5040030988677165,0,0,0,0,0,0,0,0,0,0,-0.10396908762224488,0.0,2020-02-28,ols,130,0.09432624542108228,146.3
2020-03-24,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.24434284088558797,-1.0,-1.0,0.6461715067238549,-0.6861929157239591,0.6062312953037712,0.4913399905460374,0.3757129997783472,0.6290921564648762,1.0,1.0,0.958668817596919,1.0,1.0,0.960046523677022,1.0,1.0,0.961335345493892,0,0,0,0,0,0,0,0,0,0,-0.0937760486006251,0.0,2020-02-28,ols,130,0.09432624542108228,153.4
2020-03-25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8344224464343051,0.244664918500936,-1.0,-0.7916394954015019,0.6281515646546029,-0.7798169850830386,0.5409711080007876,0.5363357502914543,0.3587955109850583,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0.04226414180399152,0.44806343786207053,2020-02-28,ols,130,0.09432624542108228,151.3
2020-03-26,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.27303754266211083,0.23984046422123556,-1.0,-0.09950304692945282,0.6478862248580203,-0.8383423032425367,0.47398777214775506,0.5437026573041053,0.3593383181121339,0.8357712496202101,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0.2707560105194108,1.0,2020-02-28,ols,130,0.09432624542108228,153.24
2020-03-27,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.19857954757619564,0.23694847563350316,-1.0,0.402959231858967,0.6661833968052608,-0.5987337324069557,0.4209684419973654,0.5431419624786349,0.35024629873388774,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0.3624826571174349,1.0,2020-02-28,ols,130,0.09432624542108228,152.25
2020-03-30,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.21312389104502394,0.46945131104323723,0.22391104216266827,-0.9117657742744051,0.6588563333408343,0.6990916100997481,-0.34161688521186595,0.3896103896103908,0.5324108865130103,0.3351381670307968,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0.22316933821376442,1.0,2020-02-28,ols,130,0.09432624542108228,152.92
2020-03-31,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3254127741387926,0.30888492244269633,0.2347811616803038,-0.6425950815503646,0.48391086325920246,0.7084660870850873,-0.40901963927197577,0.3509614681225551,0.5220380322415056,0.24783668742900136,-0.9685095998458636,0.03292686212768878,-0.003963382948300036,-0.03830947319146204,0.06746518848027125,0.030656044049917144,-0.003699157418413368,0.09962156129129633,0.06296750924825317,0.028678234756374103,0,0,0,0,0,0,0,0,0,0,0.2659451621166974,1.0,2020-02-28,ols,130,0.09432624542108228,148.05
