date,slot,signal,weight,recycled_capital
2024-01-02,0,-0.0214923351654352,0.0,0.022222222222222223
2024-01-03,1,-0.020073527683417837,0.0,0.022222222222222223
2024-01-04,2,-0.028288682175497033,0.0,0.022222222222222223
2024-01-05,3,-0.03351788685156726,0.0,0.022222222222222223
2024-01-08,4,-0.05531329333284035,0.0,0.022222222222222223
2024-01-09,5,-0.08828864446466177,0.0,0.022222222222222223
2024-01-10,6,-0.10797152910633594,0.0,0.022222222222222223
2024-01-11,7,-0.09156598022926815,0.0,0.022222222222222223
2024-01-12,8,-0.11774652258382043,0.0,0.022222222222222223
2024-01-16,9,-0.10416361295262215,0.0,0.022222222222222223
2024-01-17,10,-0.0900853582739213,0.0,0.022222222222222223
2024-01-18,11,-0.08159842997374989,0.0,0.022222222222222223
2024-01-19,12,-0.0791372820214726,0.0,0.022222222222222223
2024-01-22,13,-0.07909776483238412,0.0,0.022222222222222223
2024-01-23,14,-0.0844060272866689,0.0,0.022222222222222223
2024-01-24,15,-0.09495090942255374,0.0,0.022222222222222223
2024-01-25,16,-0.10463094411986745,0.0,0.022222222222222223
2024-01-26,17,-0.10221083522359155,0.0,0.022222222222222223
2024-01-29,18,-0.09286438402011392,0.0,0.022222222222222223
2024-01-30,19,-0.0989004185722101,0.0,0.022222222222222223
2024-01-31,20,-0.054481900156816906,0.0,0.022222222222222223
2024-02-01,21,-0.057722434061588015,0.0,0.022222222222222223
2024-02-02,22,-0.04352013138048062,0.0,0.022222222222222223
2024-02-05,23,-0.045433239104775466,0.0,0.022222222222222223
2024-02-06,24,-0.04831894993178665,0.0,0.022222222222222223
2024-02-07,25,-0.07703833284024451,0.0,0.022222222222222223
2024-02-08,26,-0.09092505296969815,0.0,0.022222222222222223
2024-02-09,27,-0.08384350177928336,0.0,0.022222222222222223
2024-02-12,28,-0.07200194347947063,0.0,0.022222222222222223
2024-02-13,29,-0.047379724845648986,0.0,0.022222222222222223
2024-02-14,30,-0.03163112794134168,0.0,0.022222222222222223
2024-02-15,31,-0.0036006023867347636,0.0,0.022222222222222223
2024-02-16,32,-0.005834856862058108,0.0,0.022222222222222223
2024-02-20,33,-0.045082293112459995,0.0,0.022222222222222223
2024-02-21,34,-0.04073383364136837,0.0,0.022222222222222223
2024-02-22,35,-0.04074251035276838,0.0,0.022222222222222223
2024-02-23,36,-0.08313321816123452,0.0,0.022222222222222223
2024-02-26,37,-0.06702445689233233,0.0,0.022222222222222223
2024-02-27,38,-0.06021378971802324,0.0,0.022222222222222223
2024-02-28,39,-0.0627414692953642,0.0,0.022222222222222223
2024-02-29,40,-0.08423096652524666,0.0,0.022222222222222223
2024-03-01,41,-0.0892828819926198,0.0,0.022222222222222223
2024-03-04,42,-0.08008432918976352,0.0,0.022222222222222223
2024-03-05,43,-0.08913666198866543,0.0,0.022222222222222223
2024-03-06,44,-0.08114063578874804,0.0,0.022222222222222223
2024-03-07,0,-0.11256212843081863,0.0,0.022222222222222223
2024-03-08,1,-0.1590648483704847,0.0,0.022222222222222223
2024-03-11,2,-0.13576762917101656,0.0,0.022222222222222223
2024-03-12,3,-0.11812133455843764,0.0,0.022222222222222223
2024-03-13,4,-0.10290515954715544,0.0,0.022222222222222223
2024-03-14,5,-0.08911511336542534,0.0,0.022222222222222223
2024-03-15,6,-0.08586671503026135,0.0,0.022222222222222223
2024-03-18,7,-0.08798525749674165,0.0,0.022222222222222223
2024-03-19,8,-0.10243153345477544,0.0,0.022222222222222223
2024-03-20,9,-0.14289505283845275,0.0,0.022222222222222223
2024-03-21,10,-0.13619823829880442,0.0,0.022222222222222223
2024-03-22,11,-0.12344008925680203,0.0,0.022222222222222223
2024-03-25,12,-0.12736849448834062,0.0,0.022222222222222223
2024-03-26,13,-0.11655994963573317,0.0,0.022222222222222223
2024-03-27,14,-0.13158656904187566,0.0,0.022222222222222223
2024-03-28,15,-0.12512857941494407,0.0,0.022222222222222223
2024-04-01,16,-0.024323255498344853,0.0,0.022222222222222223
2024-04-02,17,-0.07305897638627479,0.0,0.022222222222222223
2024-04-03,18,-0.07944589147887285,0.0,0.022222222222222223
2024-04-04,19,-0.07596632104625911,0.0,0.022222222222222223
2024-04-05,20,-0.06856155385582435,0.0,0.022222222222222223
2024-04-08,21,-0.06556724126791888,0.0,0.022222222222222223
2024-04-09,22,-0.06411917915391671,0.0,0.022222222222222223
2024-04-10,23,-0.05878730560486916,0.0,0.022222222222222223
2024-04-11,24,-0.05654465062673967,0.0,0.022222222222222223
2024-04-12,25,-0.05151961315943398,0.0,0.022222222222222223
2024-04-15,26,-0.05371287107635373,0.0,0.022222222222222223
2024-04-16,27,-0.0579779397002519,0.0,0.022222222222222223
2024-04-17,28,-0.058251743873530416,0.0,0.022222222222222223
2024-04-18,29,-0.05170377378931069,0.0,0.022222222222222223
2024-04-19,30,-0.052195146762608884,0.0,0.022222222222222223
2024-04-22,31,-0.021477117062454823,0.0,0.022222222222222223
2024-04-23,32,-0.012151253656825942,0.0,0.022222222222222223
2024-04-24,33,-0.0037540477648490417,0.0,0.022222222222222223
2024-04-25,34,-0.0004242926203283093,0.0,0.022222222222222223
2024-04-26,35,0.005102158274221908,0.0545912159457637,0.022222222222222223
2024-04-29,36,0.0021829679613273173,0.0233569538564887,0.022222222222222223
2024-04-30,37,0.00830482434304795,0.0888585643047512,0.022222222222222223
2024-05-01,38,0.005425003844983657,0.058045544746113543,0.022222222222222223
2024-05-02,39,0.009082194847714518,0.09717614263322666,0.022222222222222223
2024-05-03,40,0.01616639485179628,0.1729744756994006,0.022222222222222223
2024-05-06,41,0.02422782825196039,0.2592288464828834,0.022222222222222223
2024-05-07,42,0.03401966156050016,0.3639978595007981,0.022222222222222223
2024-05-08,43,0.04062435232267745,0.434665620137447,0.022222222222222223
2024-05-09,44,0.040668007150721504,0.4351327107325915,0.022222222222222223
2024-05-10,0,0.032304682222413436,0.3456482116937056,0.022222222222222223
2024-05-13,1,0.041090040083136325,0.4396483078017936,0.022222222222222223
2024-05-14,2,0.04217043719049032,0.4512081592655812,0.022222222222222223
2024-05-15,3,0.03739689434911682,0.40013300752119196,0.022222222222222223
2024-05-16,4,0.041790065036561144,0.44713831719505676,0.022222222222222223
2024-05-17,5,0.04729874829569017,0.506079200878597,0.022222222222222223
2024-05-20,6,0.033539257314833,0.3588577108603726,0.022222222222222223
2024-05-21,7,0.02620649048965166,0.2803998042807391,0.022222222222222223
2024-05-22,8,0.03439465435325993,0.3680101443864087,0.022222222222222223
2024-05-23,9,0.04560960121357033,0.4880059487041094,0.022222222222222223
2024-05-24,10,0.051273879764948994,0.5486116447558312,0.022222222222222223
2024-05-28,11,0.061354147587823815,0.6564668009335595,0.022222222222222223
2024-05-29,12,0.07377481193973638,0.7893633387087452,0.022222222222222223
2024-05-30,13,0.07462308174952365,0.798439513511149,0.022222222222222223
2024-05-31,14,0.08306450412796149,0.8887596265266511,0.022222222222222223
2024-06-03,15,0.05886575113158392,0.6298418745788431,0.022222222222222223
2024-06-04,16,0.07203950557749972,0.7707961992235699,0.022222222222222223
2024-06-05,17,0.04448045740690451,0.4759245254964149,0.022222222222222223
2024-06-06,18,0.0338925037172732,0.3626373173722105,0.022222222222222223
2024-06-07,19,0.05747673511088683,0.6149799143136916,0.022222222222222223
2024-06-10,20,0.054821412138780674,0.5865689356679731,0.022222222222222223
2024-06-11,21,0.06117011803662493,0.6544977524583958,0.022222222222222223
2024-06-12,22,0.09083718344406183,0.9719244348718243,0.022222222222222223
2024-06-13,23,0.10432359345462464,1.0,0.022222222222222223
2024-06-14,24,0.11305042843729868,1.0,0.022222222222222223
2024-06-17,25,0.11087766728176945,1.0,0.022222222222222223
2024-06-18,26,0.1372315609174613,1.0,0.022222222222222223
2024-06-20,27,0.12751076460997696,1.0,0.022222222222222223
2024-06-21,28,0.1260059542459942,1.0,0.022222222222222223
2024-06-24,29,0.131390307681503,1.0,0.022222222222222223
2024-06-25,30,0.11023846020760125,1.0,0.022222222222222223
2024-06-26,31,0.1059989712763546,1.0,0.022222222222222223
2024-06-27,32,0.0930786301804022,0.9959070901008303,0.022222222222222223
2024-06-28,33,0.09249347781638162,0.989646175141211,0.022222222222222223
2024-07-01,34,0.09278910270521375,0.7909721017838615,0.022222222222222223
2024-07-02,35,0.11385569855821391,0.9705523446515665,0.022216285898613804
2024-07-03,36,0.1077703870428952,0.9186786709231674,0.0222265679923603
2024-07-05,37,0.039811007196483596,0.3393652392175326,0.02230666169428854
2024-07-08,38,0.09757548310638105,0.8317731576780646,0.022248769602245498
2024-07-09,39,0.10980534055755913,0.9360254434600219,0.02227723991663913
2024-07-10,40,0.06616497082382977,0.5640171583861201,0.022337740696685465
2024-07-11,41,0.08068340639402088,0.6877782161263883,0.022437710885397276
2024-07-12,42,0.07750911480582855,0.6607192618312494,0.022558297511741553
2024-07-15,43,0.07834607259621397,0.6678538309052571,0.022685782335675295
2024-07-16,44,0.09712535564634436,0.8279360878847833,0.022727654087189325
2024-07-17,0,0.09511315628899407,0.8107832810519819,0.022521443693945854
2024-07-18,1,0.07306764877472585,0.6228583965011494,0.022652306574418968
2024-07-19,2,0.0338249531332596,0.2883376764354855,0.02238957389657957
2024-07-22,3,0.0356283096358115,0.3037102217183156,0.022258853933012843
2024-07-23,4,0.03978715570895604,0.3391619194238249,0.022337378509884754
2024-07-24,5,0.02701123089683695,0.2302547330597239,0.022128696601624073
2024-07-25,6,0.11306861335729228,0.9638429098418151,0.022000981322620027
2024-07-26,7,0.10732233223669342,0.914859269275307,0.0221221821546913
2024-07-29,8,0.10520399275950461,0.8968016808331933,0.022230024596824938
2024-07-30,9,0.014534480046213494,0.12389782738833523,0.02256406869513855
2024-07-31,10,0.044465353639169175,0.3790407838760153,0.022822417951479407
2024-08-01,11,0.021464387157613146,0.18297117795714848,0.02272901990121519
2024-08-02,12,-0.003430364525872129,0.0,0.022967180221373704
2024-08-05,13,0.002976883539355643,0.025376167688251697,0.02270641542891966
2024-08-06,14,0.06574941851340235,0.5604748212495692,0.02271758290584135
2024-08-07,15,0.07285516444717685,0.6210470935543851,0.022436789475324306
2024-08-08,16,0.007068442960803514,0.06025428657078657,0.022917654705585645
2024-08-09,17,0.022731514556080815,0.1937726879661204,0.022549478295212748
2024-08-12,18,0.04861887648459314,0.4144471042204374,0.022552014371579138
2024-08-13,19,0.06259600019735077,0.5335937992272397,0.02328529399176679
2024-08-14,20,0.034175071924442316,0.2913222316048099,0.0229950113666507
2024-08-15,21,0.03549585712890557,0.30258114260536456,0.023088841292071408
