Date,adaptive_band_rank01_score,adaptive_band_rank02_score,adaptive_band_rank03_score,adaptive_band_rank04_score,adaptive_band_rank05_score,adaptive_band_rank06_score,adaptive_band_rank07_score,adaptive_band_rank08_score,adaptive_band_rank09_score,adaptive_band_rank10_score,ma_crossover_rank01_score,ma_crossover_rank02_score,ma_crossover_rank03_score,ma_crossover_rank04_score,ma_crossover_rank05_score,ma_crossover_rank06_score,ma_crossover_rank07_score,ma_crossover_rank08_score,ma_crossover_rank09_score,ma_crossover_rank10_score,adaptive_volatility_band_rank01_score,adaptive_volatility_band_rank02_score,adaptive_volatility_band_rank03_score,adaptive_volatility_band_rank04_score,adaptive_volatility_band_rank05_score,adaptive_volatility_band_rank06_score,adaptive_volatility_band_rank07_score,adaptive_volatility_band_rank08_score,adaptive_volatility_band_rank09_score,adaptive_volatility_band_rank10_score,fear_greed_candle_volume_rank01_score,fear_greed_candle_volume_rank02_score,fear_greed_candle_volume_rank03_score,fear_greed_candle_volume_rank04_score,fear_greed_candle_volume_rank05_score,fear_greed_candle_volume_rank06_score,fear_greed_candle_volume_rank07_score,fear_greed_candle_volume_rank08_score,fear_greed_candle_volume_rank09_score,fear_greed_candle_volume_rank10_score,predicted_future_return,portfolio_weight,active_anchor_date,active_model_name,active_target_horizon_days,prediction_scale,price
2021-06-03,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8425319625233333,-1.0,0.8787157600860493,0.5894131744846737,0.8029515639841692,0.7529578154322787,0.8454549419238592,1.0,1.0,1.0,0.9101590515968467,1.0,0.020639479665925314,0.037938453897551225,0.055833944481991624,0.07435734701676347,0.09354229964206288,0.11342488690828205,0.13404386629547274,0.15544092037651924,0.17766093807606778,0.20075232901873585,0,0,0,0,0,0,0,0,0,0,0.05011874981489774,1.0,2020-12-31,elastic_net,130,0.05011874981489774,175.27
2021-06-04,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.23312764172409065,-1.0,0.9677109316002286,0.5777773918480176,0.8122302131889092,0.7576514654056679,0.8807367457006279,1.0,1.0,1.0,0.9233008479939273,1.0,-0.22750457732570553,-0.21441143456851397,-0.20086680413004013,-0.1868469235007426,-0.1723263328489702,-0.15727772071895152,-0.14167175258411718,-0.12547687999136453,-0.1086591276835062,-0.0911818556773005,0,0,0,0,0,0,0,0,0,0,0.05011874981489774,1.0,2020-12-31,elastic_net,130,0.05011874981489774,177.16
2021-06-07,-0.8501603026429355,-0.8351763329072293,-0.938954197373048,-0.9366062818873989,-0.9340705331628885,-0.9313234720446822,-0.9283375360466181,-0.9250801513214717,0.0077487358225257884,-1.0,0.9999542323622853,0.5844983588336624,0.8198585097682564,0.7368097944973905,0.9166145750047329,1.0,1.0,1.0,0.9554064886301316,1.0,0.10591866976640348,0.12466305399973235,0.14405379631007256,0.16412491554358263,0.18491286046400376,0.20645673065425837,0.22879852196267098,0.25198339973555156,0.2760600035766195,0.30108078796047516,0,0,0,0,0,0,0,0,0,0,0.05011874981489774,1.0,2020-12-31,elastic_net,130,0.05011874981489774,177.87
2021-06-08,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.32574958212116356,-1.0,1.0,0.5755197026797501,0.8081226688769174,0.717584479871323,0.9178938493072949,0.9985261119299402,1.0,1.0,0.9644665232249013,1.0,0.18297303437810514,0.2030234247912931,0.22376520797735033,0.24523477302958424,0.2674711082622555,0.2905160375033875,0.31441448264233923,0.339214755899742,0.3649688858208905,0.3917329816213002,0,0,0,0,0,0,0,0,0,0,0.05011874981489774,1.0,2020-12-31,elastic_net,130,0.05011874981489774,177.32
2021-06-09,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5785070717601448,-1.0,1.0,0.584515725673425,0.8139539148197877,0.652712642159676,0.9403538356423254,0.9421372543681914,1.0,1.0,0.9906235497616295,1.0,-0.2930754879525323,-0.28109371656189736,-0.2686987806405505,-0.25586893468687605,-0.24258087994914182,-0.2288096232209441,-0.21452831994725802,-0.19970809956890406,-0.18431787071446054,-0.16832410347356727,0,0,0,0,0,0,0,0,0,0,0.05011874981489774,1.0,2020-12-31,elastic_net,130,0.05011874981489774,176.98
2021-06-10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.28364511864959985,-1.0,0.9407309091740692,0.622497004220213,0.8075725513351365,0.648469706918832,0.9529430577563393,0.896932835037314,1.0,1.0,1.0,1.0,0.4652863887405541,0.4901217512615802,0.5158135055936767,0.5424067249900566,0.5699497022220222,0.5984942422624223,0.6280959874895045,0.6588147797062879,0.6907150639314085,0.7238663396947698,0,0,0,0,0,0,0,0,0,0,0.05011874981489774,1.0,2020-12-31,elastic_net,130,0.05011874981489774,177.74
2021-06-11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8727201995468638,0.6674944860284158,0.8329146327598519,0.6329744452517395,0.9434793353588421,0.8344150919916147,0.9686160803836869,1.0,1.0,0.9578813647643386,-0.2337364524028799,-0.22074893464699635,-0.2073135714512551,-0.19340679200303132,-0.17900334186022848,-0.16407612989405063,-0.14859605822542213,-0.13253183290892045,-0.11584975277255376,-0.09851347341515262,0,0,0,0,0,0,0,0,0,0,0.05011874981489774,1.0,2020-12-31,elastic_net,130,0.05011874981489774,175.74
2021-06-14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8723311746263916,0.7048505583439757,0.8736966798572637,0.6324615629698705,0.91899867711407,0.7474440291977636,0.9123402082535549,0.9780602578989218,0.9749926169683126,0.8832604268479853,0.6398077954652465,0.6676011479307591,0.6963528918606,0.7261134689107857,0.7569369237127642,0.7888812314166326,0.8220086616280519,0.8563861835455623,0.8920859178445154,0.9291856417238198,0,0,0,0,0,0,0,0,0,0,0.05011874981489774,1.0,2020-12-31,elastic_net,130,0.05011874981489774,174.71
2021-06-15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8918510721068771,0.744464319827738,0.8754570559909727,0.6166243797815665,0.882248615330939,0.6569263017076049,0.8442474971278491,0.9218039638739495,0.9313378053410888,0.8089324293492486,0.13018460863859865,0.14934027997145635,0.16915649169510197,0.18966800909326176,0.2109120806842128,0.23292866396938025,0.2557606762651096,0.2794542739304892,0.3040591638137676,0.32962895133952785,0,0,0,0,0,0,0,0,0,0,0.05011874981489774,1.0,2020-12-31,elastic_net,130,0.05011874981489774,174.05
2021-06-16,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9051008032220352,0.814608985602937,0.8909703706691923,0.6143086385695166,0.8366163194696835,0.5257930412260908,0.7413972317960523,0.8515606524794789,0.8810593595747405,0.689660611625792,0.6129632041506312,0.6403015635430149,0.6685826249834117,0.6978560043690855,0.728174861589962,0.7595962227097796,0.792181337945146,0.8259960801705262,0.8611113894045747,0.8976037695889783,0,0,0,0,0,0,0,0,0,0,0.05011874981489774,1.0,2020-12-31,elastic_net,130,0.05011874981489774,171.11
2021-06-17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9130872560012375,0.9099876695438156,0.8952246129923056,0.630658704039724,0.7999244065184898,0.3841753421248118,0.6009810894104415,0.749198217611845,0.821077500738307,0.5542545370555529,0.07225150141118311,0.09042525567238961,0.10922569111501718,0.12868579095914015,0.1488408943691248,0.16972891063038162,0.19139055712353703,0.2138696242390753,0.23721327085905752,0.261472354601392,0,0,0,0,0,0,0,0,0,0,0.05011874981489774,1.0,2020-12-31,elastic_net,130,0.05011874981489774,165.85
2021-06-18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8948259685575979,0.9646584810962093,0.8431834935397876,0.6558987290621545,0.7431566093416192,0.21426210318772007,0.4626803070919279,0.6454753433648018,0.7644391005358026,0.39148106731714527,-0.1687584479954078,-0.1546696081309232,-0.14009494620214605,-0.125008892626745,-0.10938405142365121,-0.09319103417680853,-0.07639827555045302,-0.058971827919329374,-0.04087513230239361,-0.022068762347538455,0,0,0,0,0,0,0,0,0,0,0.05011874981489774,1.0,2020-12-31,elastic_net,130,0.05011874981489774,164.93
2021-06-21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8327650518318048,0.9694690957087098,0.7690643234104342,0.6784810913512891,0.6724040180842816,0.05951552249137984,0.3354304575377965,0.5559733120056145,0.7067881702738054,0.24494325687776494,-0.3649526436751109,-0.35418912916112977,-0.34305445897425285,-0.3315290986053801,-0.3195921182233331,-0.3072210658273938,-0.29439182630567867,-0.28107846453786134,-0.26725305039435876,-0.2528854631471891,0,0,0,0,0,0,0,0,0,0,0.05011874981489774,1.0,2020-12-31,elastic_net,130,0.05011874981489774,166.95
2021-06-22,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7592393418613446,0.983102064917291,0.6895906758744056,0.7033636529651599,0.5784209684687901,-0.09658439078644743,0.20664879552127233,0.4578303649006659,0.6246783107623503,0.0979885696902476,-0.3910399312096863,-0.3807185741115453,-0.3700413081479513,-0.35898940127335394,-0.34754278343894957,-0.3356799249560214,-0.32337770134409577,-0.31061124287888997,-0.2973537667804072,-0.28357638965845433,0,0,0,0,0,0,0,0,0,0,0.05011874981489774,1.0,2020-12-31,elastic_net,130,0.05011874981489774,166.25
2021-06-23,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.695645209272535,0.9325819280665465,0.6046525274233482,0.7625937855763518,0.4769512567416273,-0.24728652928526187,0.06969746703867842,0.3463062210873373,0.5419883559043132,-0.04293830505800755,0.27836642438285636,0.3000336519147693,0.3224480252236444,0.34564886777142767,0.3696783118387747,0.3945815538722067,0.42040713820317394,0.44720727288625245,0.4750381819802189,0.5039604992739488,0,0,0,0,0,0,0,0,0,0,0.05011874981489774,1.0,2020-12-31,elastic_net,130,0.05011874981489774,166.14
2021-06-24,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5794411771436525,0.8391309633386076,0.5498241457591325,0.8548348868744738,0.37721147276454453,-0.40458421967543384,-0.02367014971642826,0.24423075390130092,0.4664388474032896,-0.19533492384957507,-0.17772607266025933,-0.16378922643416158,-0.14937179930371647,-0.134448497537115,-0.11899222070742058,-0.10297389744755546,-0.08636230295584348,-0.06912385584180275,-0.05122239153106814,-0.032618909012069305,0,0,0,0,0,0,0,0,0,0,0.05011874981489774,1.0,2020-12-31,elastic_net,130,0.05011874981489774,166.04
