Date,predicted_future_return,portfolio_weight,price,gross_exposure,net_equity
2024-01-02,0.03321826895740591,0.17955668052217608,190.72,0.00138120523478597,1.0
2024-01-03,0.06429670230016735,0.3475467806087082,189.13,0.004043127137037461,0.9999884851283384
2024-01-04,0.045698002911036616,0.24701412706724174,189.32,0.005947297532350097,0.9999925468539029
2024-01-05,0.04980722356447933,0.2692259413255775,189.35,0.00801920873162745,0.9999934892737528
2024-01-08,0.049941750270398516,0.2699531065125234,187.87,0.010033091242979289,0.9999308094273159
2024-01-09,0.06568047464577967,0.35502656738793886,187.93,0.012767269104383753,0.9999340136934286
2024-01-10,0.07673880925791501,0.4148008397199661,187.5,0.01592883218497588,0.9999048010838671
2024-01-11,0.12648216490927314,0.6836815520245303,187.87,0.02121935394221472,0.9999362339793789
2024-01-12,0.10961761128093729,0.5925225794761703,189.71,0.02598504242849066,1.0001440564696842
2024-01-16,0.08272730749010215,0.44717082459976865,187.91,0.029178267602402063,0.9998975060697514
2024-01-17,0.0794327520693148,0.42936256866953204,185.84,0.03215963136766143,0.9995760808452451
2024-01-18,0.059947559670889765,0.3240381018563053,187.37,0.03491699881062327,0.9998408475046968
2024-01-19,0.047200724532644275,0.25513687742701374,187.93,0.0369839479666294,0.9999452052958797
2024-01-22,0.038922282029200485,0.210388920881835,187.22,0.03846259883516078,0.9998054798499355
2024-01-23,0.030181536559769698,0.16314205067939672,187.95,0.039867509362374896,0.9999554515257697
2024-01-24,0.03589485759329206,0.19402460391696058,186.4,0.04103122398245283,0.9996266691926402
2024-01-25,0.025770920020160147,0.13930108335132846,187.14,0.042265662975676646,0.9997895613908538
2024-01-26,0.026688985951800887,0.1442635596139321,187.01,0.043346022099732776,0.999760200825572
2024-01-29,0.044918395212926836,0.24280006731109907,188.33,0.045519670484646904,1.0000661563850162
2024-01-30,0.07342298204727264,0.3968776021216592,188.59,0.048635417543612676,1.0001289988122768
2024-01-31,0.09240523152662267,0.49948348172743573,188.45,0.05244149361501231,1.0000928942550038
2024-02-01,0.08606721522213744,1.0,190.41,0.060679226234279,1.0006383191819628
2024-02-02,0.08606721522213744,1.0,188.61,0.06779791590641077,1.000064701161787
2024-02-05,0.08606721522213744,1.0,187.57,0.07511638428721498,0.9996908618502834
2024-02-06,0.08606721522213744,1.0,188.55,0.08320115376233161,1.0000833236330924
2024-02-07,0.08606721522213744,1.0,188.5,0.09087139803545013,1.0000612602139032
2024-02-08,0.08606721522213744,1.0,188.33,0.09848175274279218,0.9999793072289376
2024-02-09,0.08606721522213744,1.0,187.6,0.10579232794690235,0.99959757474074
2024-02-12,0.08606721522213744,1.0,187.11,0.11320831239457263,0.9993212514961026
2024-02-13,0.08606721522213744,1.0,184.53,0.11933962684238243,0.9977602582516047
2024-02-14,0.08606721522213744,1.0,184.42,0.12696079510504366,0.9976891188219582
2024-02-15,0.08606721522213744,1.0,185.66,0.13550675959124708,0.998542775615854
2024-02-16,0.08606721522213744,1.0,186.34,0.14369537557032658,0.9990390839026257
