Date,predicted_future_return,portfolio_weight,price,gross_exposure,net_equity
2022-01-03,-0.03408856647148356,0.0,168.33,0.0,1.0000000000000002
2022-01-04,-0.04610220209269217,0.0,169.57,0.0,1.0000000000000002
2022-01-05,-0.04572297306291294,0.0,169.06,0.0,1.0000000000000002
2022-01-06,-0.012841015797912757,0.0,166.99,0.0,1.0000000000000002
2022-01-07,-0.01695402557598435,0.0,167.75,0.0,1.0000000000000002
2022-01-10,-0.03519683732364126,0.0,168.26,0.0,1.0000000000000002
2022-01-11,-0.05976534175369204,0.0,170.29,0.0,1.0000000000000002
2022-01-12,-0.04699052576531487,0.0,170.74,0.0,1.0000000000000002
2022-01-13,-0.04862308666213827,0.0,170.16,0.0,1.0000000000000002
2022-01-14,-0.03941917300729478,0.0,169.67,0.0,1.0000000000000002
2022-01-18,-0.03604490397399701,0.0,169.39,0.0,1.0000000000000002
2022-01-19,-0.013299940064249265,0.0,172.08,0.0,1.0000000000000002
2022-01-20,-0.014910811321461877,0.0,171.65,0.0,1.0000000000000002
2022-01-21,-0.01304775982185348,0.0,171.09,0.0,1.0000000000000002
2022-01-24,-0.011298421251576294,0.0,172.03,0.0,1.0000000000000002
2022-01-25,-0.004925522007255477,0.0,172.58,0.0,1.0000000000000002
2022-01-26,-0.01649220603188332,0.0,169.79,0.0,1.0000000000000002
2022-01-27,0.0012745932745764545,0.029309065726840045,167.6,0.0006513125717075565,1.0000000000000002
2022-01-28,0.003713848834555545,0.08539935190518504,167.1,0.002547132890780162,0.9999980569434019
2022-01-31,0.002380238001751623,0.05473318699413562,168.09,0.003778516668558514,1.0000131476768663
2022-02-01,0.0007056657168670098,0.019949654075390077,168.23,0.00422498939263414,1.0000162947548221
2022-02-02,-0.006396450848812357,0.0,168.84,0.004240309154445392,1.0000316145166332
2022-02-03,-0.0019650816603799266,0.0,168.6,0.004234281707175391,1.0000255870693633
2022-02-04,-0.008298925545440781,0.0,168.86,0.004240811441717892,1.000032116803906
2022-02-07,-0.020889453783069115,0.0,170.11,0.0042722043962491445,1.0000635097584372
2022-02-08,-0.014311988327102699,0.0,170.63,0.004285263865334146,1.0000765692275222
