Date,predicted_future_return,portfolio_weight,active_anchor_date,active_model_name,active_target_horizon_days,prediction_scale,price
2023-01-03,-0.07181596330683475,0.0,2022-12-30,ols,45,0.04608689288539362,171.06
2023-01-04,-0.10192786088332269,0.0,2022-12-30,ols,45,0.04608689288539362,172.67
2023-01-05,-0.09905953005771753,0.0,2022-12-30,ols,45,0.04608689288539362,170.52
2023-01-06,-0.10721508604617251,0.0,2022-12-30,ols,45,0.04608689288539362,173.71
2023-01-09,-0.12838313264111711,0.0,2022-12-30,ols,45,0.04608689288539362,174.1
2023-01-10,-0.08222075704302094,0.0,2022-12-30,ols,45,0.04608689288539362,174.74
2023-01-11,-0.11591933874302307,0.0,2022-12-30,ols,45,0.04608689288539362,174.62
2023-01-12,-0.1108743825386173,0.0,2022-12-30,ols,45,0.04608689288539362,176.64
2023-01-13,-0.1116405305306613,0.0,2022-12-30,ols,45,0.04608689288539362,178.76
2023-01-17,-0.11705255617194217,0.0,2022-12-30,ols,45,0.04608689288539362,177.59
2023-01-18,-0.08824216940418743,0.0,2022-12-30,ols,45,0.04608689288539362,177.08
2023-01-19,-0.10690498454567936,0.0,2022-12-30,ols,45,0.04608689288539362,179.89
2023-01-20,-0.10121323041220341,0.0,2022-12-30,ols,45,0.04608689288539362,179.29
2023-01-23,-0.09370098789934513,0.0,2022-12-30,ols,45,0.04608689288539362,179.63
2023-01-24,-0.08279773538793957,0.0,2022-12-30,ols,45,0.04608689288539362,180.28
2023-01-25,-0.07331188991752027,0.0,2022-12-30,ols,45,0.04608689288539362,181.11
2023-01-26,-0.07222838500687412,0.0,2022-12-30,ols,45,0.04608689288539362,179.47
2023-01-27,-0.07845648587997053,0.0,2022-12-30,ols,45,0.04608689288539362,179.22
2023-01-30,-0.05943399351886307,0.0,2022-12-30,ols,45,0.04608689288539362,178.76
2023-01-31,-0.09148165758872827,0.0,2022-12-30,ols,45,0.04608689288539362,179.41
2023-02-01,0.3897001735774593,1.0,2023-01-31,ols,45,0.1109322213155961,181.67
