short_ma,long_ma,num_rows,num_trades,total_pnl,total_return,win_rate,avg_trade_return,avg_holding_days,buy_hold_return,buy_hold_pnl,excess_vs_bh,rank
20,35,219,4,54.03,0.2759957377689888,0.75,0.06487175891299865,57.0,0.3068163677965199,57.66,-0.030820630027531104,1
10,35,219,2,46.77999999999997,0.24643038862657596,1.0,0.11694364594467033,111.5,0.3068163677965199,57.66,-0.060385979169943926,2
5,35,219,3,47.09,0.2450801561542646,0.6666666666666666,0.07788160631197771,76.33333333333333,0.3068163677965199,57.66,-0.06173621164225529,3
25,30,224,6,46.22999999999999,0.24359788969327756,0.6666666666666666,0.03869906020039219,41.0,0.3072337254484483,57.72,-0.06363583575517073,4
5,40,214,3,45.610000000000014,0.23799023303685263,0.6666666666666666,0.07586251269338669,76.66666666666667,0.313245281001016,58.58000000000001,-0.07525504796416338,5
5,45,209,2,45.110000000000014,0.2357126486090011,1.0,0.1119156475274542,111.0,0.30210487248820317,56.97999999999999,-0.06639222387920207,6
5,30,224,5,45.069999999999965,0.2341867733453329,0.4,0.04484044411859824,43.6,0.3072337254484483,57.72,-0.0730469521031154,7
10,60,194,2,45.610000000000014,0.2337741110217315,1.0,0.11075538479185976,120.0,0.30494155154091396,57.390000000000015,-0.07116744051918245,8
15,55,199,2,46.25999999999999,0.23009336983302475,1.0,0.10948700688880075,117.5,0.3179671568101321,59.25,-0.08787378697710735,9
10,55,199,2,43.56,0.22344526623129846,1.0,0.10611710783147599,117.0,0.3179671568101321,59.25,-0.09452189057883364,10
