rank,objective_value,w1,w2,w3,w4
1,0.24640295119527694,0.9999999999999996,-2.220446049250313e-16,0.9999999999999996,-0.9999999999999989
2,0.2424630406162407,0.9999999999999996,-0.1000000000000002,0.9999999999999996,-0.899999999999999
3,0.2419991821447019,0.9999999999999996,0.09999999999999964,0.8999999999999995,-0.9999999999999987
4,0.23844951937328507,0.9999999999999996,-0.20000000000000018,0.9999999999999996,-0.7999999999999989
5,0.2380629611615933,0.9999999999999996,-2.220446049250313e-16,0.8999999999999995,-0.8999999999999988
6,0.23750807867844986,0.9999999999999996,0.19999999999999973,0.7999999999999996,-0.9999999999999989
7,0.23617258173107203,0.8999999999999995,0.09999999999999964,0.9999999999999996,-0.9999999999999987
8,0.2343624737634332,0.9999999999999996,-0.30000000000000016,0.9999999999999996,-0.6999999999999988
9,0.23405313473433925,0.9999999999999996,-0.1000000000000002,0.8999999999999995,-0.7999999999999989
10,0.2335755420910866,0.9999999999999996,0.09999999999999964,0.7999999999999996,-0.8999999999999988
