rank,objective_value,w1,w2,w3,w4
1,0.1825377511149407,0.0,1.0,0.0,0.0
2,0.18220522117177693,0.1,0.9,0.0,0.0
3,0.1817672167214586,0.2,0.8,0.0,0.0
4,0.1812238460290338,0.30000000000000004,0.7000000000000001,0.0,0.0
5,0.1805752153578027,0.4,0.6000000000000001,0.0,0.0
6,0.17982142898196507,0.5,0.5,0.0,0.0
7,0.1789625891990283,0.6000000000000001,0.4,0.0,0.0
8,0.1779987963419788,0.7000000000000001,0.30000000000000004,0.0,0.0
9,0.17693014879122176,0.8,0.2,0.0,0.0
10,0.17575674298629013,0.9,0.1,0.0,0.0
