model_name,selection_mse,selection_mae,selection_correlation,selection_directional_accuracy,evaluation_mse,evaluation_mae,evaluation_correlation,evaluation_directional_accuracy,nonzero_count,alpha,l1_ratio
lasso,0.0007776259376299969,0.021875622250808857,0.7586468616013068,1.0,0.013306700650607226,0.10109958787419306,0.6946686351759648,1.0,1,0.011721022975334805,
elastic_net,0.0007519909840421701,0.021401941446506517,0.7586468616013065,1.0,0.01327481221042562,0.10120912078654057,0.6946686351759647,1.0,1,0.011721022975334805,0.9
ridge,0.0005367512919213171,0.017480302066059238,0.8033630962203948,1.0,0.01287733222327376,0.10131420924981052,0.691826351155453,0.9880952380952381,38,10.0,
ols,0.00046898878645277155,0.016055696042668037,0.83010835152314,1.0,0.013780896887275412,0.10236394100446569,0.5549230070283792,1.0,38,,
