rank,objective_value,w1,w2,w3,w4
1,0.5683919801467794,0.9999999999999997,0.9999999999999997,-2.0816681711721685e-16,-0.9999999999999991
2,0.5669679205933922,0.9999999999999997,0.9999999999999997,-0.020000000000000212,-0.9799999999999991
3,0.5661190516214392,0.9999999999999997,0.9799999999999996,0.019999999999999796,-0.9999999999999991
4,0.5655414231235569,0.9999999999999997,0.9999999999999997,-0.040000000000000216,-0.9599999999999991
5,0.5646959843361561,0.9999999999999997,0.9799999999999996,-2.0816681711721685e-16,-0.9799999999999991
6,0.5641124877226273,0.9999999999999997,0.9999999999999997,-0.06000000000000022,-0.9399999999999991
7,0.5638351158209465,0.9999999999999997,0.9599999999999996,0.039999999999999786,-0.9999999999999991
8,0.5632704791387161,0.9999999999999997,0.9799999999999996,-0.020000000000000212,-0.9599999999999991
9,0.5631467028197374,0.9799999999999996,0.9999999999999997,0.019999999999999796,-0.9999999999999991
10,0.5626811143747341,0.9999999999999997,0.9999999999999997,-0.08000000000000022,-0.919999999999999
