target_horizon_days,selection_rows,evaluation_rows,selection_correlation,selection_directional_accuracy,selection_long_short_strategy_return,evaluation_correlation,evaluation_directional_accuracy,evaluation_long_short_strategy_return
97,134,132,0.5513687489408181,1.0,4255502.094772035,0.6609140153236717,1.0,2703821943.1113787
96,135,133,0.5811933143067113,1.0,4104245.4860984404,0.656937351971025,1.0,2694493867.4050865
98,133,131,0.5348595227376719,1.0,4518622.874633161,0.6559127996815821,1.0,2722221877.5448003
99,132,130,0.5397347443842042,1.0,4786433.536961276,0.6487298226710885,1.0,2735443438.921131
95,136,134,0.5918950488686824,1.0,3897323.8881037915,0.6388016735770968,1.0,2726484572.9955583
100,131,129,0.5499227237755147,1.0,5009514.937826367,0.61675662582316,1.0,2802008741.406432
94,137,135,0.6077126977173819,1.0,3605347.9126081034,0.6130597151633941,1.0,2754730935.417149
101,130,128,0.5414141225073514,1.0,5278866.556837344,0.5893125143746025,1.0,2877567288.3427
93,138,136,0.6123739666083885,1.0,3358152.4515649006,0.5872576916974463,1.0,2799760277.8770027
102,129,127,0.5041889391716038,1.0,5415386.876926731,0.5761620575293152,1.0,2929682553.5081644
92,139,137,0.6095624958708291,1.0,3076596.8687936715,0.5568337672082644,1.0,2832264953.5754695
103,128,126,0.47785498787488767,1.0,5558699.081101939,0.53282808307568,1.0,2941524439.338832
91,140,138,0.5988731027741825,1.0,2845603.541836642,0.5232382573699024,1.0,2873648889.4212313
104,127,125,0.4517510483558476,1.0,5736880.727715174,0.5140023975731451,1.0,2980024563.875404
90,141,139,0.5855234087761881,1.0,2656781.5462541627,0.49469124936931225,0.9928057553956835,2926480801.213058
89,142,140,0.5786985527245173,1.0,2445173.3165550977,0.4841083010193723,0.9928571428571429,2948866494.984625
86,145,143,0.5248860225129067,1.0,1964303.9464157864,0.4750114235755204,0.986013986013986,2781608642.5514545
87,144,142,0.5428965835071494,1.0,2089924.9541449766,0.4738884907907315,0.9859154929577465,2857902846.1006937
88,143,141,0.5612196652403015,1.0,2222884.742322818,0.4736379331699579,0.9929078014184397,2913810436.6018305
85,146,144,0.5041160869434803,1.0,1815220.832216898,0.46825669811726534,0.9791666666666666,2668882087.3422904
84,147,145,0.5016123630753712,1.0,1704795.9492591731,0.4654200348914267,0.9724137931034482,2535597825.6744113
83,148,146,0.49003809160532763,1.0,1593827.5777736788,0.4555263042208549,0.9794520547945206,2402381190.9091616
82,149,147,0.4764992918220718,1.0,1497961.3099789312,0.4525247002859277,0.9727891156462585,2271632353.8093333
81,150,148,0.47155245508284316,1.0,1393584.2503767854,0.44394979358774966,0.9864864864864865,2138648710.7457333
80,151,149,0.47773073607755784,1.0,1318415.3629177075,0.43550787290654347,0.9731543624161074,1939232269.7305572
105,126,124,0.4517471900220114,1.0,5997164.190774432,0.42544039950429735,1.0,3014345697.8821645
79,152,150,0.4802378952157842,0.993421052631579,1229154.7041502208,0.423025261853997,0.9666666666666667,1774078829.922484
78,153,151,0.4829487296971148,0.9869281045751634,1139855.7126613618,0.40881966400551994,0.9668874172185431,1607656413.7901926
117,114,112,0.37294185752681813,1.0,6186093.847027749,0.4003981986509768,1.0,2958440253.159675
77,154,152,0.48961520687246196,0.9935064935064936,1080273.9667336587,0.40032975269202103,0.9605263157894737,1462335338.6571074
106,125,123,0.4449723087355519,1.0,6211201.280476828,0.3959262032953478,1.0,3063402152.4109235
114,117,115,0.47374282550953395,1.0,6186093.847027751,0.3957796710291828,1.0,3077654585.3219132
116,115,113,0.45548921885120214,1.0,6036362.202180452,0.38895450959707445,1.0,3002587464.5989075
76,155,153,0.4930795904999426,1.0,1024964.3272571743,0.3867227595689007,0.9738562091503268,1350421474.9370005
75,156,154,0.4931844226319832,0.9935897435897436,964328.7045788114,0.37654086793254454,0.974025974025974,1207772722.0570502
118,113,111,0.37991967310041147,1.0,6367102.663787034,0.3734384198026482,1.0,2939274800.776715
115,116,114,0.48972558981271047,1.0,6036362.20218045,0.3716374968024789,1.0,3077654585.321912
113,118,116,0.4504979386842866,1.0,6367102.663787035,0.369896588650817,1.0,3002587464.598908
74,157,155,0.49005510851606504,0.9936305732484076,903719.6977545345,0.3665685058522676,0.9806451612903225,1087667639.876665
119,112,110,0.3454440598726926,1.0,6402860.052500006,0.36656656403861726,1.0,2932868443.856773
110,121,119,0.4443140551238218,1.0,6585815.480511245,0.36360541163147564,1.0,2932868443.8567743
107,124,122,0.45052047100135395,1.0,6369201.356592702,0.36078780183483833,1.0,3037733425.281007
73,158,156,0.48702919108015347,1.0,837808.3247110919,0.3579367448433491,0.9615384615384616,979891806.6307634
112,119,117,0.46914802104131503,1.0,6402860.052500013,0.3548095824114474,1.0,2958440253.159678
108,123,121,0.4583219917309058,1.0,6495598.745125838,0.3540047055890448,1.0,2985748699.1095133
109,122,120,0.4612233355522281,1.0,6547905.917304749,0.3538320525352363,1.0,2957836381.896221
120,111,109,0.2986227524065144,1.0,6440676.770168062,0.35166112270093,1.0,2957836381.896223
72,159,157,0.4754332012161439,0.9874213836477987,785798.7610947861,0.349888428184258,0.9681528662420382,870142289.1739944
111,120,118,0.46517083057355463,1.0,6440676.770168059,0.3481659611936228,1.0,2939274800.7767158
71,160,158,0.46330137907548824,0.9875,716539.8282692712,0.3454782101455733,0.9620253164556962,754851899.0554179
70,161,159,0.4471643417880925,0.9813664596273292,639770.7663247288,0.33400782320124295,0.9622641509433962,651572495.4860322
69,162,160,0.4273381524172096,0.9753086419753086,576579.2003168024,0.32609968523337707,0.9625,551333466.2685021
121,110,108,0.274706566109839,1.0,6585815.480511235,0.30399784143682357,1.0,2985748699.1095104
68,163,161,0.4295761874369098,0.9693251533742331,508346.5208628862,0.29837598800062903,0.9565217391304348,480899218.7023929
67,164,162,0.4143003013876093,0.9695121951219512,441837.0478813943,0.28754544976945634,0.9629629629629629,415951669.26267356
66,165,163,0.4173774936672196,0.9696969696969697,383212.7348638496,0.2687736677675602,0.9631901840490797,368087356.97254
65,166,164,0.4238875594576838,0.963855421686747,336573.9560962389,0.254151895187008,0.9573170731707317,318136672.2655481
122,109,107,0.26713764266862433,1.0,6547905.9173047505,0.23114900028866314,1.0,3037733425.2810073
64,167,165,0.4316611188922656,0.9580838323353293,294893.2756942939,0.2310255166464371,0.9636363636363636,278113401.58606607
63,168,166,0.4394882497983682,0.9523809523809523,255895.81600392822,0.20883278342421105,0.9698795180722891,246437704.38396266
62,169,167,0.4491872493867052,0.9467455621301775,222697.77185329233,0.18744683865842737,0.9700598802395209,213159341.22562763
61,170,168,0.4572620517676169,0.9470588235294117,192199.04396332672,0.16357362480278326,0.9642857142857143,177600996.64118236
34,197,195,0.3283442058924543,0.7411167512690355,2838.9703363195677,0.1597782667754073,0.8717948717948718,264090.53093383287
35,196,194,0.31707694850803986,0.7397959183673469,3403.8146617637285,0.15743003531985217,0.8969072164948454,360254.86187321885
47,184,182,0.3196688967329608,0.8315217391304348,33491.42407326316,0.15483181235932902,0.9010989010989011,8388399.004788096
45,186,184,0.29844424063807556,0.7956989247311828,24643.29444741129,0.15315324317570642,0.9021739130434783,5051121.504529751
