vol_window,upper_k,lower_k,num_rows,num_trades,total_pnl,total_return,win_rate,avg_trade_return,avg_holding_days,buy_hold_return,buy_hold_pnl,excess_vs_bh,rank
10,-0.799999999999998,-2.5999999999999996,243,103,70.55000000000004,0.3664949469807637,0.6116504854368932,0.0030776837552445356,1.9611650485436893,0.28854238731307547,54.22,0.07795255966768821,1
10,-0.799999999999998,-2.8,243,103,69.85000000000002,0.3623656846297081,0.6019417475728155,0.00305042523529307,1.970873786407767,0.28854238731307547,54.22,0.07382329731663262,2
10,-0.799999999999998,-2.6999999999999997,243,103,69.85000000000002,0.3623656846297081,0.6019417475728155,0.00305042523529307,1.970873786407767,0.28854238731307547,54.22,0.07382329731663262,3
10,-0.799999999999998,-2.4999999999999996,243,103,69.46000000000006,0.36004766310942515,0.6116504854368932,0.003031104256292271,1.9320388349514563,0.28854238731307547,54.22,0.07150527579634969,4
10,-0.799999999999998,-2.3999999999999995,243,103,69.46000000000006,0.36004766310942515,0.6116504854368932,0.003031104256292271,1.9320388349514563,0.28854238731307547,54.22,0.07150527579634969,5
10,-0.799999999999998,-2.2999999999999994,243,103,68.04000000000002,0.3523872097105454,0.6116504854368932,0.002975995796211442,1.9029126213592233,0.28854238731307547,54.22,0.06384482239746991,6
5,0.9000000000000035,-3.0,248,47,66.62000000000009,0.35215807747526506,0.7021276595744681,0.006633883960355192,5.851063829787234,0.2888167349763133,54.25999999999999,0.06334134249895174,7
5,0.9000000000000035,-2.9,248,47,66.62000000000009,0.35215807747526506,0.7021276595744681,0.006633883960355192,5.851063829787234,0.2888167349763133,54.25999999999999,0.06334134249895174,8
5,0.9000000000000035,-2.8,248,47,66.62000000000009,0.35215807747526506,0.7021276595744681,0.006633883960355192,5.851063829787234,0.2888167349763133,54.25999999999999,0.06334134249895174,9
5,0.9000000000000035,-2.6999999999999997,248,47,66.62000000000009,0.35215807747526506,0.7021276595744681,0.006633883960355192,5.851063829787234,0.2888167349763133,54.25999999999999,0.06334134249895174,10
5,0.9000000000000035,-2.5999999999999996,248,47,66.62000000000009,0.35215807747526506,0.7021276595744681,0.006633883960355192,5.851063829787234,0.2888167349763133,54.25999999999999,0.06334134249895174,11
5,0.9000000000000035,-2.4999999999999996,248,47,66.62000000000009,0.35215807747526506,0.7021276595744681,0.006633883960355192,5.851063829787234,0.2888167349763133,54.25999999999999,0.06334134249895174,12
5,0.9000000000000035,-2.3999999999999995,248,47,66.62000000000009,0.35215807747526506,0.7021276595744681,0.006633883960355192,5.851063829787234,0.2888167349763133,54.25999999999999,0.06334134249895174,13
5,0.9000000000000035,-2.2999999999999994,248,47,66.62000000000009,0.35215807747526506,0.7021276595744681,0.006633883960355192,5.851063829787234,0.2888167349763133,54.25999999999999,0.06334134249895174,14
5,0.9000000000000035,-2.1999999999999993,248,47,66.62000000000009,0.35215807747526506,0.7021276595744681,0.006633883960355192,5.851063829787234,0.2888167349763133,54.25999999999999,0.06334134249895174,15
5,0.9000000000000035,-2.099999999999999,248,47,66.62000000000009,0.35215807747526506,0.7021276595744681,0.006633883960355192,5.851063829787234,0.2888167349763133,54.25999999999999,0.06334134249895174,16
5,0.9000000000000035,-1.9999999999999991,248,47,66.62000000000009,0.35215807747526506,0.7021276595744681,0.006633883960355192,5.851063829787234,0.2888167349763133,54.25999999999999,0.06334134249895174,17
10,-0.799999999999998,-3.0,243,105,67.48000000000005,0.34995661770087727,0.5904761904761905,0.0029063713368042434,1.9714285714285715,0.28854238731307547,54.22,0.061414230387801805,18
10,-0.799999999999998,-2.9,243,105,67.48000000000005,0.34995661770087727,0.5904761904761905,0.0029063713368042434,1.9714285714285715,0.28854238731307547,54.22,0.061414230387801805,19
10,-0.799999999999998,-1.4999999999999987,243,100,66.45000000000005,0.34316194955646284,0.63,0.00299206850390789,1.9,0.28854238731307547,54.22,0.054619562243387376,20
10,-0.799999999999998,-1.3999999999999986,243,100,66.14999999999998,0.34110607300551576,0.62,0.002976277629772144,1.9,0.28854238731307547,54.22,0.0525636856924403,21
10,-0.799999999999998,-1.2999999999999985,243,100,66.14999999999998,0.34110607300551576,0.62,0.002976277629772144,1.9,0.28854238731307547,54.22,0.0525636856924403,22
5,0.8000000000000034,-3.0,248,49,62.87000000000006,0.3306018625141425,0.6530612244897959,0.006024960280782028,5.673469387755102,0.2888167349763133,54.25999999999999,0.04178512753782915,23
5,0.8000000000000034,-2.9,248,49,62.87000000000006,0.3306018625141425,0.6530612244897959,0.006024960280782028,5.673469387755102,0.2888167349763133,54.25999999999999,0.04178512753782915,24
5,0.8000000000000034,-2.8,248,49,62.87000000000006,0.3306018625141425,0.6530612244897959,0.006024960280782028,5.673469387755102,0.2888167349763133,54.25999999999999,0.04178512753782915,25
5,0.8000000000000034,-2.6999999999999997,248,49,62.87000000000006,0.3306018625141425,0.6530612244897959,0.006024960280782028,5.673469387755102,0.2888167349763133,54.25999999999999,0.04178512753782915,26
