rank,objective_value,w1,w2,w3,w4
1,0.40894418375131153,1.0,0.0,0.0,0.0
2,0.38315029792258604,0.9,0.1,0.0,0.0
3,0.3731009467101245,0.9,0.0,0.0,0.09999999999999998
4,0.36284917413491696,0.9,0.0,0.1,0.0
5,0.35720022962952347,0.8,0.2,0.0,0.0
6,0.3472342841004245,0.8,0.1,0.0,0.09999999999999998
7,0.33703762450664043,0.8,0.0,0.0,0.19999999999999996
8,0.33695961901107824,0.8,0.1,0.1,0.0
9,0.3310932415822233,0.7000000000000001,0.30000000000000004,0.0,0.0
10,0.32690947565540973,0.8,0.0,0.1,0.09999999999999998
