Date,Price,Price_Norm,MA,Sigma,Upper,Lower,UpperBreak,LowerBreak
2018-01-02,1313.699951171875,-0.9870673159787428,,,,,0,0
2018-01-03,1316.199951171875,-0.9833478284548652,,,,,0,0
2018-01-04,1319.4000244140625,-0.978586775454941,,,,,0,0
2018-01-05,1320.300048828125,-0.9772477236232248,,,,,0,0
2018-01-08,1318.5999755859375,-0.9797770841088225,,,,,0,0
2018-01-09,1311.699951171875,-0.9900429059978447,,,,,0,0
2018-01-10,1317.4000244140625,-0.981562365474043,,,,,0,0
2018-01-11,1320.5999755859375,-0.9768014940897205,,,,,0,0
2018-01-12,1333.4000244140625,-0.9577576453212271,,,,,0,0
2018-01-16,1335.4000244140625,-0.954782055302125,,,,,0,0
2018-01-17,1338.0,-0.9509138246004128,,,,,0,0
2018-01-18,1326.0,-0.9687673647150248,,,,,0,0
2018-01-19,1331.9000244140625,-0.9599893378355535,,,,,0,0
2018-01-22,1330.9000244140625,-0.9614771328451045,,,,,0,0
2018-01-23,1335.699951171875,-0.9543358257686207,,,,,0,0
2018-01-24,1355.9000244140625,-0.9242822576063295,,,,,0,0
2018-01-25,1362.4000244140625,-0.9146115900442481,,,,,0,0
2018-01-26,1351.5999755859375,-0.9306798487936395,,,,,0,0
2018-01-30,1335.4000244140625,-0.954782055302125,,,,,0,0
2018-01-31,1339.0,-0.9494260295908618,-0.9618119230453738,0.02056271365851986,-0.920686495728334,-0.9864871794355976,0,0
2018-02-01,1344.300048828125,-0.9415406433940008,-0.9595355894161368,0.020156834908659375,-0.919221919598818,-0.9837237913065281,0,0
2018-02-02,1333.699951171875,-0.9573114157877228,-0.9582337687827795,0.019403594192522796,-0.919426580397734,-0.981518081813807,0,0
2018-02-05,1333.0,-0.9583527996481678,-0.957222069992441,0.018835190403423727,-0.9195516891855935,-0.9798242984765494,0,0
2018-02-06,1326.0999755859375,-0.96861862153719,-0.9567906148881391,0.01846675318551686,-0.9198571085171053,-0.9789507187107593,0,0
2018-02-07,1311.5999755859375,-0.9901916491756795,-0.9573113431414821,0.01923830505822092,-0.9188347330250403,-0.9803973092113473,0,1
2018-02-08,1316.9000244140625,-0.9823062629788185,-0.9569245109905307,0.01864489964931165,-0.9196347116919074,-0.9792983905697047,0,1
2018-02-09,1313.0999755859375,-0.9879599566613531,-0.9572443905498963,0.019113835583738647,-0.919016719382419,-0.9801809932503827,0,1
2018-02-12,1324.199951171875,-0.9714454683784572,-0.9569765892643332,0.018873963781487885,-0.9192286617013574,-0.9796253458021186,0,0
2018-02-13,1328.0999755859375,-0.9656430315180881,-0.957370858574176,0.018968287196658405,-0.9194342841808593,-0.9801328032101662,0,0
2018-02-14,1355.5,-0.9248774119332703,-0.9558756264057335,0.020248859438214542,-0.9153779075293045,-0.980174257731591,0,0
2018-02-15,1352.0999755859375,-0.9299359512888641,-0.954826732740156,0.021007819830423966,-0.912811093079308,-0.9800361165366647,0,0
2018-02-16,1353.199951171875,-0.9282994131014783,-0.9528033351594786,0.02151051439705142,-0.9097823063653757,-0.9786159524359402,0,0
2018-02-20,1328.800048828125,-0.9646014660420413,-0.953033941569803,0.021610805473243004,-0.909812330623317,-0.9789669081376946,0,0
2018-02-21,1330.0,-0.9628161846768207,-0.9531008941613889,0.021638915652534514,-0.9098230628563199,-0.9790675929444302,0,0
2018-02-22,1330.5999755859375,-0.9619235439942105,-0.9534802800726684,0.02172359182197383,-0.9100330964287208,-0.979548590259037,0,0
2018-02-23,1328.199951171875,-0.9654942883402533,-0.9555408816093645,0.02079083829214521,-0.913959205025074,-0.9804898875599387,0,0
2018-02-26,1330.699951171875,-0.9617748008163758,-0.9578990421479711,0.01857096598987656,-0.9207571101682179,-0.980184201335823,0,0
2018-02-27,1315.5,-0.9843892123153103,-0.9605845103240543,0.01832242532810817,-0.923939659667838,-0.9825714207177841,0,1
2018-02-28,1315.5,-0.9843892123153103,-0.9620648681747136,0.018978134211998822,-0.9241085997507159,-0.9848386292291121,0,0
2018-03-01,1302.9000244140625,-1.0031353931125324,-0.9647503363507972,0.02071980279201152,-0.9233107307667742,-0.9896140997012111,0,1
2018-03-02,1321.0999755859375,-0.9760575965849451,-0.9664761840103445,0.020144227260894917,-0.9261877294885547,-0.9906492567234184,0,0
2018-03-05,1318.0999755859375,-0.980520981613598,-0.9676366623016384,0.020251082692812172,-0.927134496916014,-0.991937961533013,0,0
2018-03-06,1333.5999755859375,-0.9574601589655576,-0.9675920302675077,0.02027246689309626,-0.9270470964813152,-0.9919189905392233,0,0
2018-03-07,1326.0,-0.9687673647150248,-0.9675994674263995,0.0202728694242275,-0.9270537285779444,-0.9919269107354725,0,0
2018-03-08,1319.9000244140625,-0.9778428779501656,-0.9669820288651237,0.01975687332203968,-0.9274682822210444,-0.9906902768515714,0,0
2018-03-09,1322.4000244140625,-0.974123390426288,-0.9665728852374972,0.019518580625749748,-0.9275357239859977,-0.9899951819883969,0,0
2018-03-12,1319.4000244140625,-0.978586775454941,-0.9661042261771767,0.01910763420814981,-0.9278889577608771,-0.9890333872269566,0,0
2018-03-13,1325.9000244140625,-0.9689161078928595,-0.9659777581528968,0.01908021439601254,-0.9278173293608717,-0.9888740154281118,0,0
2018-03-14,1324.4000244140625,-0.9711478004071861,-0.9662529965973518,0.01911307641239506,-0.9280268437725616,-0.9891886882922258,0,0
2018-03-15,1316.800048828125,-0.9824550061566533,-0.9691318763085208,0.01686861129221747,-0.9353946537240859,-0.9893742098591818,0,0
2018-03-16,1311.300048828125,-0.9906378787091837,-0.9721669726795368,0.014887834530317338,-0.9423913036189021,-0.9900323741159176,0,1
2018-03-19,1316.800048828125,-0.9824550061566533,-0.9748747523322955,0.011108086641217825,-0.9526585790498598,-0.9882044563017569,0,0
2018-03-20,1311.0999755859375,-0.990935546680455,-0.9761914563642163,0.011369974253081765,-0.9534515078580528,-0.9898354254679145,0,1
2018-03-21,1320.699951171875,-0.9766527509118857,-0.9768832846759695,0.010948215977966537,-0.9549868527200365,-0.9900211438495293,0,0
2018-03-22,1326.5999755859375,-0.9678747240324145,-0.9771808436778796,0.010613336323736308,-0.955954171030407,-0.9899168472663632,0,0
2018-03-23,1349.300048828125,-0.9341016683462459,-0.9756112126781794,0.0140050403435775,-0.9476011319910244,-0.9924172610904725,1,0
2018-03-26,1354.4000244140625,-0.9265139501206561,-0.9738481701433932,0.01743523962890719,-0.9389776908855788,-0.9947704576980818,1,0
2018-03-27,1341.300048828125,-0.9460040284226539,-0.9719289109487604,0.018262342619882004,-0.9354042257089964,-0.9938437220926188,0,0
2018-03-28,1324.199951171875,-0.9714454683784572,-0.9712817237519179,0.01803726800341113,-0.9352071877450956,-0.9929264453560113,0,0
2018-03-29,1322.800048828125,-0.9735282360993472,-0.9698013659012586,0.016512755856018135,-0.9367758541892224,-0.9896166729284804,0,0
2018-04-02,1342.0999755859375,-0.944813901384374,-0.96823918114123,0.017305846779824146,-0.9336274875815816,-0.989006197277019,0,0
2018-04-03,1332.800048828125,-0.9586502860038373,-0.9671456463607419,0.01718580020849353,-0.9327740459437548,-0.9877686066109341,0,0
2018-04-04,1335.800048828125,-0.9541869009751843,-0.9669819834612234,0.017292511791404085,-0.9323969598784153,-0.9877329976109084,0,0
2018-04-05,1324.300048828125,-0.9712965435850208,-0.9671084424047232,0.017314339846886455,-0.9324797627109502,-0.987885650220987,0,0
2018-04-06,1331.9000244140625,-0.9599893378355535,-0.9662157653989925,0.0171977373298436,-0.9318202907393053,-0.9868530501948047,0,0
2018-04-09,1336.300048828125,-0.9534430034704088,-0.9651817460511987,0.01731252780330715,-0.9305566904445843,-0.9859567794151672,0,0
2018-04-10,1342.0,-0.9449626445622088,-0.9635005395065619,0.01755998365830386,-0.9283805721899542,-0.9845725198965265,0,0
2018-04-11,1356.5,-0.9233896169237193,-0.961224214958105,0.0195486382928581,-0.9221269383723888,-0.9846825809095346,0,0
2018-04-12,1338.4000244140625,-0.950318670273472,-0.9601827584514192,0.019547053365784984,-0.9210886517198492,-0.9836392224903612,0,0
2018-04-13,1344.800048828125,-0.9407967458892253,-0.9580998454380477,0.019280482149689287,-0.9195388811386691,-0.9812364240176749,0,0
