target_horizon_days,ma_window,adaptive_band_selection_corr,adaptive_band_evaluation_corr,adaptive_band_selection_diracc,adaptive_band_evaluation_diracc,adaptive_band_coef,raw_zscore_selection_corr,raw_zscore_evaluation_corr,raw_zscore_selection_diracc,raw_zscore_evaluation_diracc,raw_zscore_coef,evaluation_corr_gap_adaptive_minus_raw
30,10,0.10892342518033704,0.06106635913725802,0.7652582159624414,0.8862559241706162,0.012718735051068006,0.05012629768376797,-0.04482528063914893,0.7652582159624414,0.8862559241706162,0.0018661301505021061,0.10589163977640695
31,10,0.09692956172347837,0.03872550952297567,0.7688679245283019,0.8952380952380953,0.011691471920617738,0.016468801063380663,-0.06126726062568186,0.7688679245283019,0.8952380952380953,0.0006359760300273889,0.09999277014865753
29,10,0.09232366813884782,0.035908006542720076,0.7850467289719626,0.8679245283018868,0.010483383773312274,0.06727049333623883,-0.0262504708737247,0.7850467289719626,0.8679245283018868,0.002433619384377907,0.06215847741644478
25,10,0.07881742112911337,0.017479809638635827,0.7706422018348624,0.8518518518518519,0.008056982789948444,0.0229816935628504,-0.01684141564723662,0.7706422018348624,0.8518518518518519,0.0007462432282692122,0.03432122528587245
26,10,0.10435819652241742,0.027396717029216956,0.7741935483870968,0.8604651162790697,0.01089082428551345,0.06613023826374384,-0.0016921130842638484,0.7741935483870968,0.8604651162790697,0.0021967395019723258,0.029088830113480804
28,10,0.09605760901559428,0.014889225727873089,0.8,0.8591549295774648,0.01058218855479967,0.0832654426769991,-0.004449538980795782,0.8,0.8591549295774648,0.002922956402866658,0.01933876470866887
55,10,0.004770157148582457,0.04841564744457996,0.8829787234042553,0.9301075268817204,0.000650667430540669,0.1736682591474435,0.02954802399359742,0.8829787234042553,0.9301075268817204,-0.008182605566379413,0.018867623450982543
27,10,0.09657072836476654,0.0076453008228682205,0.7777777777777778,0.8691588785046729,0.010348776418230475,0.08015356862605097,0.0062816351095777755,0.7777777777777778,0.8691588785046729,0.0027373219778471414,0.001363665713290445
37,10,0.047825850850044926,0.06367451410665746,0.7864077669902912,0.8921568627450981,0.0065137841174754026,0.15408644220569098,0.06428783136628247,0.7864077669902912,0.8921568627450981,-0.0069907867144817625,-0.0006133172596250042
54,10,0.018276785778851626,0.027898542206245262,0.8835978835978836,0.93048128342246,0.0024901384851080547,0.16055668618997215,0.0310473987916972,0.8835978835978836,0.93048128342246,-0.007557739639171455,-0.003148856585451939
38,10,0.017469091560942635,0.06303210573395425,0.8097560975609757,0.9211822660098522,0.002398488663388627,0.18064949466803612,0.07567314049329137,0.8097560975609757,0.9211822660098522,-0.008395903149628433,-0.012641034759337116
32,10,0.10668660804206288,0.0531622185953955,0.7440758293838863,0.8995215311004785,0.013262865128368188,0.02069219554823949,0.06682080309837903,0.7440758293838863,0.8995215311004785,-0.0008281569468413788,-0.013658584502983524
36,10,0.05739094050686234,0.05427700073963564,0.748792270531401,0.8926829268292683,0.00775248328854048,0.13465692584001654,0.06835465990721067,0.748792270531401,0.8926829268292683,-0.006037652137438878,-0.014077659167575023
1,10,0.016887118077345626,0.02634785550399892,0.5661157024793388,0.5958333333333333,-0.00040755574420208574,0.03606729988978004,0.04122409133769184,0.5661157024793388,0.5958333333333333,-0.000289221596973278,-0.014876235833692918
11,10,0.007032358277524418,0.03466798056417322,0.6206896551724138,0.7434782608695653,-0.0005247168134398856,0.15692833937484466,0.05422565470157552,0.6206896551724138,0.7434782608695653,-0.003972167859152607,-0.019557674137402295
34,10,0.08487708934460404,0.04070130599162685,0.7559808612440191,0.8792270531400966,0.011121361261977098,0.0858027055716586,0.07399006931458944,0.7559808612440191,0.8792270531400966,-0.003677118205504067,-0.03328876332296259
2,10,0.005878023655208301,0.043242657390061626,0.5809128630705395,0.6108786610878661,-0.00019516840040531018,0.035309785559347294,0.07947410789138683,0.5809128630705395,0.6108786610878661,-0.00039003747457073685,-0.0362314505013252
17,10,0.04964984097638053,0.019188563624965526,0.6902654867256637,0.7678571428571429,-0.004614073603655201,0.2341200127686895,0.05921779696613086,0.6902654867256637,0.7678571428571429,-0.006889679895785513,-0.04002923334116533
16,10,0.050747128539310085,0.023915603066927613,0.6828193832599119,0.7644444444444445,-0.004676934016491219,0.2460398644959496,0.0647435732596467,0.6828193832599119,0.7644444444444445,-0.0071706043529244125,-0.040827970192719096
35,10,0.061703304499771496,0.03183735765840848,0.7548076923076923,0.9029126213592233,0.008238015910252717,0.11219814433029034,0.07561534048504343,0.7548076923076923,0.9029126213592233,-0.004948013038875434,-0.04377798282663495
24,10,0.0629893253421277,0.003217765493519328,0.771689497716895,0.8341013824884793,0.006292263935333066,0.012087650088162498,0.051772397164590755,0.771689497716895,0.8341013824884793,-0.0003835897653357521,-0.04855463167107143
3,10,0.003641956506885209,0.10201842323579849,0.6,0.6134453781512605,-0.00014456433698282624,0.00830573378890632,0.15159067083097627,0.6,0.6134453781512605,-0.00010974976960002961,-0.04957224759517778
20,10,0.006273566739176842,0.020550661749019775,0.7130044843049327,0.8009049773755657,0.0005972328919689896,0.16222713652050735,0.07040427070172756,0.7130044843049327,0.8009049773755657,-0.004904173523601644,-0.04985360895270778
33,10,0.11330727688423632,0.026585493032925882,0.7428571428571429,0.9038461538461539,0.014477372997660541,0.049021871752763874,0.07710535906515295,0.7428571428571429,0.9038461538461539,-0.002032020075972773,-0.050519866032227065
18,10,0.03373992511436959,0.0034121565117735822,0.7022222222222222,0.7982062780269058,-0.003162334456462079,0.22154175946169022,0.05871220530438599,0.7022222222222222,0.7982062780269058,-0.006588816958964383,-0.05530004879261241
12,10,0.006505692226952547,0.006094474532837054,0.6666666666666666,0.7379912663755459,-0.0005007782877176173,0.17800266210843374,0.06188985243241031,0.6666666666666666,0.7379912663755459,-0.004652352122256406,-0.055795377899573256
70,10,0.09333207218757798,0.022190101070895463,0.9826589595375722,0.9649122807017544,-0.010750543455139573,0.32519656926470225,0.0797260054204563,0.9826589595375722,0.9649122807017544,-0.013467098925570077,-0.05753590434956084
69,10,0.08677702767163774,0.00259786843890062,0.9770114942528736,0.9651162790697675,-0.01012547964716433,0.3411681349585437,0.06070942962714194,0.9770114942528736,0.9651162790697675,-0.014279434900904348,-0.05811156118824132
53,10,0.012329573264754765,-0.035469165361610995,0.8789473684210526,0.9361702127659575,-0.0016758280655087404,0.1482983860769785,0.023751783933888604,0.8789473684210526,0.9361702127659575,-0.0069607036258756035,-0.0592209492954996
68,10,0.12542130908384702,-0.01915260821584993,0.9714285714285714,0.9595375722543352,-0.014920867629450987,0.35951960331584276,0.04288023850817856,0.9714285714285714,0.9595375722543352,-0.015286375177156766,-0.06203284672402849
52,10,0.015854326984234706,-0.03646650642805298,0.8638743455497382,0.9470899470899471,-0.0021514355483523376,0.15738214549761212,0.02878042196179084,0.8638743455497382,0.9470899470899471,-0.00735941111461612,-0.06524692838984382
51,10,0.0009228194596818364,-0.030737005898031057,0.875,0.9473684210526315,-0.00012493631655192546,0.15879113919539098,0.03571866379866916,0.875,0.9473684210526315,-0.0073834454843649455,-0.06645566969670022
13,10,0.017272266762491523,-0.0022480815173956826,0.6782608695652174,0.7324561403508771,-0.0013751247636132854,0.21268532701117046,0.06449199205818126,0.6782608695652174,0.7324561403508771,-0.0057490168823034265,-0.06674007357557694
10,10,0.01119220433386117,-0.003173468069207843,0.6351931330472103,0.7402597402597403,-0.0008024073801654709,0.13091420711991447,0.06357413441498456,0.6351931330472103,0.7402597402597403,-0.0031823479669494345,-0.06674760248419241
19,10,0.017942218092945807,-0.021309653412580565,0.7008928571428571,0.7927927927927928,-0.0016940928090137663,0.19429656818585342,0.056705054099508594,0.7008928571428571,0.7927927927927928,-0.005821895845724997,-0.07801470751208917
65,10,0.0801095542725128,-0.08197942787282557,0.9662921348314607,0.9602272727272727,-0.010066021397092954,0.36755936792945704,-0.002762683544401685,0.9662921348314607,0.9602272727272727,-0.016438545641851716,-0.07921674432842389
66,10,0.0828277933105392,-0.07221407364591817,0.9717514124293786,0.9657142857142857,-0.010253826030246426,0.3798986990025348,0.008405717661405597,0.9717514124293786,0.9657142857142857,-0.016738932331405117,-0.08061979130732377
50,10,0.015834949206193494,-0.032483595180745964,0.8652849740932642,0.9319371727748691,-0.0021271456452512214,0.16178727564253412,0.04912941456465208,0.8652849740932642,0.9319371727748691,-0.0074744123130231314,-0.08161300974539804
67,10,0.10389525715801018,-0.05928483910049959,0.9715909090909091,0.9655172413793104,-0.012587603104143204,0.37112214353114303,0.023724599499672646,0.9715909090909091,0.9655172413793104,-0.016034599924922708,-0.08300943860017224
56,10,0.013130050224775478,-0.037370548450146784,0.8770053475935828,0.9351351351351351,-0.0017888576405545506,0.17366656987464935,0.046362443627146574,0.8770053475935828,0.9351351351351351,-0.008174448120936687,-0.08373299207729336
45,10,0.05114047818022435,0.04766837276000484,0.8080808080808081,0.9081632653061225,-0.007019981959653668,0.25091547536997894,0.1317035876599867,0.8080808080808081,0.9081632653061225,-0.011773381950318898,-0.08403521489998185
15,10,0.009319803899144654,-0.010408275179052956,0.6710526315789473,0.7699115044247787,-0.0008426681970082792,0.23454604802805387,0.07653334430201578,0.6710526315789473,0.7699115044247787,-0.006693355771406602,-0.08694161948106874
61,10,0.08879395760499074,-0.08400589006291438,0.9505494505494505,0.9666666666666667,-0.011804701221903212,0.32666470165653194,0.003907736028808305,0.9505494505494505,0.9666666666666667,-0.015468050649101325,-0.08791362609172268
39,10,0.004089326295269167,0.014388321670794775,0.8186274509803921,0.9108910891089109,0.0005631841831081702,0.19647028393623753,0.10238041504730784,0.8186274509803921,0.9108910891089109,-0.00916304263517381,-0.08799209337651306
62,10,0.07073502242746119,-0.10460790270535346,0.9502762430939227,0.9720670391061452,-0.009288257433868017,0.3325360229003613,-0.015162229328592059,0.9502762430939227,0.9720670391061452,-0.015548582310100076,-0.0894456733767614
42,10,0.047049763199548705,0.04874303308441348,0.8109452736318408,0.8944723618090452,-0.006523510144773201,0.25663549548380526,0.13915688146418514,0.8109452736318408,0.8944723618090452,-0.012088411424524121,-0.09041384837977166
71,10,0.0860605741052809,0.015129646806454799,0.9883720930232558,0.9647058823529412,-0.009778263715777554,0.30230681366953344,0.10714260686836863,0.9883720930232558,0.9647058823529412,-0.012391958703220556,-0.09201296006191383
46,10,0.0488499109322796,0.03444906931875324,0.8274111675126904,0.9128205128205128,-0.006673612392066873,0.23430614724407708,0.1268772991350507,0.8274111675126904,0.9128205128205128,-0.010947591639656024,-0.09242822981629745
49,10,0.033004516687787235,-0.016534487252554516,0.865979381443299,0.90625,-0.004443370131748765,0.17678522067246824,0.07607718046070806,0.865979381443299,0.90625,-0.00816922202121165,-0.09261166771326258
57,10,0.04158896840706142,-0.04407450904048215,0.8924731182795699,0.9456521739130435,-0.005682205136344521,0.21171460901773922,0.04863689098099701,0.8924731182795699,0.9456521739130435,-0.01001971731196565,-0.09271140002147915
47,10,0.04709340368163202,0.023286354458949124,0.8418367346938775,0.9072164948453608,-0.006413929296042326,0.22294847974501714,0.11655529168370901,0.8418367346938775,0.9072164948453608,-0.010392409820829028,-0.09326893722475989
48,10,0.029634731853829276,0.0002598032474840565,0.8461538461538461,0.8860103626943006,-0.004018359673126231,0.20811351633257347,0.09538880720449013,0.8461538461538461,0.8860103626943006,-0.009657946954665857,-0.09512900395700608
