Date,combined_score,adaptive_band_rank01_score,ma_crossover_rank01_score,adaptive_volatility_band_rank01_score,fear_greed_candle_volume_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_model_name,active_hold_days,prediction_scale,price
2022-01-03,0.09996815994381913,-1.0,0.3194522335140868,1.0,0,0.09996815994381913,0.09996815994381913,2021-12-31,obj1_long_only_combination,45,1.0,168.33
2022-01-04,0.09996815994381913,-1.0,0.33456368043511653,1.0,0,0.09996815994381913,0.09996815994381913,2021-12-31,obj1_long_only_combination,45,1.0,169.57
2022-01-05,-1.0,-1.0,0.3696360034133827,-1.0,-1,-1.0,0.0,2021-12-31,obj1_long_only_combination,45,1.0,169.06
2022-01-06,0.7040730901614151,0.3424079089910577,0.37196685806267604,1.0,0,0.7040730901614151,0.7040730901614151,2021-12-31,obj1_long_only_combination,45,1.0,166.99
2022-01-07,0.0933412310208965,-0.5556484930414571,0.3241608727720785,0.6243669795800427,0,0.0933412310208965,0.0933412310208965,2021-12-31,obj1_long_only_combination,45,1.0,167.75
2022-01-10,0.09996815994381913,-1.0,0.25248318147579135,1.0,0,0.09996815994381913,0.09996815994381913,2021-12-31,obj1_long_only_combination,45,1.0,168.26
2022-01-11,-0.8232773446726465,-1.0,0.23959308596550108,-0.678676780359934,0,-0.8232773446726465,0.0,2021-12-31,obj1_long_only_combination,45,1.0,170.29
2022-01-12,0.09996815994381913,-1.0,0.22992551433281805,1.0,0,0.09996815994381913,0.09996815994381913,2021-12-31,obj1_long_only_combination,45,1.0,170.74
2022-01-13,0.09996815994381913,-1.0,0.2224636507910959,1.0,0,0.09996815994381913,0.09996815994381913,2021-12-31,obj1_long_only_combination,45,1.0,170.16
2022-01-14,-0.10758060060534558,-1.0,0.23974951916349468,0.6226276939511317,0,-0.10758060060534558,0.0,2021-12-31,obj1_long_only_combination,45,1.0,169.67
2022-01-18,0.09449612020339311,-1.0,0.2673443352801561,0.9900505488436947,0,0.09449612020339311,0.09449612020339311,2021-12-31,obj1_long_only_combination,45,1.0,169.39
2022-01-19,-1.0,-1.0,0.22828296575444,-1.0,0,-1.0,0.0,2021-12-31,obj1_long_only_combination,45,1.0,172.08
2022-01-20,0.07302311588614345,-1.0,0.157262293889511,0.9510075926942251,0,0.07302311588614345,0.07302311588614345,2021-12-31,obj1_long_only_combination,45,1.0,171.65
2022-01-21,-0.345846477612361,-1.0,0.12073514217038277,0.18940446861852786,0,-0.345846477612361,0.0,2021-12-31,obj1_long_only_combination,45,1.0,171.09
2022-01-24,-0.1389860722419174,-1.0,0.10394986003138319,0.5655251835690569,0,-0.1389860722419174,0.0,2021-12-31,obj1_long_only_combination,45,1.0,172.03
2022-01-25,-0.11612466729445271,-1.0,0.08602261554737012,0.6070925775718657,0,-0.11612466729445271,0.0,2021-12-31,obj1_long_only_combination,45,1.0,172.58
2022-01-26,-1.0,-1.0,0.11195923976594428,-1.0,0,-1.0,0.0,2021-12-31,obj1_long_only_combination,45,1.0,169.79
2022-01-27,0.3466240311901916,0.8311528454584609,0.13855288341577257,-0.049834135642913176,0,0.3466240311901916,0.3466240311901916,2021-12-31,obj1_long_only_combination,45,1.0,167.6
2022-01-28,1.0,1.0,0.14822045504852496,1.0,0,1.0,1.0,2021-12-31,obj1_long_only_combination,45,1.0,167.1
2022-01-31,0.6229996333309447,0.16225104515075253,0.19596386705993893,1.0,0,0.6229996333309447,0.6229996333309447,2021-12-31,obj1_long_only_combination,45,1.0,168.09
2022-02-01,0.5406585188038788,-0.020722736136642998,0.2049431326217067,1.0,0,0.5406585188038788,0.5406585188038788,2021-12-31,obj1_long_only_combination,45,1.0,168.23
2022-02-02,0.12588080985943,-0.7865800091138733,0.14349617247075472,0.8724876842999201,0,0.12588080985943,0.12588080985943,2021-12-31,obj1_long_only_combination,45,1.0,168.84
2022-02-03,-0.748535332233274,-0.44120939598974784,0.08560024591300237,-1.0,0,-0.748535332233274,0.0,2021-12-31,obj1_long_only_combination,45,1.0,168.6
2022-02-04,-0.08375866258833897,-0.7543726289204836,0.00427062630377605,0.464960785905626,0,-0.08375866258833897,0.0,2021-12-31,obj1_long_only_combination,45,1.0,168.86
2022-02-07,-0.02186811906802063,-1.0,-0.13902218300964939,0.7784730804970527,0,-0.02186811906802063,0.0,2021-12-31,obj1_long_only_combination,45,1.0,170.11
2022-02-08,0.09996815994381913,-1.0,-0.26593643649866444,1.0,0,0.09996815994381913,0.09996815994381913,2021-12-31,obj1_long_only_combination,45,1.0,170.63
2022-02-09,0.09996815994381913,-1.0,-0.3575437172125963,1.0,0,0.09996815994381913,0.09996815994381913,2021-12-31,obj1_long_only_combination,45,1.0,171.21
2022-02-10,-1.0,-1.0,-0.4332260983761467,-1.0,0,-1.0,0.0,2021-12-31,obj1_long_only_combination,45,1.0,170.56
2022-02-11,-1.0,-1.0,-0.46243217643162904,-1.0,0,-1.0,0.0,2021-12-31,obj1_long_only_combination,45,1.0,173.81
2022-02-14,-0.007988110210664305,-1.0,-0.4873989148229272,0.8037101907386168,0,-0.007988110210664305,0.0,2021-12-31,obj1_long_only_combination,45,1.0,174.74
2022-02-15,0.09996815994381913,-1.0,-0.4853652832496691,1.0,0,0.09996815994381913,0.09996815994381913,2021-12-31,obj1_long_only_combination,45,1.0,173.08
2022-02-16,0.04639780583191111,-1.0,-0.4473050861907861,0.9025965367676749,0,0.04639780583191111,0.04639780583191111,2021-12-31,obj1_long_only_combination,45,1.0,174.86
2022-02-17,0.09996815994381913,-1.0,-0.3318730294305696,1.0,0,0.09996815994381913,0.09996815994381913,2021-12-31,obj1_long_only_combination,45,1.0,177.25
2022-02-18,0.09996815994381913,-1.0,-0.21060601438716117,1.0,0,0.09996815994381913,0.09996815994381913,2021-12-31,obj1_long_only_combination,45,1.0,177.12
2022-02-22,-0.5715036632158425,-1.0,-0.05584665166471572,-0.22089319966126475,0,-0.5715036632158425,0.0,2021-12-31,obj1_long_only_combination,45,1.0,177.49
2022-02-23,0.036237004175995756,-1.0,0.09514267098735293,0.8841218171786382,0,0.036237004175995756,0.036237004175995756,2021-12-31,obj1_long_only_combination,45,1.0,178.29
2022-02-24,-1.0,-1.0,0.22404362609022102,-1.0,-1,-1.0,0.0,2021-12-31,obj1_long_only_combination,45,1.0,177.14
2022-02-25,0.0995763176364528,-1.0,0.3021507218218748,0.999287538818603,0,0.0995763176364528,0.0995763176364528,2021-12-31,obj1_long_only_combination,45,1.0,176.55
2022-02-28,-0.15522001378451014,-1.0,0.3422914804134209,0.5360080718311646,0,-0.15522001378451014,0.0,2021-12-31,obj1_long_only_combination,45,1.0,178.38
2022-03-01,-0.13074559643017525,-1.0,0.40320656769134716,0.5805083005570305,0,-0.13074559643017525,0.0,2021-12-31,obj1_long_only_combination,45,1.0,181.62
2022-03-02,0.09996815994381913,-1.0,0.4278291530472397,1.0,0,0.09996815994381913,0.09996815994381913,2021-12-31,obj1_long_only_combination,45,1.0,179.73
2022-03-03,0.0040205717851440415,-1.0,0.45814590680807443,0.825544790017239,0,0.0040205717851440415,0.0040205717851440415,2021-12-31,obj1_long_only_combination,45,1.0,180.8
2022-03-04,-0.6085825051275019,-1.0,0.45994488858437677,-0.28831122731318004,0,-0.6085825051275019,0.0,2021-12-31,obj1_long_only_combination,45,1.0,183.68
2022-03-07,-0.3059466774355978,-1.0,0.47657373752545207,0.26195165976413537,0,-0.3059466774355978,0.0,2021-12-31,obj1_long_only_combination,45,1.0,186.41
2022-03-08,-1.0,-1.0,0.5046534965557342,-1.0,0,-1.0,0.0,2021-12-31,obj1_long_only_combination,45,1.0,191.51
2022-03-09,0.02419864369165615,-1.0,0.535689843027076,0.862233255449807,0,0.02419864369165615,0.02419864369165615,2021-12-31,obj1_long_only_combination,45,1.0,185.82
2022-03-10,0.09996815994381913,-1.0,0.551395736100315,1.0,0,0.09996815994381913,0.09996815994381913,2021-12-31,obj1_long_only_combination,45,1.0,186.4
2022-03-11,0.09996815994381913,-1.0,0.6078524772369839,1.0,0,0.09996815994381913,0.09996815994381913,2021-12-31,obj1_long_only_combination,45,1.0,185.09
2022-03-14,0.09996815994381913,-1.0,0.6471954265190261,1.0,0,0.09996815994381913,0.09996815994381913,2021-12-31,obj1_long_only_combination,45,1.0,182.3
2022-03-15,-0.42302343232017015,-1.0,0.6211805857015592,0.04907867098498361,0,-0.42302343232017015,0.0,2021-12-31,obj1_long_only_combination,45,1.0,178.89
2022-03-16,-1.0,-1.0,0.6173792589916253,-1.0,0,-1.0,0.0,2021-12-31,obj1_long_only_combination,45,1.0,180.01
2022-03-17,0.09996815994381913,-1.0,0.6372775617696088,1.0,0,0.09996815994381913,0.09996815994381913,2021-12-31,obj1_long_only_combination,45,1.0,180.89
2022-03-18,-0.08999092364238591,-1.0,0.6268278241472004,0.6546098505325696,0,-0.08999092364238591,0.0,2021-12-31,obj1_long_only_combination,45,1.0,179.3
