month_start,month_end,active_anchor_date,weights,strategy_keys,prediction_scale
2022-01-01,2022-03-31,2021-12-31,"[0.45001592002809043, 0.0, 0.5499840799719096, 0.0]","['adaptive_band', 'ma_crossover', 'adaptive_volatility_band', 'fear_greed_candle_volume']",0.6554290160611733
2022-04-01,2022-06-30,2022-03-31,"[1.0, 0.0, 0.0, 0.0]","['adaptive_band', 'ma_crossover', 'adaptive_volatility_band', 'fear_greed_candle_volume']",1.0
2022-07-01,2022-09-30,2022-06-30,"[1.0, 0.0, 0.0, 0.0]","['adaptive_band', 'ma_crossover', 'adaptive_volatility_band', 'fear_greed_candle_volume']",1.0
2022-10-01,2022-12-31,2022-09-30,"[0.6800000000000002, 0.31999999999999995, 0.0, 0.0]","['adaptive_band', 'ma_crossover', 'adaptive_volatility_band', 'fear_greed_candle_volume']",0.7831938901034543
