month_start,month_end,active_anchor_date,weights,strategy_keys,prediction_scale
2022-01-01,2022-06-30,2021-12-31,"[0.45001592002809043, 0.0, 0.5499840799719096, 0.0]","['adaptive_band', 'ma_crossover', 'adaptive_volatility_band', 'fear_greed_candle_volume']",1.0
2022-07-01,2022-12-31,2022-06-30,"[1.0, 0.0, 0.0, 0.0]","['adaptive_band', 'ma_crossover', 'adaptive_volatility_band', 'fear_greed_candle_volume']",1.0
