month_start,month_end,active_anchor_date,chosen_strategy_key,strategy_params,source_total_return,prediction_scale
2020-01-01,2020-01-31,2019-12-31,adaptive_volatility_band,"{'vol_window': 10.0, 'upper_k': -1.3999999999999986, 'lower_k': -3.0}",0.0601249450923149,0.7905466682086288
2020-02-01,2020-02-29,2020-01-31,adaptive_volatility_band,"{'vol_window': 10.0, 'upper_k': -3.0, 'lower_k': -3.0}",0.0924055724080881,0.8500587996771248
2020-03-01,2020-03-31,2020-02-28,adaptive_volatility_band,"{'vol_window': 5.0, 'upper_k': 1.8000000000000045, 'lower_k': 0.5000000000000031}",0.1392840716954879,1.0
2020-04-01,2020-04-30,2020-03-31,adaptive_volatility_band,"{'vol_window': 22.0, 'upper_k': -3.0, 'lower_k': -0.5999999999999979}",0.1659102834293329,0.8103935673936913
2020-05-01,2020-05-31,2020-04-30,adaptive_volatility_band,"{'vol_window': 5.0, 'upper_k': 0.6000000000000032, 'lower_k': 0.7000000000000033}",0.2447761033485718,1.0
2020-06-01,2020-06-30,2020-05-29,adaptive_volatility_band,"{'vol_window': 10.0, 'upper_k': 0.1000000000000027, 'lower_k': 2.664535259100376e-15}",0.1949365456774046,1.0
2020-07-01,2020-07-31,2020-06-30,adaptive_volatility_band,"{'vol_window': 5.0, 'upper_k': 0.9000000000000035, 'lower_k': 0.7000000000000033}",0.1458924047073602,1.0
2020-08-01,2020-08-31,2020-07-31,adaptive_volatility_band,"{'vol_window': 5.0, 'upper_k': 0.6000000000000032, 'lower_k': -3.0}",0.1800371398681026,0.03580249481334762
2020-09-01,2020-09-30,2020-08-31,adaptive_volatility_band,"{'vol_window': 5.0, 'upper_k': -0.699999999999998, 'lower_k': -3.0}",0.2356841066065966,0.4464057887113985
2020-10-01,2020-10-31,2020-09-30,adaptive_volatility_band,"{'vol_window': 10.0, 'upper_k': -3.0, 'lower_k': -3.0}",0.1383881083654494,0.48577007664012223
2020-11-01,2020-11-30,2020-10-30,adaptive_volatility_band,"{'vol_window': 5.0, 'upper_k': -1.3999999999999986, 'lower_k': -3.0}",0.0590116544983285,0.5101396020460913
2020-12-01,2020-12-31,2020-11-30,adaptive_volatility_band,"{'vol_window': 22.0, 'upper_k': 0.400000000000003, 'lower_k': 1.1000000000000032}",0.0285087050583077,0.958222426443104
