month_start,month_end,active_anchor_date,chosen_strategy_key,strategy_params,source_total_return,prediction_scale
2022-01-01,2022-01-31,2021-12-31,fear_greed_candle_volume,"{'k_body': 1.2, 'k_volume': 1.2, 'price_zone_window': 3.0}",0.009930785434848,0.05000000000000071
2022-02-01,2022-02-28,2022-01-31,fear_greed_candle_volume,"{'k_body': 1.2, 'k_volume': 1.2, 'price_zone_window': 3.0}",0.0,0.09999999999999787
2022-03-01,2022-03-31,2022-02-28,fear_greed_candle_volume,"{'k_body': 1.2, 'k_volume': 1.2, 'price_zone_window': 3.0}",0.0,1.0
2022-04-01,2022-04-30,2022-03-31,fear_greed_candle_volume,"{'k_body': 1.2, 'k_volume': 1.2, 'price_zone_window': 3.0}",0.0,1.0
2022-05-01,2022-05-31,2022-04-29,fear_greed_candle_volume,"{'k_body': 1.2, 'k_volume': 1.2, 'price_zone_window': 3.0}",0.0,1.0
2022-06-01,2022-06-30,2022-05-31,fear_greed_candle_volume,"{'k_body': 1.2, 'k_volume': 1.2, 'price_zone_window': 3.0}",0.0,1.0
2022-07-01,2022-07-31,2022-06-30,fear_greed_candle_volume,"{'k_body': 1.2, 'k_volume': 1.2, 'price_zone_window': 3.0}",0.0,1.0
2022-08-01,2022-08-31,2022-07-29,fear_greed_candle_volume,"{'k_body': 1.2, 'k_volume': 1.2, 'price_zone_window': 3.0}",0.0,1.0
2022-09-01,2022-09-30,2022-08-31,fear_greed_candle_volume,"{'k_body': 1.2, 'k_volume': 1.2, 'price_zone_window': 3.0}",0.0,1.0
2022-10-01,2022-10-31,2022-09-30,fear_greed_candle_volume,"{'k_body': 1.2, 'k_volume': 1.2, 'price_zone_window': 3.0}",0.0,1.0
2022-11-01,2022-11-30,2022-10-31,fear_greed_candle_volume,"{'k_body': 1.2, 'k_volume': 1.2, 'price_zone_window': 3.0}",0.0,1.0
2022-12-01,2022-12-31,2022-11-30,fear_greed_candle_volume,"{'k_body': 1.2, 'k_volume': 1.2, 'price_zone_window': 3.0}",0.0,1.0
