Date,fear_greed_candle_volume_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_strategy_key,active_hold_days,prediction_scale,price
2022-01-03,0,0,0.0,2021-12-31,fear_greed_candle_volume,130,0.05000000000000071,168.33
2022-01-04,0,0,0.0,2021-12-31,fear_greed_candle_volume,130,0.05000000000000071,169.57
2022-01-05,-1,-1,0.0,2021-12-31,fear_greed_candle_volume,130,0.05000000000000071,169.06
2022-01-06,0,0,0.0,2021-12-31,fear_greed_candle_volume,130,0.05000000000000071,166.99
2022-01-07,0,0,0.0,2021-12-31,fear_greed_candle_volume,130,0.05000000000000071,167.75
2022-01-10,0,0,0.0,2021-12-31,fear_greed_candle_volume,130,0.05000000000000071,168.26
2022-01-11,0,0,0.0,2021-12-31,fear_greed_candle_volume,130,0.05000000000000071,170.29
2022-01-12,0,0,0.0,2021-12-31,fear_greed_candle_volume,130,0.05000000000000071,170.74
2022-01-13,0,0,0.0,2021-12-31,fear_greed_candle_volume,130,0.05000000000000071,170.16
2022-01-14,0,0,0.0,2021-12-31,fear_greed_candle_volume,130,0.05000000000000071,169.67
2022-01-18,0,0,0.0,2021-12-31,fear_greed_candle_volume,130,0.05000000000000071,169.39
2022-01-19,0,0,0.0,2021-12-31,fear_greed_candle_volume,130,0.05000000000000071,172.08
2022-01-20,0,0,0.0,2021-12-31,fear_greed_candle_volume,130,0.05000000000000071,171.65
2022-01-21,0,0,0.0,2021-12-31,fear_greed_candle_volume,130,0.05000000000000071,171.09
2022-01-24,0,0,0.0,2021-12-31,fear_greed_candle_volume,130,0.05000000000000071,172.03
2022-01-25,0,0,0.0,2021-12-31,fear_greed_candle_volume,130,0.05000000000000071,172.58
2022-01-26,0,0,0.0,2021-12-31,fear_greed_candle_volume,130,0.05000000000000071,169.79
2022-01-27,0,0,0.0,2021-12-31,fear_greed_candle_volume,130,0.05000000000000071,167.6
2022-01-28,0,0,0.0,2021-12-31,fear_greed_candle_volume,130,0.05000000000000071,167.1
2022-01-31,0,0,0.0,2021-12-31,fear_greed_candle_volume,130,0.05000000000000071,168.09
2022-02-01,0,0,0.0,2022-01-31,fear_greed_candle_volume,130,0.09999999999999787,168.23
2022-02-02,0,0,0.0,2022-01-31,fear_greed_candle_volume,130,0.09999999999999787,168.84
2022-02-03,0,0,0.0,2022-01-31,fear_greed_candle_volume,130,0.09999999999999787,168.6
2022-02-04,0,0,0.0,2022-01-31,fear_greed_candle_volume,130,0.09999999999999787,168.86
2022-02-07,0,0,0.0,2022-01-31,fear_greed_candle_volume,130,0.09999999999999787,170.11
2022-02-08,0,0,0.0,2022-01-31,fear_greed_candle_volume,130,0.09999999999999787,170.63
2022-02-09,0,0,0.0,2022-01-31,fear_greed_candle_volume,130,0.09999999999999787,171.21
2022-02-10,0,0,0.0,2022-01-31,fear_greed_candle_volume,130,0.09999999999999787,170.56
2022-02-11,0,0,0.0,2022-01-31,fear_greed_candle_volume,130,0.09999999999999787,173.81
2022-02-14,0,0,0.0,2022-01-31,fear_greed_candle_volume,130,0.09999999999999787,174.74
2022-02-15,0,0,0.0,2022-01-31,fear_greed_candle_volume,130,0.09999999999999787,173.08
2022-02-16,0,0,0.0,2022-01-31,fear_greed_candle_volume,130,0.09999999999999787,174.86
2022-02-17,0,0,0.0,2022-01-31,fear_greed_candle_volume,130,0.09999999999999787,177.25
2022-02-18,0,0,0.0,2022-01-31,fear_greed_candle_volume,130,0.09999999999999787,177.12
2022-02-22,0,0,0.0,2022-01-31,fear_greed_candle_volume,130,0.09999999999999787,177.49
2022-02-23,0,0,0.0,2022-01-31,fear_greed_candle_volume,130,0.09999999999999787,178.29
2022-02-24,-1,-1,0.0,2022-01-31,fear_greed_candle_volume,130,0.09999999999999787,177.14
2022-02-25,0,0,0.0,2022-01-31,fear_greed_candle_volume,130,0.09999999999999787,176.55
2022-02-28,0,0,0.0,2022-01-31,fear_greed_candle_volume,130,0.09999999999999787,178.38
2022-03-01,0,0,0.0,2022-02-28,fear_greed_candle_volume,130,1.0,181.62
2022-03-02,0,0,0.0,2022-02-28,fear_greed_candle_volume,130,1.0,179.73
