month_start,month_end,active_anchor_date,chosen_strategy_key,strategy_params,source_total_return,prediction_scale
2023-01-01,2023-01-31,2022-12-30,ma_crossover,"{'short_ma': 45.0, 'long_ma': 60.0}",0.0454665434868681,1.0
2023-02-01,2023-02-28,2023-01-31,ma_crossover,"{'short_ma': 30.0, 'long_ma': 35.0}",0.0619185113891562,0.9271284050853007
2023-03-01,2023-03-31,2023-02-28,ma_crossover,"{'short_ma': 30.0, 'long_ma': 35.0}",0.1055465100788015,0.44265325670496325
2023-04-01,2023-04-30,2023-03-31,ma_crossover,"{'short_ma': 5.0, 'long_ma': 10.0}",0.1817971268261762,0.6591557911908664
2023-05-01,2023-05-31,2023-04-28,ma_crossover,"{'short_ma': 5.0, 'long_ma': 10.0}",0.1654638611190459,0.7401029537933669
2023-06-01,2023-06-30,2023-05-31,ma_crossover,"{'short_ma': 5.0, 'long_ma': 10.0}",0.0659224634262847,0.12117990964654426
2023-07-01,2023-07-31,2023-06-30,ma_crossover,"{'short_ma': 5.0, 'long_ma': 10.0}",0.0682048273262312,0.7020200986512223
2023-08-01,2023-08-31,2023-07-31,ma_crossover,"{'short_ma': 5.0, 'long_ma': 10.0}",0.0960700002737249,0.5464139344262224
2023-09-01,2023-09-30,2023-08-31,ma_crossover,"{'short_ma': 5.0, 'long_ma': 10.0}",0.026501869623275,0.5111202297907151
2023-10-01,2023-10-31,2023-09-29,ma_crossover,"{'short_ma': 35.0, 'long_ma': 45.0}",0.0174859030586089,0.22876357322530977
2023-11-01,2023-11-30,2023-10-31,ma_crossover,"{'short_ma': 70.0, 'long_ma': 75.0}",0.0486741308190925,0.34238089433723123
2023-12-01,2023-12-31,2023-11-30,ma_crossover,"{'short_ma': 5.0, 'long_ma': 10.0}",0.0661485787321902,0.9101309497386957
