Date,ma_crossover_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_strategy_key,active_hold_days,prediction_scale,price
2024-01-02,0.5206818549038664,0.5206818549038664,1.0,2023-12-29,ma_crossover,45,0.46849248666990184,190.72
2024-01-03,0.25973501373404373,0.25973501373404373,0.5544059320572458,2023-12-29,ma_crossover,45,0.46849248666990184,189.13
2024-01-04,-0.01211827435773188,-0.01211827435773188,0.0,2023-12-29,ma_crossover,45,0.46849248666990184,189.32
2024-01-05,-0.23388269510421958,-0.23388269510421958,0.0,2023-12-29,ma_crossover,45,0.46849248666990184,189.35
2024-01-08,-0.4374697043141152,-0.4374697043141152,0.0,2023-12-29,ma_crossover,45,0.46849248666990184,187.87
2024-01-09,-0.568347067377608,-0.568347067377608,0.0,2023-12-29,ma_crossover,45,0.46849248666990184,187.93
2024-01-10,-0.5295685894328545,-0.5295685894328545,0.0,2023-12-29,ma_crossover,45,0.46849248666990184,187.5
2024-01-11,-0.4560510583293002,-0.4560510583293002,0.0,2023-12-29,ma_crossover,45,0.46849248666990184,187.87
2024-01-12,-0.3558733236387243,-0.3558733236387243,0.0,2023-12-29,ma_crossover,45,0.46849248666990184,189.71
2024-01-16,-0.22095653578930174,-0.22095653578930174,0.0,2023-12-29,ma_crossover,45,0.46849248666990184,187.91
2024-01-17,-0.1926805622879197,-0.1926805622879197,0.0,2023-12-29,ma_crossover,45,0.46849248666990184,185.84
2024-01-18,-0.13208919049927176,-0.13208919049927176,0.0,2023-12-29,ma_crossover,45,0.46849248666990184,187.37
2024-01-19,-0.07109387623201938,-0.07109387623201938,0.0,2023-12-29,ma_crossover,45,0.46849248666990184,187.93
2024-01-22,-0.186217482630478,-0.186217482630478,0.0,2023-12-29,ma_crossover,45,0.46849248666990184,187.22
2024-01-23,-0.186217482630478,-0.186217482630478,0.0,2023-12-29,ma_crossover,45,0.46849248666990184,187.95
2024-01-24,-0.07917272580384446,-0.07917272580384446,0.0,2023-12-29,ma_crossover,45,0.46849248666990184,186.4
2024-01-25,-0.08321215058976275,-0.08321215058976275,0.0,2023-12-29,ma_crossover,45,0.46849248666990184,187.14
2024-01-26,-0.12279851349167924,-0.12279851349167924,0.0,2023-12-29,ma_crossover,45,0.46849248666990184,187.01
2024-01-29,0.022620778801103338,0.022620778801103338,0.0482841869287903,2023-12-29,ma_crossover,45,0.46849248666990184,188.33
