month_start,month_end,active_anchor_date,chosen_strategy_key,strategy_params,source_total_return,prediction_scale
2020-01-01,2020-01-31,2019-12-31,ma_crossover,"{'short_ma': 30.0, 'long_ma': 35.0}",0.016809048012073,0.743796862100727
2020-02-01,2020-02-29,2020-01-31,ma_crossover,"{'short_ma': 10.0, 'long_ma': 15.0}",0.0539586895023527,0.8419801835399023
2020-03-01,2020-03-31,2020-02-28,ma_crossover,"{'short_ma': 10.0, 'long_ma': 15.0}",0.0531021607014567,0.7656204697013639
2020-04-01,2020-04-30,2020-03-31,ma_crossover,"{'short_ma': 25.0, 'long_ma': 30.0}",0.1022874406560208,1.0
2020-05-01,2020-05-31,2020-04-30,ma_crossover,"{'short_ma': 10.0, 'long_ma': 15.0}",0.1932550253089893,0.4450921938831963
2020-06-01,2020-06-30,2020-05-29,ma_crossover,"{'short_ma': 10.0, 'long_ma': 15.0}",0.1021311421690085,0.5630840398197327
2020-07-01,2020-07-31,2020-06-30,ma_crossover,"{'short_ma': 10.0, 'long_ma': 15.0}",0.0730197663037501,1.0
2020-08-01,2020-08-31,2020-07-31,ma_crossover,"{'short_ma': 10.0, 'long_ma': 15.0}",0.0589627869524382,1.0
2020-09-01,2020-09-30,2020-08-31,ma_crossover,"{'short_ma': 10.0, 'long_ma': 20.0}",0.1693747373755429,0.023017286293045565
2020-10-01,2020-10-31,2020-09-30,ma_crossover,"{'short_ma': 10.0, 'long_ma': 30.0}",0.128402016370438,0.03158384551253279
2020-11-01,2020-11-30,2020-10-30,ma_crossover,"{'short_ma': 10.0, 'long_ma': 30.0}",0.126806072059989,0.01898108892328883
2020-12-01,2020-12-31,2020-11-30,ma_crossover,"{'short_ma': 30.0, 'long_ma': 40.0}",0.0045168667810175,0.5230169179481247
