Date,ma_crossover_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_strategy_key,active_hold_days,prediction_scale,price
2023-01-03,0.9194877152280713,0.9194877152280713,0.9194877152280713,2022-12-30,ma_crossover,45,1.0,171.06
2023-01-04,0.9926011465801633,0.9926011465801633,0.9926011465801633,2022-12-30,ma_crossover,45,1.0,172.67
2023-01-05,1.0,1.0,1.0,2022-12-30,ma_crossover,45,1.0,170.52
2023-01-06,1.0,1.0,1.0,2022-12-30,ma_crossover,45,1.0,173.71
2023-01-09,1.0,1.0,1.0,2022-12-30,ma_crossover,45,1.0,174.1
2023-01-10,1.0,1.0,1.0,2022-12-30,ma_crossover,45,1.0,174.74
2023-01-11,1.0,1.0,1.0,2022-12-30,ma_crossover,45,1.0,174.62
2023-01-12,1.0,1.0,1.0,2022-12-30,ma_crossover,45,1.0,176.64
2023-01-13,1.0,1.0,1.0,2022-12-30,ma_crossover,45,1.0,178.76
2023-01-17,1.0,1.0,1.0,2022-12-30,ma_crossover,45,1.0,177.59
2023-01-18,1.0,1.0,1.0,2022-12-30,ma_crossover,45,1.0,177.08
2023-01-19,1.0,1.0,1.0,2022-12-30,ma_crossover,45,1.0,179.89
2023-01-20,1.0,1.0,1.0,2022-12-30,ma_crossover,45,1.0,179.29
2023-01-23,1.0,1.0,1.0,2022-12-30,ma_crossover,45,1.0,179.63
2023-01-24,1.0,1.0,1.0,2022-12-30,ma_crossover,45,1.0,180.28
2023-01-25,1.0,1.0,1.0,2022-12-30,ma_crossover,45,1.0,181.11
2023-01-26,1.0,1.0,1.0,2022-12-30,ma_crossover,45,1.0,179.47
2023-01-27,1.0,1.0,1.0,2022-12-30,ma_crossover,45,1.0,179.22
2023-01-30,0.9993978510687781,0.9993978510687781,0.9993978510687781,2022-12-30,ma_crossover,45,1.0,178.76
2023-01-31,0.9652188962282167,0.9652188962282167,0.9652188962282167,2022-12-30,ma_crossover,45,1.0,179.41
2023-02-01,0.8666378971246741,0.8666378971246741,0.9347549836367476,2023-01-31,ma_crossover,45,0.9271284050853007,181.67
2023-02-02,0.8961966920118664,0.8961966920118664,0.966637077557139,2023-01-31,ma_crossover,45,0.9271284050853007,177.9
2023-02-03,0.8998628991296624,0.8998628991296624,0.9705914457953322,2023-01-31,ma_crossover,45,0.9271284050853007,173.46
2023-02-06,0.9029944510427633,0.9029944510427633,0.9739691353321044,2023-01-31,ma_crossover,45,0.9271284050853007,173.82
2023-02-07,0.8982589335156224,0.8982589335156224,0.968861409691118,2023-01-31,ma_crossover,45,0.9271284050853007,173.98
2023-02-08,0.9147950552031259,0.9147950552031259,0.9866972580987419,2023-01-31,ma_crossover,45,0.9271284050853007,174.41
