Date,adaptive_band_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_strategy_key,active_hold_days,prediction_scale,price
2020-02-03,-1.0,-1.0,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,148.36
2020-02-04,-1.0,-1.0,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,146.43
2020-02-05,-1.0,-1.0,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,146.61
2020-02-06,-1.0,-1.0,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,147.4
2020-02-07,-1.0,-1.0,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,147.79
2020-02-10,-1.0,-1.0,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,148.17
2020-02-11,-1.0,-1.0,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,147.66
2020-02-12,-1.0,-1.0,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,147.54
2020-02-13,-1.0,-1.0,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,148.38
2020-02-14,-1.0,-1.0,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,149.0
2020-02-18,-1.0,-1.0,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,150.91
2020-02-19,-0.815995219557729,-0.815995219557729,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,151.79
2020-02-20,-0.7057854338247054,-0.7057854338247054,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,152.41
2020-02-21,0.11389171391283891,0.11389171391283891,0.17665100814325632,2020-01-31,adaptive_band,45,0.6447272229574691,154.7
2020-02-24,0.42309184769768826,0.42309184769768826,0.6562338809844214,2020-01-31,adaptive_band,45,0.6447272229574691,156.09
2020-02-25,-1.0,-1.0,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,153.3
2020-02-26,-0.8850687497727006,-0.8850687497727006,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,153.97
2020-02-27,-1.0,-1.0,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,154.0
2020-02-28,-1.0,-1.0,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,148.38
2020-03-02,-1.0,-1.0,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,149.2
2020-03-03,-1.0,-1.0,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,153.89
2020-03-04,-1.0,-1.0,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,154.16
2020-03-05,-0.04001867533439189,-0.04001867533439189,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,157.49
2020-03-06,-0.22915027723582407,-0.22915027723582407,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,157.55
2020-03-09,-0.3396021983203224,-0.3396021983203224,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,157.81
2020-03-10,-1.0,-1.0,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,154.48
2020-03-11,-1.0,-1.0,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,153.93
2020-03-12,-1.0,-1.0,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,147.79
2020-03-13,-1.0,-1.0,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,143.28
2020-03-16,-1.0,-1.0,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,141.64
2020-03-17,-1.0,-1.0,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,143.56
2020-03-18,-1.0,-1.0,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,140.7
2020-03-19,-1.0,-1.0,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,138.04
2020-03-20,-1.0,-1.0,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,140.11
2020-03-23,-1.0,-1.0,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,146.3
2020-03-24,-1.0,-1.0,0.0,2020-01-31,adaptive_band,45,0.6447272229574691,153.4
