month_start,month_end,active_anchor_date,chosen_strategy_key,strategy_params,source_total_return,prediction_scale
2023-01-01,2023-01-31,2022-12-30,adaptive_volatility_band,"{'vol_window': 22.0, 'upper_k': -1.0999999999999983, 'lower_k': -0.5999999999999979}",0.1627273530862565,1.0
2023-02-01,2023-02-28,2023-01-31,adaptive_volatility_band,"{'vol_window': 5.0, 'upper_k': 0.400000000000003, 'lower_k': -0.1999999999999975}",0.1572235006624209,1.0
2023-03-01,2023-03-31,2023-02-28,adaptive_volatility_band,"{'vol_window': 5.0, 'upper_k': 1.5000000000000036, 'lower_k': -0.3999999999999977}",0.1223523394812136,1.0
2023-04-01,2023-04-30,2023-03-31,adaptive_volatility_band,"{'vol_window': 10.0, 'upper_k': 2.0000000000000044, 'lower_k': 1.2000000000000035}",0.1093647569704852,0.9690784487800219
2023-05-01,2023-05-31,2023-04-28,adaptive_volatility_band,"{'vol_window': 5.0, 'upper_k': 1.600000000000004, 'lower_k': 1.3000000000000045}",0.1277714082000973,1.0
2023-06-01,2023-06-30,2023-05-31,adaptive_volatility_band,"{'vol_window': 5.0, 'upper_k': -1.499999999999999, 'lower_k': -1.799999999999999}",0.1162903754384687,0.9918624148323326
2023-07-01,2023-07-31,2023-06-30,adaptive_volatility_band,"{'vol_window': 5.0, 'upper_k': -1.499999999999999, 'lower_k': -1.899999999999999}",0.0683257874935208,0.9611191582456599
2023-08-01,2023-08-31,2023-07-31,adaptive_volatility_band,"{'vol_window': 5.0, 'upper_k': -1.499999999999999, 'lower_k': -1.899999999999999}",0.0385430049053812,0.9357429749008135
2023-09-01,2023-09-30,2023-08-31,adaptive_volatility_band,"{'vol_window': 22.0, 'upper_k': -0.1999999999999975, 'lower_k': -0.8999999999999981}",0.0364575863374643,1.0
2023-10-01,2023-10-31,2023-09-29,adaptive_volatility_band,"{'vol_window': 5.0, 'upper_k': -1.799999999999999, 'lower_k': -1.2999999999999985}",0.0326259726765461,1.0
2023-11-01,2023-11-30,2023-10-31,adaptive_volatility_band,"{'vol_window': 10.0, 'upper_k': 0.8000000000000034, 'lower_k': -0.3999999999999977}",0.0971456389146347,1.0
2023-12-01,2023-12-31,2023-11-30,adaptive_volatility_band,"{'vol_window': 10.0, 'upper_k': 0.8000000000000034, 'lower_k': 0.400000000000003}",0.1298677129647709,1.0
