Date,fear_greed_candle_volume_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_strategy_key,active_hold_days,prediction_scale,price
2020-01-02,0,0,0.0,2019-12-31,fear_greed_candle_volume,130,1.0,143.95
2020-01-03,0,0,0.0,2019-12-31,fear_greed_candle_volume,130,1.0,145.86
2020-01-06,-1,-1,0.0,2019-12-31,fear_greed_candle_volume,130,1.0,147.39
2020-01-07,0,0,0.0,2019-12-31,fear_greed_candle_volume,130,1.0,147.97
2020-01-08,-1,-1,0.0,2019-12-31,fear_greed_candle_volume,130,1.0,146.86
2020-01-09,0,0,0.0,2019-12-31,fear_greed_candle_volume,130,1.0,146.03
2020-01-10,0,0,0.0,2019-12-31,fear_greed_candle_volume,130,1.0,146.91
2020-01-13,0,0,0.0,2019-12-31,fear_greed_candle_volume,130,1.0,145.82
2020-01-14,0,0,0.0,2019-12-31,fear_greed_candle_volume,130,1.0,145.69
2020-01-15,0,0,0.0,2019-12-31,fear_greed_candle_volume,130,1.0,146.54
2020-01-16,0,0,0.0,2019-12-31,fear_greed_candle_volume,130,1.0,146.31
2020-01-17,0,0,0.0,2019-12-31,fear_greed_candle_volume,130,1.0,146.58
2020-01-21,0,0,0.0,2019-12-31,fear_greed_candle_volume,130,1.0,146.74
2020-01-22,0,0,0.0,2019-12-31,fear_greed_candle_volume,130,1.0,146.79
2020-01-23,0,0,0.0,2019-12-31,fear_greed_candle_volume,130,1.0,147.12
2020-01-24,0,0,0.0,2019-12-31,fear_greed_candle_volume,130,1.0,147.98
2020-01-27,0,0,0.0,2019-12-31,fear_greed_candle_volume,130,1.0,148.99
2020-01-28,0,0,0.0,2019-12-31,fear_greed_candle_volume,130,1.0,147.66
2020-01-29,0,0,0.0,2019-12-31,fear_greed_candle_volume,130,1.0,148.46
2020-01-30,0,0,0.0,2019-12-31,fear_greed_candle_volume,130,1.0,148.47
2020-01-31,0,0,0.0,2019-12-31,fear_greed_candle_volume,130,1.0,149.33
2020-02-03,0,0,0.0,2020-01-31,fear_greed_candle_volume,130,1.0,148.36
2020-02-04,0,0,0.0,2020-01-31,fear_greed_candle_volume,130,1.0,146.43
