Year,Buy & Hold,H45 Best Return Update,H45 Best Return,H45 Exposure at Best Return,H45 Best Eff Update,H45 Best 100%-Eq,H45 Exposure at Best Eff,H130 Best Return Update,H130 Best Return,H130 Exposure at Best Return,H130 Best Eff Update,H130 Best 100%-Eq,H130 Exposure at Best Eff
2020,0.2022108385009435,2M,0.0784732724072116,0.4715906684502448,2M,0.166401240858079,0.4715906684502448,6M,0.1092319409276374,0.6303980397178104,3M,0.1817638840896646,0.5548972809029656
2021,-0.0623594581253771,3M,0.0059008787765246,0.3007307764131919,3M,0.0196217987626817,0.3007307764131919,1M,2.0130681225527525e-05,0.3613910585780643,1M,5.5703318462648354e-05,0.3613910585780643
2022,0.0077823323234123,6M,0.0075951778581904,0.3851861683538316,6M,0.019718199878905,0.3851861683538316,6M,0.0253817373358544,0.3634616026022806,6M,0.0698333390766136,0.3634616026022806
2023,0.1175610896761369,6M,0.0396171905514162,0.2726181758044105,6M,0.1453211636917397,0.2726181758044105,6M,0.0424881626824169,0.1879118401032218,6M,0.2261068949092179,0.1879118401032218
2024,0.269557466442953,1M,0.1000746105424841,0.3239546559755621,1M,0.3089154876972454,0.3239546559755621,3M,0.0932767453716361,0.4691829433481629,3M,0.1988067697133204,0.4691829433481629
