rank,objective_value,w1,w2,w3,w4
1,0.5636604722111134,0.9999999999999997,-2.0816681711721685e-16,0.9999999999999997,-0.9999999999999991
2,0.5630748673182029,0.9999999999999997,0.019999999999999796,0.9799999999999996,-0.9999999999999991
3,0.5624832947563922,0.9999999999999997,0.039999999999999786,0.9599999999999996,-0.9999999999999991
4,0.5618857526741194,0.9999999999999997,0.059999999999999803,0.9399999999999996,-0.9999999999999991
5,0.5612822392100917,0.9999999999999997,0.07999999999999982,0.9199999999999996,-0.9999999999999991
6,0.561064936620487,0.9999999999999997,-0.020000000000000212,0.9999999999999997,-0.9799999999999991
7,0.5606727524932683,0.9999999999999997,0.09999999999999981,0.8999999999999996,-0.9999999999999991
8,0.5604835196726414,0.9999999999999997,-2.0816681711721685e-16,0.9799999999999996,-0.9799999999999991
9,0.5598961352081502,0.9999999999999997,0.019999999999999796,0.9599999999999996,-0.9799999999999991
10,0.5593027813810192,0.9999999999999997,0.039999999999999786,0.9399999999999996,-0.9799999999999991
