symbol,asof_date,close_price,signal,signal_strength,target_weight,predicted_future_return,target_horizon_days,update_interval_months,selection_criterion,active_anchor_date,active_model_name,nonzero_count,model_age_days,dataset_staleness_days,dominant_family,selection_correlation,selection_directional_accuracy,selection_mse,selection_long_short_strategy_return
VRT,2026-04-30,328.489990234375,BUY,moderate,0.37912362281996004,0.5619928244815955,130,1,selection_cv_mse,2026-03-31,lasso,10,30,6,ma_crossover,0.9529247671722283,1.0,0.01280948129105905,6.419060446085482e+34
VRT,2026-05-08,343.355,BUY,moderate,0.4103637101344983,0.6001423991382346,130,1,selection_cv_mse,2026-03-31,lasso,10,38,0,ma_crossover,0.9515775313215639,1.0,0.012700952588569642,2.0663226683376688e+36
