rank,objective_value,w1,w2,w3,w4
1,0.37806569349774977,0.9999999999999997,-2.0816681711721685e-16,0.9999999999999997,-0.9999999999999991
2,0.3775139676966829,0.9999999999999997,-0.020000000000000212,0.9999999999999997,-0.9799999999999991
3,0.37710527140293737,0.9999999999999997,0.019999999999999796,0.9799999999999996,-0.9999999999999991
4,0.376956326569318,0.9999999999999997,-0.040000000000000216,0.9999999999999997,-0.9599999999999991
5,0.37655860949692316,0.9999999999999997,-2.0816681711721685e-16,0.9799999999999996,-0.9799999999999991
6,0.37639277168739593,0.9999999999999997,-0.06000000000000022,0.9999999999999997,-0.9399999999999991
7,0.3761384911592563,0.9999999999999997,0.039999999999999786,0.9599999999999996,-0.9999999999999991
8,0.3760060308433728,0.9999999999999997,-0.020000000000000212,0.9799999999999996,-0.9599999999999991
9,0.375823304617237,0.9999999999999997,-0.08000000000000022,0.9999999999999997,-0.919999999999999
10,0.37559689457460765,0.9999999999999997,0.019999999999999796,0.9599999999999996,-0.9799999999999991
