rank,objective_value,w1,w2,w3,w4
1,0.3780656934977497,0.9999999999999996,-2.220446049250313e-16,0.9999999999999996,-0.9999999999999989
2,0.37524792691974873,0.9999999999999996,-0.1000000000000002,0.9999999999999996,-0.899999999999999
3,0.3731999857834164,0.9999999999999996,0.09999999999999964,0.8999999999999995,-0.9999999999999987
4,0.37228243327626903,0.9999999999999996,-0.20000000000000018,0.9999999999999996,-0.7999999999999989
5,0.370508816835477,0.9999999999999996,-2.220446049250313e-16,0.8999999999999995,-0.8999999999999988
6,0.369169404987596,0.9999999999999996,-0.30000000000000016,0.9999999999999996,-0.6999999999999988
7,0.36817516597420435,0.9999999999999996,0.19999999999999973,0.7999999999999996,-0.9999999999999989
8,0.3676697444300379,0.9999999999999996,-0.1000000000000002,0.8999999999999995,-0.7999999999999989
9,0.3659090311263211,0.9999999999999996,-0.40000000000000013,0.9999999999999996,-0.599999999999999
10,0.365610774220235,0.9999999999999996,0.09999999999999964,0.7999999999999996,-0.8999999999999988
