k_body,k_volume,price_zone_window,num_rows,num_trades,total_pnl,total_return,win_rate,avg_trade_return,avg_holding_days,buy_hold_return,buy_hold_pnl,excess_vs_bh,rank
1.2,1.2,3,56,0,0.0,0.0,-1.0,,,-0.05801879017636391,-10.560000000000002,0.05801879017636391,1
1.2,1.2,5,56,0,0.0,0.0,-1.0,,,-0.05801879017636391,-10.560000000000002,0.05801879017636391,2
1.2,1.2,7,56,0,0.0,0.0,-1.0,,,-0.05801879017636391,-10.560000000000002,0.05801879017636391,3
1.2,1.2,10,56,0,0.0,0.0,-1.0,,,-0.05801879017636391,-10.560000000000002,0.05801879017636391,4
1.2,1.5,3,56,0,0.0,0.0,-1.0,,,-0.05801879017636391,-10.560000000000002,0.05801879017636391,5
1.2,1.5,5,56,0,0.0,0.0,-1.0,,,-0.05801879017636391,-10.560000000000002,0.05801879017636391,6
1.2,1.5,7,56,0,0.0,0.0,-1.0,,,-0.05801879017636391,-10.560000000000002,0.05801879017636391,7
1.2,1.5,10,56,0,0.0,0.0,-1.0,,,-0.05801879017636391,-10.560000000000002,0.05801879017636391,8
1.2,1.8,3,56,0,0.0,0.0,-1.0,,,-0.05801879017636391,-10.560000000000002,0.05801879017636391,9
1.2,1.8,5,56,0,0.0,0.0,-1.0,,,-0.05801879017636391,-10.560000000000002,0.05801879017636391,10
