vol_window,upper_k,lower_k,num_rows,num_trades,total_pnl,total_return,win_rate,avg_trade_return,avg_holding_days,buy_hold_return,buy_hold_pnl,excess_vs_bh,rank
10,0.8000000000000034,0.7000000000000033,118,16,25.809999999999974,0.1540389847357484,0.625,0.009136454427293689,6.0,0.06659530114372636,11.819999999999993,0.08744368359202204,1
10,0.9000000000000035,0.7000000000000033,118,16,25.809999999999974,0.1540389847357484,0.625,0.009136454427293689,6.0,0.06659530114372636,11.819999999999993,0.08744368359202204,2
22,1.7000000000000046,0.30000000000000293,106,6,25.609999999999985,0.15247816624321198,0.8333333333333334,0.024140836276534166,16.333333333333332,0.09282456849275533,16.080000000000013,0.059653597750456644,3
22,1.600000000000004,0.30000000000000293,106,7,25.579999999999984,0.15229038466061762,0.7142857142857143,0.02070140326192549,13.714285714285714,0.09282456849275533,16.080000000000013,0.059465816167862284,4
22,1.7000000000000046,0.400000000000003,106,6,25.359999999999985,0.15094643024342047,0.8333333333333334,0.02391861537501988,16.0,0.09282456849275533,16.080000000000013,0.05812186175066514,5
22,1.7000000000000046,0.5000000000000031,106,6,25.359999999999985,0.15094643024342047,0.8333333333333334,0.02391861537501988,16.0,0.09282456849275533,16.080000000000013,0.05812186175066514,6
22,1.7000000000000046,0.6000000000000032,106,6,25.359999999999985,0.15094643024342047,0.8333333333333334,0.02391861537501988,16.0,0.09282456849275533,16.080000000000013,0.05812186175066514,7
22,1.600000000000004,0.400000000000003,106,7,25.329999999999984,0.15075889823762378,0.7142857142857143,0.020510928203484675,13.428571428571429,0.09282456849275533,16.080000000000013,0.05793432974486845,8
22,1.600000000000004,0.5000000000000031,106,7,25.329999999999984,0.15075889823762378,0.7142857142857143,0.020510928203484675,13.428571428571429,0.09282456849275533,16.080000000000013,0.05793432974486845,9
22,1.600000000000004,0.6000000000000032,106,7,25.329999999999984,0.15075889823762378,0.7142857142857143,0.020510928203484675,13.428571428571429,0.09282456849275533,16.080000000000013,0.05793432974486845,10
