short_ma,long_ma,num_rows,num_trades,total_pnl,total_return,win_rate,avg_trade_return,avg_holding_days,buy_hold_return,buy_hold_pnl,excess_vs_bh,rank
5,10,746,34,48.40000000000006,0.31372759717530063,0.5882352941176471,0.00841220167412627,16.176470588235293,0.10404827464995026,17.75999999999999,0.20967932252535038,1
40,125,631,3,24.689999999999998,0.1547186572656687,1.0,0.049344953061700725,146.0,0.10095226967342419,17.28,0.0537663875922445,2
35,135,621,4,24.620000000000005,0.15365135970209143,1.0,0.03710244970461579,110.0,0.14880516947086075,24.409999999999997,0.004846190231230674,3
45,95,661,2,24.389999999999986,0.15182333303098083,1.0,0.07357448110871712,197.5,0.1013383203787035,17.339999999999975,0.05048501265227734,4
50,90,666,2,24.0,0.1496518135975733,1.0,0.07258810470545929,196.5,0.06480958300372919,11.469999999999999,0.0848422305938441,5
45,105,651,2,24.159999999999997,0.14964482536699286,1.0,0.07259651181388616,202.5,0.13777697277063328,22.819999999999993,0.011867852596359585,6
75,90,666,5,22.590000000000003,0.1398936779663491,1.0,0.026761354431334716,93.8,0.06480958300372919,11.469999999999999,0.07508409496261992,7
5,50,706,13,22.149999999999977,0.13603395625714154,0.46153846153846156,0.010303012876480876,40.07692307692308,0.1530930673682922,25.019999999999982,-0.01705911111115066,8
55,110,646,2,21.629999999999995,0.13313203850746347,1.0,0.06479042163314186,201.5,0.1174029054254373,19.799999999999983,0.01572913308202617,9
45,100,656,2,21.090000000000003,0.13012343796104475,1.0,0.06337089043533761,200.5,0.13428433850969057,22.310000000000002,-0.004160900548645818,10
35,130,626,4,20.840000000000032,0.12824188558640826,1.0,0.031001906584040173,109.5,0.11601326542698076,19.589999999999975,0.012228620159427495,11
50,95,661,2,20.430000000000007,0.125631448442467,1.0,0.06138872196904965,197.5,0.1013383203787035,17.339999999999975,0.02429312806376349,12
50,105,651,2,20.23999999999998,0.12383738595350358,1.0,0.06021023174191187,199.5,0.13777697277063328,22.819999999999993,-0.013939586817129701,13
50,100,656,2,20.22,0.12344437243693873,1.0,0.06012796338189186,198.0,0.13428433850969057,22.310000000000002,-0.010839966072751839,14
45,110,646,2,19.99000000000001,0.12266417606739677,1.0,0.059919855291501456,207.5,0.1174029054254373,19.799999999999983,0.00526127064195947,15
5,45,711,13,19.710000000000008,0.11905140480174148,0.38461538461538464,0.009152535796823931,39.92307692307692,0.1545766450189927,25.22999999999999,-0.03552524021725123,16
35,145,611,2,19.340000000000003,0.11901016787176166,1.0,0.05807950399022899,206.5,0.12393391781475516,20.78,-0.004923749942993494,17
50,55,701,10,18.330000000000013,0.11809828508044617,0.4,0.012065468514332489,48.0,0.1319678039404133,21.97,-0.013869518859967123,18
55,95,661,2,19.309999999999974,0.11744800695936042,1.0,0.05735389783808942,196.5,0.1013383203787035,17.339999999999975,0.016109686580656923,19
60,95,661,2,19.200000000000017,0.11732244508227363,1.0,0.05760937221529705,195.5,0.1013383203787035,17.339999999999975,0.015984124703570135,20
35,140,616,3,18.919999999999987,0.1163500180613366,1.0,0.03774559274017212,137.33333333333334,0.13108456875337593,21.839999999999975,-0.014734550692039328,21
40,120,636,3,19.109999999999985,0.11626846747072883,0.6666666666666666,0.03795092140055086,142.33333333333334,0.11449523922171623,19.359999999999985,0.001773228249012604,22
55,100,656,2,18.580000000000013,0.11303890061086763,1.0,0.055696177805099834,198.5,0.13428433850969057,22.310000000000002,-0.02124543789882294,23
25,80,676,3,17.710000000000008,0.10949535115095133,0.6666666666666666,0.03651004396794418,128.66666666666666,0.0590053385782523,10.5,0.05049001257269903,24
70,95,661,3,18.00000000000003,0.10869557464060886,1.0,0.03548278944641026,127.0,0.1013383203787035,17.339999999999975,0.007357254261905366,25
10,85,671,4,17.799999999999983,0.1084864039400697,0.5,0.02678143692254678,99.25,0.05414778766012174,9.679999999999978,0.05433861627994796,26
55,120,636,2,17.680000000000007,0.10823446742056908,1.0,0.05295489795719355,208.0,0.11449523922171623,19.359999999999985,-0.006260771801147147,27
