model_name,selection_mse,selection_mae,selection_correlation,selection_directional_accuracy,selection_long_short_strategy_return,evaluation_mse,evaluation_mae,evaluation_correlation,evaluation_directional_accuracy,evaluation_long_short_strategy_return,alpha,l1_ratio
elastic_net,0.0011308316674798278,0.027761462384713713,0.5418524136506013,1.0,4255502.094772035,0.007730164094804163,0.06970933032575896,0.663167900330514,1.0,2703821943.1113787,0.03856620421163472,0.1
lasso,0.0011211711243413428,0.027634375165416256,0.5428758309588487,1.0,4255502.094772035,0.0077035536061850676,0.06975184248384793,0.6631293427538004,1.0,2703821943.1113787,0.003562247890262444,
ols,0.0010879242081047458,0.026987110431712587,0.5513687489408181,1.0,4255502.094772035,0.007531481036091077,0.06960485098035567,0.6609140153236717,1.0,2703821943.1113787,,
ridge,0.0010899124755426998,0.027010628875725452,0.5512724923525847,1.0,4255502.094772035,0.007560778596303875,0.06948479328093875,0.6592020081699068,1.0,2703821943.1113787,10.0,
