model_name,selection_mse,selection_mae,selection_correlation,selection_directional_accuracy,selection_long_short_strategy_return,evaluation_mse,evaluation_mae,evaluation_correlation,evaluation_directional_accuracy,evaluation_long_short_strategy_return,alpha,l1_ratio
ridge,9.187692853747073e-05,0.007335326102497036,0.15057272314558462,0.5826086956521739,0.44172438207262466,0.0001632943161114764,0.009365469915068174,0.15280046998314006,0.5131578947368421,0.3022050437508803,10.0,
ols,9.187260442779758e-05,0.007335249441339828,0.1505830270875637,0.591304347826087,0.4664396492480283,0.0001633452497297197,0.009370938485075461,0.15246902097626586,0.5087719298245614,0.2597763459825666,,
lasso,9.400417235334899e-05,0.00747140352671004,-1.0812936561146491e-16,0.5652173913043478,0.27162438947534207,0.00016583244765789354,0.009404288200642427,-4.6173471753378766e-17,0.5921052631578947,0.5097523809523825,10.0,
elastic_net,9.400417235334899e-05,0.00747140352671004,-1.0812936561146491e-16,0.5652173913043478,0.27162438947534207,0.00016583244765789354,0.009404288200642427,-4.6173471753378766e-17,0.5921052631578947,0.5097523809523825,0.01743328822199989,0.1
