rank,objective_value,w1,w2,w3,w4
1,0.3938128947359211,1.0,0.0,0.0,0.0
2,0.39016704839989524,0.9800000000000001,0.0,0.02,0.0
3,0.38972413702536285,0.9800000000000001,0.02,0.0,0.0
4,0.3876649833823981,0.9800000000000001,0.0,0.0,0.019999999999999907
5,0.3865185732333336,0.9600000000000001,0.0,0.04,0.0
6,0.3860774078167017,0.9600000000000001,0.02,0.02,0.0
7,0.38563306545438936,0.9600000000000001,0.04,0.0,0.0
8,0.3840176791614643,0.9600000000000001,0.0,0.02,0.019999999999999907
9,0.3835749692245034,0.9600000000000001,0.02,0.0,0.019999999999999907
10,0.3828674682377289,0.9400000000000001,0.0,0.06,0.0
