rank,objective_value,w1,w2,w3,w4
1,0.154679135902395,1.0,0.0,0.0,0.0
2,0.152584952159039,0.9800000000000001,0.02,0.0,0.0
3,0.1517125417924677,0.9800000000000001,0.0,0.0,0.019999999999999907
4,0.15048610137300533,0.9600000000000001,0.04,0.0,0.0
5,0.15036933395798857,0.9800000000000001,0.0,0.02,0.0
6,0.1496154486002653,0.9600000000000001,0.02,0.0,0.019999999999999907
7,0.1487419230876726,0.9600000000000001,0.0,0.0,0.039999999999999925
8,0.14838258286742478,0.9400000000000001,0.06,0.0,0.0
9,0.14827242411921615,0.9600000000000001,0.02,0.02,0.0
10,0.14751368841315787,0.9400000000000001,0.04,0.0,0.019999999999999907
