rank,objective_value,w1,w2,w3,w4
1,0.1561028896368739,1.0,0.0,0.0,0.0
2,0.15507299753333398,0.9800000000000001,0.0,0.02,0.0
3,0.15403960414811677,0.9600000000000001,0.0,0.04,0.0
4,0.1540333166598088,0.9800000000000001,0.02,0.0,0.0
5,0.15311352260757816,0.9800000000000001,0.0,0.0,0.019999999999999907
6,0.15300270867277266,0.9400000000000001,0.0,0.06,0.0
7,0.153001340401346,0.9600000000000001,0.02,0.02,0.0
8,0.15208281039679308,0.9600000000000001,0.0,0.02,0.019999999999999907
9,0.15196586214616709,0.9400000000000001,0.02,0.04,0.0
10,0.15196231029558727,0.92,0.0,0.08,0.0
