k_body,k_volume,price_zone_window,num_rows,num_trades,total_pnl,total_return,win_rate,avg_trade_return,avg_holding_days,buy_hold_return,buy_hold_pnl,excess_vs_bh,rank
1.2,1.2,3,244,2,1.8900000000000148,0.011362549794847965,1.0,0.005674235531530014,4.5,-0.015232292460015229,-2.5999999999999943,0.026594842254863194,1
1.5,1.2,3,244,2,1.8900000000000148,0.011362549794847965,1.0,0.005674235531530014,4.5,-0.015232292460015229,-2.5999999999999943,0.026594842254863194,2
1.8,1.2,3,244,2,1.8900000000000148,0.011362549794847965,1.0,0.005674235531530014,4.5,-0.015232292460015229,-2.5999999999999943,0.026594842254863194,3
1.2,1.5,3,244,0,0.0,0.0,-1.0,,,-0.015232292460015229,-2.5999999999999943,0.015232292460015229,4
1.2,1.5,5,244,0,0.0,0.0,-1.0,,,-0.015232292460015229,-2.5999999999999943,0.015232292460015229,5
1.2,1.5,7,244,0,0.0,0.0,-1.0,,,-0.015232292460015229,-2.5999999999999943,0.015232292460015229,6
1.2,1.5,10,244,0,0.0,0.0,-1.0,,,-0.015232292460015229,-2.5999999999999943,0.015232292460015229,7
1.2,1.8,3,244,0,0.0,0.0,-1.0,,,-0.015232292460015229,-2.5999999999999943,0.015232292460015229,8
1.2,1.8,5,244,0,0.0,0.0,-1.0,,,-0.015232292460015229,-2.5999999999999943,0.015232292460015229,9
1.2,1.8,7,244,0,0.0,0.0,-1.0,,,-0.015232292460015229,-2.5999999999999943,0.015232292460015229,10
