rank,objective_value,w1,w2,w3,w4
1,0.30918131994454306,1.0,0.0,0.0,0.0
2,0.3005927041669927,0.9,0.0,0.1,0.0
3,0.2969696981767803,0.9,0.0,0.0,0.09999999999999998
4,0.29233459175489024,0.9,0.1,0.0,0.0
5,0.29189717452825575,0.8,0.0,0.2,0.0
6,0.2883311852707653,0.8,0.0,0.1,0.09999999999999998
7,0.28463164314462863,0.8,0.0,0.0,0.19999999999999996
8,0.2837184132712753,0.8,0.1,0.1,0.0
9,0.28309476957097895,0.7000000000000001,0.0,0.30000000000000004,0.0
10,0.2800751141115861,0.8,0.1,0.0,0.09999999999999998
