rank,objective_value,w1,w2,w3,w4
1,0.1627463856280138,1.0,0.0,0.0,0.0
2,0.16101362475788072,0.9,0.0,0.1,0.0
3,0.16033356543689878,0.9,0.1,0.0,0.0
4,0.15917790244364943,0.8,0.0,0.2,0.0
5,0.15855504746413787,0.8,0.1,0.1,0.0
6,0.15780135831458614,0.8,0.2,0.0,0.0
7,0.1572391924886279,0.7000000000000001,0.0,0.30000000000000004,0.0
8,0.15667358008954343,0.7000000000000001,0.1,0.2,0.0
9,0.15519746687267072,0.6000000000000001,0.0,0.4,0.0
10,0.15514970310906578,0.7000000000000001,0.30000000000000004,0.0,0.0
