rank,objective_value,w1,w2,w3,w4
1,0.40630837555971866,1.0,0.0,0.0,0.0
2,0.4039005484631484,0.9800000000000001,0.0,0.0,0.019999999999999907
3,0.4033246238996041,0.9800000000000001,0.0,0.02,0.0
4,0.40239177747146565,0.9800000000000001,0.02,0.0,0.0
5,0.40148927402777157,0.9600000000000001,0.0,0.0,0.039999999999999925
6,0.40091534536475854,0.9600000000000001,0.0,0.02,0.019999999999999907
7,0.400338008857834,0.9600000000000001,0.0,0.04,0.0
8,0.39998252298675135,0.9600000000000001,0.02,0.0,0.019999999999999907
9,0.3994068532072553,0.9600000000000001,0.02,0.02,0.0
10,0.3990745511185068,0.9400000000000001,0.0,0.0,0.05999999999999994
