vol_window,upper_k,lower_k,num_rows,num_trades,total_pnl,total_return,win_rate,avg_trade_return,avg_holding_days,buy_hold_return,buy_hold_pnl,excess_vs_bh,rank
10,1.400000000000004,1.3000000000000045,54,1,9.930023193359432,0.0208934362002684,1.0,0.0208934362002684,14.0,-0.0491580127869644,-24.57998901367188,0.0700514489872328,1
10,1.400000000000004,1.400000000000004,54,1,9.930023193359432,0.0208934362002684,1.0,0.0208934362002684,14.0,-0.0491580127869644,-24.57998901367188,0.0700514489872328,2
10,1.400000000000004,1.5000000000000036,54,1,9.930023193359432,0.0208934362002684,1.0,0.0208934362002684,14.0,-0.0491580127869644,-24.57998901367188,0.0700514489872328,3
10,1.400000000000004,1.600000000000004,54,1,9.930023193359432,0.0208934362002684,1.0,0.0208934362002684,14.0,-0.0491580127869644,-24.57998901367188,0.0700514489872328,4
10,1.5000000000000036,1.3000000000000045,54,1,9.930023193359432,0.0208934362002684,1.0,0.0208934362002684,14.0,-0.0491580127869644,-24.57998901367188,0.0700514489872328,5
10,1.5000000000000036,1.400000000000004,54,1,9.930023193359432,0.0208934362002684,1.0,0.0208934362002684,14.0,-0.0491580127869644,-24.57998901367188,0.0700514489872328,6
10,1.5000000000000036,1.5000000000000036,54,1,9.930023193359432,0.0208934362002684,1.0,0.0208934362002684,14.0,-0.0491580127869644,-24.57998901367188,0.0700514489872328,7
10,1.5000000000000036,1.600000000000004,54,1,9.930023193359432,0.0208934362002684,1.0,0.0208934362002684,14.0,-0.0491580127869644,-24.57998901367188,0.0700514489872328,8
10,1.600000000000004,1.3000000000000045,54,1,9.930023193359432,0.0208934362002684,1.0,0.0208934362002684,14.0,-0.0491580127869644,-24.57998901367188,0.0700514489872328,9
10,1.600000000000004,1.400000000000004,54,1,9.930023193359432,0.0208934362002684,1.0,0.0208934362002684,14.0,-0.0491580127869644,-24.57998901367188,0.0700514489872328,10
10,1.600000000000004,1.5000000000000036,54,1,9.930023193359432,0.0208934362002684,1.0,0.0208934362002684,14.0,-0.0491580127869644,-24.57998901367188,0.0700514489872328,11
10,1.600000000000004,1.600000000000004,54,1,9.930023193359432,0.0208934362002684,1.0,0.0208934362002684,14.0,-0.0491580127869644,-24.57998901367188,0.0700514489872328,12
10,1.7000000000000046,1.3000000000000045,54,1,9.930023193359432,0.0208934362002684,1.0,0.0208934362002684,14.0,-0.0491580127869644,-24.57998901367188,0.0700514489872328,13
10,1.7000000000000046,1.400000000000004,54,1,9.930023193359432,0.0208934362002684,1.0,0.0208934362002684,14.0,-0.0491580127869644,-24.57998901367188,0.0700514489872328,14
10,1.7000000000000046,1.5000000000000036,54,1,9.930023193359432,0.0208934362002684,1.0,0.0208934362002684,14.0,-0.0491580127869644,-24.57998901367188,0.0700514489872328,15
10,1.7000000000000046,1.600000000000004,54,1,9.930023193359432,0.0208934362002684,1.0,0.0208934362002684,14.0,-0.0491580127869644,-24.57998901367188,0.0700514489872328,16
10,1.8000000000000045,1.3000000000000045,54,1,9.930023193359432,0.0208934362002684,1.0,0.0208934362002684,14.0,-0.0491580127869644,-24.57998901367188,0.0700514489872328,17
10,1.8000000000000045,1.400000000000004,54,1,9.930023193359432,0.0208934362002684,1.0,0.0208934362002684,14.0,-0.0491580127869644,-24.57998901367188,0.0700514489872328,18
10,1.8000000000000045,1.5000000000000036,54,1,9.930023193359432,0.0208934362002684,1.0,0.0208934362002684,14.0,-0.0491580127869644,-24.57998901367188,0.0700514489872328,19
10,1.8000000000000045,1.600000000000004,54,1,9.930023193359432,0.0208934362002684,1.0,0.0208934362002684,14.0,-0.0491580127869644,-24.57998901367188,0.0700514489872328,20
