ma_window,upper_k,lower_k,num_rows,num_trades,total_pnl,total_return,win_rate,avg_trade_return,avg_holding_days,buy_hold_return,buy_hold_pnl,excess_vs_bh,rank
5,1.5000000000000036,-1.2999999999999985,750,78,111.51999999999984,0.7248550964694123,0.7435897435897436,0.00723553648679462,11.538461538461538,0.4499670638960416,75.13999999999999,0.2748880325733707,1
5,1.5000000000000036,-1.1999999999999984,750,77,108.97999999999979,0.7130122639354537,0.7272727272727273,0.0072404137420977585,11.441558441558442,0.4499670638960416,75.13999999999999,0.2630452000394121,2
10,1.7000000000000046,-1.5999999999999988,745,58,110.0299999999998,0.7047070497808399,0.7413793103448276,0.00947210792004009,15.827586206896552,0.42295486600846255,71.97,0.2817521837723773,3
10,1.8000000000000043,-2.3999999999999995,745,58,111.54999999999995,0.7042917268328983,0.7413793103448276,0.009486972732103699,16.56896551724138,0.42295486600846255,71.97,0.28133686082443576,4
5,1.5000000000000036,-1.0999999999999983,750,77,106.91999999999982,0.7025904967884653,0.7142857142857143,0.007159661239037001,11.155844155844155,0.4499670638960416,75.13999999999999,0.2526234328924237,5
10,1.8000000000000043,-3.0,745,60,110.78999999999994,0.6973498564492078,0.75,0.009095457666420472,16.033333333333335,0.42295486600846255,71.97,0.2743949904407452,6
10,1.8000000000000043,-2.9,745,60,110.78999999999994,0.6973498564492078,0.75,0.009095457666420472,16.033333333333335,0.42295486600846255,71.97,0.2743949904407452,7
10,1.8000000000000043,-2.8,745,60,110.78999999999994,0.6973498564492078,0.75,0.009095457666420472,16.033333333333335,0.42295486600846255,71.97,0.2743949904407452,8
10,1.8000000000000043,-2.6999999999999997,745,60,110.78999999999994,0.6973498564492078,0.75,0.009095457666420472,16.033333333333335,0.42295486600846255,71.97,0.2743949904407452,9
10,1.8000000000000043,-2.5999999999999996,745,60,110.78999999999994,0.6973498564492078,0.75,0.009095457666420472,16.033333333333335,0.42295486600846255,71.97,0.2743949904407452,10
5,1.3000000000000043,-3.0,750,112,104.68999999999997,0.6963537578758103,0.7589285714285714,0.004892754554753287,8.169642857142858,0.4499670638960416,75.13999999999999,0.24638669397976876,11
5,1.3000000000000043,-2.9,750,112,104.68999999999997,0.6963537578758103,0.7589285714285714,0.004892754554753287,8.169642857142858,0.4499670638960416,75.13999999999999,0.24638669397976876,12
5,1.3000000000000043,-2.8,750,112,104.68999999999997,0.6963537578758103,0.7589285714285714,0.004892754554753287,8.169642857142858,0.4499670638960416,75.13999999999999,0.24638669397976876,13
5,1.3000000000000043,-2.6999999999999997,750,112,104.68999999999997,0.6963537578758103,0.7589285714285714,0.004892754554753287,8.169642857142858,0.4499670638960416,75.13999999999999,0.24638669397976876,14
5,1.3000000000000043,-2.5999999999999996,750,112,104.68999999999997,0.6963537578758103,0.7589285714285714,0.004892754554753287,8.169642857142858,0.4499670638960416,75.13999999999999,0.24638669397976876,15
5,1.3000000000000043,-2.4999999999999996,750,112,104.68999999999997,0.6963537578758103,0.7589285714285714,0.004892754554753287,8.169642857142858,0.4499670638960416,75.13999999999999,0.24638669397976876,16
5,1.3000000000000043,-2.3999999999999995,750,112,104.68999999999997,0.6963537578758103,0.7589285714285714,0.004892754554753287,8.169642857142858,0.4499670638960416,75.13999999999999,0.24638669397976876,17
5,1.3000000000000043,-2.2999999999999994,750,112,104.68999999999997,0.6963537578758103,0.7589285714285714,0.004892754554753287,8.169642857142858,0.4499670638960416,75.13999999999999,0.24638669397976876,18
5,1.3000000000000043,-2.1999999999999993,750,112,104.68999999999997,0.6963537578758103,0.7589285714285714,0.004892754554753287,8.169642857142858,0.4499670638960416,75.13999999999999,0.24638669397976876,19
5,1.3000000000000043,-2.099999999999999,750,112,104.68999999999997,0.6963537578758103,0.7589285714285714,0.004892754554753287,8.169642857142858,0.4499670638960416,75.13999999999999,0.24638669397976876,20
5,1.3000000000000043,-1.9999999999999991,750,112,104.68999999999997,0.6963537578758103,0.7589285714285714,0.004892754554753287,8.169642857142858,0.4499670638960416,75.13999999999999,0.24638669397976876,21
10,1.8000000000000043,-1.5999999999999988,745,52,109.39999999999989,0.6948530655903447,0.7115384615384616,0.010470632400935891,17.865384615384617,0.42295486600846255,71.97,0.2718981995818821,22
10,1.8000000000000043,-2.4999999999999996,745,59,110.07999999999996,0.6907325538344282,0.7457627118644068,0.009183957029819537,16.305084745762713,0.42295486600846255,71.97,0.26777768782596567,23
22,0.30000000000000293,-2.2999999999999994,733,182,105.59000000000026,0.6834903754480113,0.6318681318681318,0.0029298484744267883,4.093406593406593,0.43927955774832084,73.9,0.24421081769969044,24
5,1.3000000000000043,-1.899999999999999,750,111,102.74999999999997,0.6794016206392572,0.7567567567567568,0.004846568827429176,8.225225225225225,0.4499670638960416,75.13999999999999,0.22943455674321567,25
10,1.7000000000000046,-3.0,745,66,106.72999999999982,0.6740505403686892,0.7727272727272727,0.008051434697784014,14.484848484848484,0.42295486600846255,71.97,0.2510956743602266,26
10,1.7000000000000046,-2.9,745,66,106.72999999999982,0.6740505403686892,0.7727272727272727,0.008051434697784014,14.484848484848484,0.42295486600846255,71.97,0.2510956743602266,27
10,1.7000000000000046,-2.8,745,66,106.72999999999982,0.6740505403686892,0.7727272727272727,0.008051434697784014,14.484848484848484,0.42295486600846255,71.97,0.2510956743602266,28
10,1.7000000000000046,-2.6999999999999997,745,66,106.72999999999982,0.6740505403686892,0.7727272727272727,0.008051434697784014,14.484848484848484,0.42295486600846255,71.97,0.2510956743602266,29
10,1.7000000000000046,-2.5999999999999996,745,66,106.72999999999982,0.6740505403686892,0.7727272727272727,0.008051434697784014,14.484848484848484,0.42295486600846255,71.97,0.2510956743602266,30
5,1.3000000000000043,-1.799999999999999,750,111,102.19999999999993,0.6739318374857726,0.7567567567567568,0.004816578149040547,8.18918918918919,0.4499670638960416,75.13999999999999,0.223964773589731,31
5,1.3000000000000043,-1.1999999999999984,750,99,101.36999999999989,0.6731227762253427,0.7373737373737373,0.005382074371554691,8.515151515151516,0.4499670638960416,75.13999999999999,0.2231557123293011,32
10,1.7000000000000046,-2.3999999999999995,745,65,106.35999999999984,0.6713972018310208,0.7692307692307693,0.008153241889690441,14.676923076923076,0.42295486600846255,71.97,0.24844233582255826,33
10,1.7000000000000046,-2.4999999999999996,745,65,106.01999999999984,0.6675240726661344,0.7692307692307693,0.008115702997351835,14.707692307692307,0.42295486600846255,71.97,0.2445692066576719,34
