rank,objective_value,w1,w2,w3,w4
1,0.42605473700781127,0.9999999999999996,-2.220446049250313e-16,0.9999999999999996,-0.9999999999999989
2,0.4235045316766778,0.9999999999999996,0.09999999999999964,0.8999999999999995,-0.9999999999999987
3,0.42246870366254685,0.8999999999999995,0.09999999999999964,0.9999999999999996,-0.9999999999999987
4,0.4208026542959342,0.9999999999999996,0.19999999999999973,0.7999999999999996,-0.9999999999999989
5,0.4198792798631711,0.8999999999999995,0.19999999999999973,0.8999999999999995,-0.9999999999999987
6,0.41881506782895717,0.7999999999999996,0.19999999999999973,0.9999999999999996,-0.9999999999999989
7,0.41794896428642814,0.9999999999999996,0.2999999999999998,0.6999999999999997,-0.9999999999999991
8,0.4171380683441501,0.8999999999999995,0.2999999999999998,0.7999999999999996,-0.9999999999999989
9,0.416186309891304,0.7999999999999996,0.2999999999999998,0.8999999999999995,-0.9999999999999989
10,0.41509377101574974,0.6999999999999997,0.2999999999999998,0.9999999999999996,-0.9999999999999991
