rank,objective_value,w1,w2,w3,w4
1,0.36559695854002294,1.0,0.0,0.0,0.0
2,0.36442905516755275,0.9800000000000001,0.0,0.02,0.0
3,0.3632563005284629,0.9600000000000001,0.0,0.04,0.0
4,0.3625190822539759,0.9800000000000001,0.02,0.0,0.0
5,0.3620786948096188,0.9400000000000001,0.0,0.06,0.0
6,0.3613482582859332,0.9600000000000001,0.02,0.02,0.0
7,0.36089623819348793,0.92,0.0,0.08,0.0
8,0.3601725840633761,0.9400000000000001,0.02,0.04,0.0
9,0.3597089308581409,0.9,0.0,0.1,0.0
10,0.35943380460729324,0.9600000000000001,0.04,0.0,0.0
