rank,objective_value,w1,w2,w3,w4
1,0.20853361221724842,0.0,1.0,0.0,0.0
2,0.20617152494458194,0.1,0.9,0.0,0.0
3,0.20579851636484314,0.0,0.9,0.0,0.09999999999999998
4,0.20373621190506774,0.2,0.8,0.0,0.0
5,0.2033988710136007,0.1,0.8,0.0,0.09999999999999998
6,0.20301187021872735,0.0,0.8,0.0,0.19999999999999996
7,0.202078555819999,0.0,0.9,0.1,0.0
8,0.20122769581413613,0.30000000000000004,0.7000000000000001,0.0,0.0
9,0.20092600455456,0.2,0.7000000000000001,0.0,0.09999999999999987
10,0.20057467144795843,0.1,0.7000000000000001,0.0,0.19999999999999996
