hold_days,year,month_start,active_anchor_date,active_model_name,selection_criterion,dominant_family,adaptive_band_abs_sum,ma_crossover_abs_sum,adaptive_volatility_band_abs_sum,fear_greed_candle_volume_abs_sum,adaptive_band_top_count,ma_crossover_top_count,adaptive_volatility_band_top_count,fear_greed_candle_volume_top_count,nonzero_count
45,2021,2021-01-01,2020-12-31,ols,selection_correlation,adaptive_band,3.39494,0.99617,0.0,0.0,7,3,0,0,30
45,2021,2021-02-01,2021-01-29,ols,selection_correlation,adaptive_volatility_band,0.0,1.365271,4.913206,0.0,0,3,7,0,30
45,2021,2021-03-01,2021-02-26,ols,selection_correlation,ma_crossover,0.0,2.803534,2.590931,0.0,0,4,6,0,30
45,2021,2021-04-01,2021-03-31,ols,selection_correlation,ma_crossover,0.523394,3.919817,0.454258,0.0,2,6,2,0,30
45,2021,2021-05-01,2021-04-30,ols,selection_correlation,ma_crossover,1.569529,7.594657,0.504558,0.0,4,3,3,0,30
45,2021,2021-06-01,2021-05-28,ols,selection_correlation,ma_crossover,0.0,27.765745,4.04206,0.0,0,6,4,0,30
45,2021,2021-07-01,2021-06-30,ols,selection_correlation,ma_crossover,1.438536,2.078907,0.0,0.0,4,6,0,0,30
45,2021,2021-08-01,2021-07-30,ols,selection_correlation,adaptive_band,7.70323,0.676384,2.379846,0.0,5,2,3,0,30
45,2021,2021-09-01,2021-08-31,ols,selection_correlation,adaptive_volatility_band,0.0,0.706551,4.468904,0.0,0,3,7,0,30
45,2021,2021-10-01,2021-09-30,ols,selection_correlation,ma_crossover,0.364241,1.503546,0.079111,0.0,3,6,1,0,34
45,2021,2021-11-01,2021-10-29,ols,selection_correlation,adaptive_band,32.808975,0.257911,0.0,0.0,7,3,0,0,34
45,2021,2021-12-01,2021-11-30,ols,selection_correlation,adaptive_band,1.972643,0.099845,0.0,0.0,9,1,0,0,34
45,2022,2022-01-01,2021-12-31,ols,selection_correlation,adaptive_volatility_band,0.077609,0.180441,2.087823,0.0,1,2,7,0,40
45,2022,2022-02-01,2022-01-31,ols,selection_correlation,adaptive_volatility_band,0.0,1.133486,3.657915,0.0,0,4,6,0,34
45,2022,2022-03-01,2022-02-28,ols,selection_correlation,ma_crossover,0.0,1.471432,1.32199,0.0,0,4,6,0,40
45,2022,2022-04-01,2022-03-31,ols,selection_correlation,ma_crossover,0.784368,1.540619,1.469981,0.0,3,4,3,0,40
45,2022,2022-05-01,2022-04-29,ols,selection_correlation,ma_crossover,0.2729,16.543331,0.0,0.0,1,9,0,0,40
45,2022,2022-06-01,2022-05-31,ols,selection_correlation,adaptive_band,19.558198,0.0,3.303936,0.0,8,0,2,0,40
45,2022,2022-07-01,2022-06-30,ols,selection_correlation,adaptive_band,5.525293,0.0,0.58147,0.0,8,0,2,0,40
45,2022,2022-08-01,2022-07-29,ols,selection_correlation,adaptive_band,5.782165,0.931423,0.0,0.0,8,2,0,0,40
45,2022,2022-09-01,2022-08-31,ols,selection_correlation,adaptive_volatility_band,0.0,7.333919,13.520491,0.0,0,4,6,0,40
45,2022,2022-10-01,2022-09-30,ols,selection_correlation,ma_crossover,5.243885,21.355784,0.0,0.0,5,5,0,0,31
45,2022,2022-11-01,2022-10-31,ols,selection_correlation,adaptive_volatility_band,0.0,0.890427,8.792916,0.0,0,4,6,0,30
45,2022,2022-12-01,2022-11-30,ols,selection_correlation,adaptive_band,1.707114,1.197896,1.353064,0.0,4,3,3,0,30
45,2023,2023-01-01,2022-12-30,ols,selection_correlation,adaptive_volatility_band,0.0,0.491122,1.962139,0.0,0,3,7,0,30
45,2023,2023-02-01,2023-01-31,ols,selection_correlation,ma_crossover,0.0,7.505469,3.178176,0.0,0,5,5,0,32
