k_body,k_volume,price_zone_window,num_rows,num_trades,total_pnl,total_return,win_rate,avg_trade_return,avg_holding_days,buy_hold_return,buy_hold_pnl,excess_vs_bh,rank
1.2,1.5,3,1250,1,59.19,0.35624435750827566,1.0,0.35624435750827566,961.0,0.6619534628320407,96.44,-0.30570910532376505,1
1.2,1.5,5,1250,1,59.19,0.35624435750827566,1.0,0.35624435750827566,961.0,0.6619534628320407,96.44,-0.30570910532376505,2
1.2,1.5,7,1250,1,59.19,0.35624435750827566,1.0,0.35624435750827566,961.0,0.6619534628320407,96.44,-0.30570910532376505,3
1.2,1.5,10,1250,1,59.19,0.35624435750827566,1.0,0.35624435750827566,961.0,0.6619534628320407,96.44,-0.30570910532376505,4
1.5,1.5,3,1250,1,59.19,0.35624435750827566,1.0,0.35624435750827566,961.0,0.6619534628320407,96.44,-0.30570910532376505,5
1.5,1.5,5,1250,1,59.19,0.35624435750827566,1.0,0.35624435750827566,961.0,0.6619534628320407,96.44,-0.30570910532376505,6
1.5,1.5,7,1250,1,59.19,0.35624435750827566,1.0,0.35624435750827566,961.0,0.6619534628320407,96.44,-0.30570910532376505,7
1.5,1.5,10,1250,1,59.19,0.35624435750827566,1.0,0.35624435750827566,961.0,0.6619534628320407,96.44,-0.30570910532376505,8
1.8,1.5,3,1250,1,59.19,0.35624435750827566,1.0,0.35624435750827566,961.0,0.6619534628320407,96.44,-0.30570910532376505,9
1.8,1.5,5,1250,1,59.19,0.35624435750827566,1.0,0.35624435750827566,961.0,0.6619534628320407,96.44,-0.30570910532376505,10
1.8,1.5,7,1250,1,59.19,0.35624435750827566,1.0,0.35624435750827566,961.0,0.6619534628320407,96.44,-0.30570910532376505,11
1.8,1.5,10,1250,1,59.19,0.35624435750827566,1.0,0.35624435750827566,961.0,0.6619534628320407,96.44,-0.30570910532376505,12
1.2,1.2,3,1250,3,51.95000000000002,0.2971265574865005,1.0,0.09796731692393812,105.33333333333333,0.6619534628320407,96.44,-0.3648269053455402,13
1.2,1.2,7,1250,2,48.57000000000002,0.271265130221094,0.5,0.13687600738346933,224.5,0.6619534628320407,96.44,-0.3906883326109467,14
1.2,1.2,10,1250,2,48.57000000000002,0.271265130221094,0.5,0.13687600738346933,224.5,0.6619534628320407,96.44,-0.3906883326109467,15
1.2,1.2,5,1250,3,47.84,0.26567967403655346,0.6666666666666666,0.08987469479622827,121.66666666666667,0.6619534628320407,96.44,-0.39627378879548725,16
1.5,1.2,3,1250,2,1.8900000000000148,0.011362549794847965,1.0,0.005674235531530014,4.5,0.6619534628320407,96.44,-0.6505909130371927,17
1.8,1.2,3,1250,2,1.8900000000000148,0.011362549794847965,1.0,0.005674235531530014,4.5,0.6619534628320407,96.44,-0.6505909130371927,18
1.2,1.8,3,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,19
1.2,1.8,5,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,20
1.2,1.8,7,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,21
1.2,1.8,10,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,22
1.2,2.0,3,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,23
1.2,2.0,5,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,24
1.2,2.0,7,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,25
1.2,2.0,10,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,26
1.2,2.5,3,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,27
1.2,2.5,5,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,28
1.2,2.5,7,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,29
1.2,2.5,10,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,30
1.2,3.0,3,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,31
1.2,3.0,5,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,32
1.2,3.0,7,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,33
1.2,3.0,10,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,34
1.5,1.8,3,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,35
1.5,1.8,5,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,36
1.5,1.8,7,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,37
1.5,1.8,10,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,38
1.5,2.0,3,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,39
1.5,2.0,5,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,40
1.5,2.0,7,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,41
1.5,2.0,10,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,42
1.5,2.5,3,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,43
1.5,2.5,5,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,44
1.5,2.5,7,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,45
1.5,2.5,10,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,46
1.5,3.0,3,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,47
1.5,3.0,5,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,48
1.5,3.0,7,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,49
1.5,3.0,10,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,50
1.8,1.8,3,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,51
1.8,1.8,5,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,52
1.8,1.8,7,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,53
1.8,1.8,10,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,54
1.8,2.0,3,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,55
1.8,2.0,5,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,56
1.8,2.0,7,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,57
1.8,2.0,10,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,58
1.8,2.5,3,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,59
1.8,2.5,5,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,60
1.8,2.5,7,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,61
1.8,2.5,10,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,62
1.8,3.0,3,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,63
1.8,3.0,5,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,64
1.8,3.0,7,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,65
1.8,3.0,10,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,66
2.0,1.2,3,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,67
2.0,1.2,5,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,68
2.0,1.2,7,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,69
2.0,1.2,10,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,70
2.0,1.5,3,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,71
2.0,1.5,5,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,72
2.0,1.5,7,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,73
2.0,1.5,10,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,74
2.0,1.8,3,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,75
2.0,1.8,5,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,76
2.0,1.8,7,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,77
2.0,1.8,10,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,78
2.0,2.0,3,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,79
2.0,2.0,5,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,80
2.0,2.0,7,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,81
2.0,2.0,10,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,82
2.0,2.5,3,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,83
2.0,2.5,5,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,84
2.0,2.5,7,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,85
2.0,2.5,10,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,86
2.0,3.0,3,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,87
2.0,3.0,5,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,88
2.0,3.0,7,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,89
2.0,3.0,10,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,90
2.5,1.2,3,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,91
2.5,1.2,5,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,92
2.5,1.2,7,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,93
2.5,1.2,10,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,94
2.5,1.5,3,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,95
2.5,1.5,5,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,96
2.5,1.5,7,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,97
2.5,1.5,10,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,98
2.5,1.8,3,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,99
2.5,1.8,5,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,100
2.5,1.8,7,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,101
2.5,1.8,10,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,102
2.5,2.0,3,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,103
2.5,2.0,5,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,104
2.5,2.0,7,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,105
2.5,2.0,10,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,106
2.5,2.5,3,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,107
2.5,2.5,5,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,108
2.5,2.5,7,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,109
2.5,2.5,10,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,110
2.5,3.0,3,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,111
2.5,3.0,5,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,112
2.5,3.0,7,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,113
2.5,3.0,10,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,114
3.0,1.2,3,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,115
3.0,1.2,5,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,116
3.0,1.2,7,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,117
3.0,1.2,10,1250,0,0.0,0.0,-1.0,,,0.6619534628320407,96.44,-0.6619534628320407,118
