year,hold_days,update_label,buy_hold_return,strategy_return,average_exposure,hundred_pct_equivalent_return,beats_buy_hold,beats_buy_hold_efficiency_proxy
2020,45,2M,0.20221083850094357,0.07847327240721169,0.4715906684502448,0.16640124085807906,False,False
2020,45,1M,0.20221083850094357,0.07336460937807532,0.4866224373887737,0.150762898997735,False,False
2020,45,3M,0.20221083850094357,0.07456597279532606,0.46281752468376636,0.16111311438838763,False,False
2020,45,6M,0.20221083850094357,0.05091217303872786,0.3789789192989272,0.1343403826600969,False,False
2021,45,2M,-0.06235945812537713,-0.01712917088466459,0.2668703142068371,-0.06418537384187539,True,False
2021,45,1M,-0.06235945812537713,-0.01112887083254921,0.23013922783205262,-0.0483571225009526,True,True
2021,45,3M,-0.06235945812537713,0.005900878776524676,0.30073077641319196,0.0196217987626817,True,True
2021,45,6M,-0.06235945812537713,0.004344223466755448,0.4382164081961079,0.009913420368347659,True,True
2022,45,2M,0.0077823323234123,-0.05112213508746044,0.2051563953407424,-0.24918616357317133,False,False
2022,45,1M,0.0077823323234123,-0.05673879414290184,0.25445799994273405,-0.22297901483023108,False,False
2022,45,3M,0.0077823323234123,-0.05066414457330293,0.43463825217286517,-0.1165662348401693,False,False
2022,45,6M,0.0077823323234123,0.007595177858190416,0.3851861683538316,0.01971819987890503,False,True
2023,45,2M,0.11756108967613699,-0.014221331554740257,0.297216650390338,-0.0478483676337218,False,False
2023,45,1M,0.11756108967613699,0.021618596621216124,0.3921086307006799,0.055134202434118054,False,False
2023,45,3M,0.11756108967613699,0.009966025612452523,0.25944220065174434,0.03841327890149284,False,False
2023,45,6M,0.11756108967613699,0.039617190551416215,0.27261817580441056,0.1453211636917397,False,True
2024,45,2M,0.269557466442953,0.09303317408982026,0.32120622715665376,0.2896368943820244,False,True
2024,45,1M,0.269557466442953,0.10007461054248412,0.3239546559755621,0.3089154876972454,False,True
2024,45,3M,0.269557466442953,0.06896451572444562,0.24928853128364717,0.2766453609772202,False,True
2024,45,6M,0.269557466442953,0.038222544065441566,0.18072334787017713,0.21149754315584493,False,False
2020,130,2M,0.20221083850094357,0.09404391904395082,0.5330805717816777,0.17641595665292106,False,False
2020,130,1M,0.20221083850094357,0.06761364254551827,0.4527893875697313,0.14932691534230252,False,False
2020,130,3M,0.20221083850094357,0.10086028504771671,0.5548972809029656,0.18176388408966462,False,False
2020,130,6M,0.20221083850094357,0.10923194092763744,0.6303980397178104,0.17327455678087725,False,False
2021,130,2M,-0.06235945812537713,-0.000505995787241531,0.3544240201154691,-0.0014276565879385965,True,True
2021,130,1M,-0.06235945812537713,2.0130681225527525e-05,0.36139105857806436,5.5703318462648354e-05,True,True
2021,130,3M,-0.06235945812537713,-0.005980059154938933,0.4475975716832857,-0.013360347627556715,True,True
2021,130,6M,-0.06235945812537713,-0.0029946937367618665,0.4220521025585267,-0.007095554597661522,True,True
2022,130,2M,0.0077823323234123,0.01274646324673867,0.2663119352242666,0.04786290646720215,True,True
2022,130,1M,0.0077823323234123,-0.003043535512974538,0.39683149424054176,-0.007669591645691511,False,False
2022,130,3M,0.0077823323234123,0.0034930529071575123,0.42406028797638334,0.008237161097603288,False,True
2022,130,6M,0.0077823323234123,0.02538173733585447,0.36346160260228066,0.06983333907661365,True,True
2023,130,2M,0.11756108967613699,0.015198909041781228,0.1715710554072489,0.08858667335060919,False,False
2023,130,1M,0.11756108967613699,0.03014636189239117,0.2773776150337206,0.10868347068571593,False,False
2023,130,3M,0.11756108967613699,0.03650849034760184,0.2304410508673029,0.1584287617600949,False,True
2023,130,6M,0.11756108967613699,0.04248816268241695,0.18791184010322184,0.22610689490921798,False,True
2024,130,2M,0.269557466442953,0.04326118296449133,0.26894949582128347,0.1608524412079148,False,False
2024,130,1M,0.269557466442953,0.07403863978247394,0.3924158839729965,0.18867391154729302,False,False
2024,130,3M,0.269557466442953,0.0932767453716361,0.46918294334816296,0.19880676971332045,False,False
2024,130,6M,0.269557466442953,0.05255982158852657,0.27177741742965733,0.19339289513312982,False,False
