rank,objective_value,w1,w2,w3,w4
1,0.1522123581600125,1.0,0.0,0.0,0.0
2,0.1494784633139029,0.9,0.1,0.0,0.0
3,0.14660582708164752,0.8,0.2,0.0,0.0
4,0.14359438245413841,0.7000000000000001,0.30000000000000004,0.0,0.0
5,0.14044405993039455,0.6000000000000001,0.4,0.0,0.0
6,0.1371547875091092,0.5,0.5,0.0,0.0
7,0.1371232698260544,0.9,0.0,0.1,0.0
8,0.1343140278719042,0.8,0.1,0.1,0.0
9,0.13372649067995276,0.4,0.6000000000000001,0.0,0.0
10,0.13015909241462792,0.30000000000000004,0.7000000000000001,0.0,0.0
